# time,position_x,position_y
0.000000000000000000e+00,7.853981633974482790e-01,0.000000000000000000e+00
1.447654181539969609e-01,7.801589252015751486e-01,-1.020081834120113717e-01
2.895308363079939218e-01,7.645976142304343748e-01,-2.019401424461837458e-01
4.342962544619908827e-01,7.386681945959850948e-01,-2.978375691714245099e-01
5.790616726159878436e-01,7.021279716184730679e-01,-3.879369522807556980e-01
7.238270907699848600e-01,6.549863004829430402e-01,-4.707646818029490032e-01
8.685925089239817654e-01,5.975064965507824732e-01,-5.451374380057103508e-01
1.013357927077978671e+00,5.302058353597206564e-01,-6.101621913956808418e-01
1.158123345231975687e+00,4.538555526238293725e-01,-6.652362027184357540e-01
1.302888763385972704e+00,3.694795337939853486e-01,-7.100470858788124895e-01
1.447654181539969720e+00,2.780653263298894506e-01,-7.445266430736738883e-01
1.592419599693966514e+00,1.811559311752709012e-01,-7.685795430015899266e-01
1.737185017847963531e+00,8.069250416700918249e-02,-7.821103508614997146e-01
1.881950436001960547e+00,-2.136810057336913093e-02,-7.850699721141548570e-01
2.026715854155957341e+00,-1.230533306396907056e-01,-7.774556524821193415e-01
2.171481272309954580e+00,-2.223749353411358931e-01,-7.593109779497695389e-01
2.316246690463951374e+00,-3.173289657022375088e-01,-7.307258747632946472e-01
2.461012108617948169e+00,-4.059092940011207462e-01,-6.918406846584879144e-01
2.605777526771945407e+00,-4.867544998883803209e-01,-6.428659461032492084e-01
2.750542944925942201e+00,-5.590337737542790952e-01,-5.838526540462875003e-01
2.895308363079939440e+00,-6.219961127266365741e-01,-5.150844196189537927e-01
3.040073781233936234e+00,-6.750673210109636724e-01,-4.371950755546877843e-01
3.184839199387933029e+00,-7.178500098904637694e-01,-3.511686761890164821e-01
3.329604617541930267e+00,-7.501235977260320986e-01,-2.583394974595546456e-01
3.474370035695927061e+00,-7.718443099562559695e-01,-1.603920369060054529e-01
3.619135453849923856e+00,-7.831502626090007801e-01,-5.932439834917083155e-02
3.763900872003921094e+00,-7.841857720366260942e-01,4.301642905316277465e-02
3.908666290157917889e+00,-7.747091019247580590e-01,1.444552035420501590e-01
4.053431708311914683e+00,-7.545490950239234218e-01,2.428960417340904065e-01
4.198197126465911921e+00,-7.236863940172719722e-01,3.364902449673665141e-01
4.342962544619909160e+00,-6.822534415205772085e-01,4.236362993014456402e-01
4.487727962773905510e+00,-6.305344800822363371e-01,5.029798755173788827e-01
4.632493380927902749e+00,-5.689655521832690521e-01,5.734138291177034441e-01
4.777258799081899987e+00,-4.980995351738675692e-01,6.341082004356120017e-01
4.922024217235896337e+00,-4.184744780438935385e-01,6.847609137251997602e-01
5.066789635389893576e+00,-3.311392480758023060e-01,7.251877073739393387e-01
5.211555053543890814e+00,-2.374407045293449037e-01,7.552308721639922062e-01
5.356320471697887164e+00,-1.389623056738050200e-01,7.747885637970945982e-01
5.501085889851884403e+00,-3.752410878799705696e-02,7.838148028945571832e-01
5.645851308005881641e+00,6.481722983973114971e-02,7.823194749972640638e-01
5.790616726159878880e+00,1.657684549114990524e-01,7.703683305656738867e-01
