# vs,reorientationtime,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,4.000000000000000000e+00,3.102040816326530503e+00,7.270377096930660810e-02
1.000000000000000000e+00,5.000000000000000000e-01,3.020408163265305923e+00,2.972658475571529069e-01
1.000000000000000000e+00,1.000000000000000000e+00,3.102040816326530503e+00,2.206024182297578740e-01
1.000000000000000000e+00,3.000000000000000000e+00,3.183673469387754640e+00,8.988847690811214985e-02
1.000000000000000000e+00,2.000000000000000000e+00,3.183673469387754640e+00,1.335775319173516107e-01
