# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_2o0
3.020408163265305923e+00,7.262285566253899594e-02,2.972658475571529069e-01,2.205517961721384923e-01,8.980947148573253935e-02,1.334253810114791050e-01
3.102040816326530503e+00,7.270377096930660810e-02,2.971509341691068729e-01,2.206024182297578740e-01,8.987087272241874036e-02,1.335769688773252306e-01
3.183673469387754640e+00,7.266876054915037686e-02,2.968820934609874840e-01,2.205018159021776003e-01,8.988847690811214985e-02,1.335775319173516107e-01
3.265306122448979220e+00,7.251338310728543124e-02,2.964657413020266308e-01,2.202520909697888163e-01,8.986391643030569587e-02,1.334228282177257197e-01
3.346938775510203801e+00,7.223319734892694188e-02,2.959082935614564258e-01,2.198553452129826391e-01,8.979882367649240360e-02,1.331086158646151152e-01
3.428571428571428381e+00,7.182376197929005168e-02,2.952161661085089261e-01,2.193136804121500749e-01,8.969483103416532599e-02,1.326306529441872162e-01
3.510204081632652962e+00,7.128063570358988965e-02,2.943957748124161888e-01,2.186291983476823519e-01,8.955357089081746047e-02,1.319846975426095248e-01
3.591836734693877098e+00,7.059937722704165419e-02,2.934535355424101044e-01,2.178040007999704486e-01,8.937667563394177672e-02,1.311665077460494877e-01
3.673469387755101678e+00,6.977554525486044656e-02,2.923958641677226744e-01,2.168401895494055653e-01,8.916577765103134157e-02,1.301718416406745793e-01
3.755102040816326259e+00,6.880469849226146517e-02,2.912291765575860114e-01,2.157398663763787638e-01,8.892250932957915244e-02,1.289964573126522740e-01
3.836734693877550839e+00,6.768239564445983902e-02,2.899598885812322835e-01,2.145051330612811058e-01,8.864850305707819289e-02,1.276361128481501017e-01
3.918367346938775420e+00,6.640419541667069714e-02,2.885944161078934367e-01,2.131380913845037639e-01,8.834539122102152975e-02,1.260865663333354814e-01
4.000000000000000000e+00,6.496565651410919628e-02,2.871391750068013060e-01,2.116408431264378276e-01,8.801480620890211881e-02,1.243435758543759428e-01
