# surftimeconst,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_7o0,average_velocity_axis_0_t_inf__params_6o0,average_velocity_axis_0_t_inf__params_5o0,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_3o0,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_2o0
0.000000000000000000e+00,1.809997625566217017e-01,1.281424630783928542e+00,1.085337891249894993e+00,9.224130679348587769e-01,7.141765597248721509e-01,5.463168872829182732e-01,1.451092420538668160e+00,3.757975243997042636e-01
8.163265306122448328e-02,1.909076707240351667e-01,1.309902833252055920e+00,1.115636488265983939e+00,9.494277950174241365e-01,7.400238297286179101e-01,5.657431110026899246e-01,1.478681921745103489e+00,3.933865278707824875e-01
1.632653061224489666e-01,2.003625207168511502e-01,1.336218287747552802e+00,1.143766796368717475e+00,9.746357577993379762e-01,7.644233745378975486e-01,5.843351582562326119e-01,1.504296070149890863e+00,4.099613720588897725e-01
2.448979591836734637e-01,2.093742243686185500e-01,1.360438082466757237e+00,1.169795265479026902e+00,9.980881969765903472e-01,7.874094737620607187e-01,6.021043600048895383e-01,1.527991001780268920e+00,4.255500420677783002e-01
3.265306122448979331e-01,2.179526935128861531e-01,1.382629305606007497e+00,1.193788345517843075e+00,1.019836353245170635e+00,8.090164070104572946e-01,6.190620472100035743e-01,1.549822852663477857e+00,4.401805230012003634e-01
4.081632653061224025e-01,2.261078399832027741e-01,1.402859045361642520e+00,1.215812486406096848e+00,1.039931467301069112e+00,8.292784538924374838e-01,6.352195508329179230e-01,1.569847758826756090e+00,4.538807999629081436e-01
4.897959183673469274e-01,2.338495756131174219e-01,1.421194389930000579e+00,1.235934138064718635e+00,1.058424779840275276e+00,8.482298940173510493e-01,6.505882018349761209e-01,1.588121856297343149e+00,4.666788580566537670e-01
5.714285714285713969e-01,2.411878122361787169e-01,1.437702427507419722e+00,1.254219750414639512e+00,1.075367531558778511e+00,8.659050069945478656e-01,6.651793311775208162e-01,1.604701281102478339e+00,4.786026823861894708e-01
6.530612244897958663e-01,2.481324616859357235e-01,1.452450246290239111e+00,1.270735773376790556e+00,1.090810963152569535e+00,8.823380724333780289e-01,6.790042698218953232e-01,1.619642169269400966e+00,4.896802580552675477e-01
7.346938775510203357e-01,2.546934357959370621e-01,1.465504934474796572e+00,1.285548656872102624e+00,1.104806315317637511e+00,8.975633699431911916e-01,6.920743487294426233e-01,1.633000656825349894e+00,4.999395701676401238e-01
8.163265306122448051e-01,2.608806463997317970e-01,1.476933580257430600e+00,1.298724850821506127e+00,1.117404828749972712e+00,9.116151791333373389e-01,7.044008988615060307e-01,1.644832879797564873e+00,5.094086038270593253e-01
8.979591836734692745e-01,2.667040053308686320e-01,1.486803271834479911e+00,1.310330805145931921e+00,1.128657744145564301e+00,9.245277796131666781e-01,7.159952511794286378e-01,1.655194974213284986e+00,5.181153441372776669e-01
9.795918367346938549e-01,2.721734244228963817e-01,1.495181097402282999e+00,1.320432969766311526e+00,1.138616302200402330e+00,9.363354509920289725e-01,7.268687366445532039e-01,1.664143076099749319e+00,5.260877762020469417e-01
1.061224489795918213e+00,2.772988155093640827e-01,1.502134145157178358e+00,1.329097794603574911e+00,1.147331743610476851e+00,9.470724728792739855e-01,7.370326862182233763e-01,1.671733321484197177e+00,5.333538851251196089e-01
1.142857142857142794e+00,2.820900904238204387e-01,1.507729503295503592e+00,1.336391729578653820e+00,1.154855309071777469e+00,9.567731248842517022e-01,7.464984308617821362e-01,1.678021846393867866e+00,5.399416560102479057e-01
1.224489795918367152e+00,2.865571609998141533e-01,1.512034260013598086e+00,1.342381224612478219e+00,1.161238239280293794e+00,9.654716866163124411e-01,7.552773015365722431e-01,1.683064786856000472e+00,5.458790739611838472e-01
1.306122448979591733e+00,2.907099390708943742e-01,1.515115503507800332e+00,1.347132729625979630e+00,1.166531774932016319e+00,9.732024376848054104e-01,7.633806292039371222e-01,1.686918278897834522e+00,5.511941240816798926e-01
1.387755102040816313e+00,2.945583364706098051e-01,1.517040321974448158e+00,1.350712694540088465e+00,1.170787156722933764e+00,9.799996576990810393e-01,7.708197448252198658e-01,1.689638458546608879e+00,5.559147914754880571e-01
1.469387755102040671e+00,2.981122650325092049e-01,1.517875803609880059e+00,1.353187569275735358e+00,1.174055625349036625e+00,9.858976262684890912e-01,7.776059793617636773e-01,1.691281461829563737e+00,5.600690612463603557e-01
1.551020408163265252e+00,3.013816365901416106e-01,1.517689036610434750e+00,1.354623803753851830e+00,1.176388421506314508e+00,9.909306230023793294e-01,7.837506637749116489e-01,1.691903424773936626e+00,5.636849184980494698e-01
1.632653061224489610e+00,3.043763629770556700e-01,1.516547109172450725e+00,1.355087847895368514e+00,1.177836785890757465e+00,9.951329275101024052e-01,7.892651290260065400e-01,1.691560483406968629e+00,5.667903483343073034e-01
1.714285714285714191e+00,3.071063560268003090e-01,1.514517109492266256e+00,1.354646151621216044e+00,1.178451959198355103e+00,9.985388194010073049e-01,7.941607060763919979e-01,1.690308773755897498e+00,5.694133358588860938e-01
1.795918367346938549e+00,3.095815275729243976e-01,1.511666125766219837e+00,1.353365164852325053e+00,1.178285182125097030e+00,1.001182578284444125e+00,7.984487258874107818e-01,1.688204431847964093e+00,5.715818661755381891e-01
1.877551020408163129e+00,3.118117894489767505e-01,1.508061246190649962e+00,1.351311337509626842e+00,1.177387695366973075e+00,1.003098483769763405e+00,8.021405194204063172e-01,1.685303593710406167e+00,5.733239243880154934e-01
1.959183673469387710e+00,3.138070534885062379e-01,1.503769558961895347e+00,1.348551119514052266e+00,1.175810739619973289e+00,1.004320815466314576e+00,8.052474176367212522e-01,1.681662395370463248e+00,5.746674956000704659e-01
2.040816326530612290e+00,3.155772315250617299e-01,1.498858152276293376e+00,1.345150960786531735e+00,1.173605555580087723e+00,1.004883852983447623e+00,8.077807514976993453e-01,1.677336972855375086e+00,5.756405649154552329e-01
2.122448979591836427e+00,3.171322353921919857e-01,1.493394114330183875e+00,1.341177311247996551e+00,1.170823383943305318e+00,1.004821875930512531e+00,8.097518519646830226e-01,1.672383462192380765e+00,5.762711174379222534e-01
2.204081632653061007e+00,3.184819769234458753e-01,1.487444533319904449e+00,1.336696620819377124e+00,1.167515465405616792e+00,1.004169163916858842e+00,8.111720499990160427e-01,1.666857999408719593e+00,5.765871382712232096e-01
2.285714285714285587e+00,3.196363679523722134e-01,1.481076497441793594e+00,1.331775339421604532e+00,1.163733040663010865e+00,1.002959996551837207e+00,8.120526765620411647e-01,1.660816720531629986e+00,5.766166125191107827e-01
2.367346938775510168e+00,3.206053203125200368e-01,1.474357094892190245e+00,1.326479916975609630e+00,1.159527350411478253e+00,1.001228653444797168e+00,8.124050626151012588e-01,1.654315761588352807e+00,5.763875252853368769e-01
2.448979591836734304e+00,3.213987458374378270e-01,1.467353413867432010e+00,1.320876803402323274e+00,1.154949635347008785e+00,9.990094142050884862e-01,8.122405391195401947e-01,1.647411258606125806e+00,5.759278616736538403e-01
2.530612244897958885e+00,3.220265563606748427e-01,1.460132542563858271e+00,1.315032448622676098e+00,1.150051136165591625e+00,9.963365584420612597e-01,8.115704370367003984e-01,1.640159347612189178e+00,5.752656067878140211e-01
2.612244897959183465e+00,3.224986637157796765e-01,1.452761569177807299e+00,1.309013302557599401e+00,1.144883093563217269e+00,9.932443657650653623e-01,8.104060873279254062e-01,1.632616164633781342e+00,5.744287457315692125e-01
2.693877551020408045e+00,3.228249797363010876e-01,1.445307581905616257e+00,1.302885815128023372e+00,1.139496748235874435e+00,9.897671157834507794e-01,8.087588209545581996e-01,1.624837845698142269e+00,5.734452636086717625e-01
2.775510204081632626e+00,3.230154162557882236e-01,1.437837668943625191e+00,1.296716436254879312e+00,1.133943340879553840e+00,9.859390881065676071e-01,8.066399688779417598e-01,1.616880526832511267e+00,5.723431455228742415e-01
2.857142857142856762e+00,3.230798851077897327e-01,1.430418918488171709e+00,1.290571615859097632e+00,1.128274112190245315e+00,9.817945623437651648e-01,8.040608620594194011e-01,1.608800344064126753e+00,5.711503765779284425e-01
2.938775510204081343e+00,3.230282981258545960e-01,1.423118418735594970e+00,1.284517803861609853e+00,1.122540302863938466e+00,9.773678181043941038e-01,8.010328314603341049e-01,1.600653433420228700e+00,5.698949418775867137e-01
3.020408163265305923e+00,3.228705671435314062e-01,1.416003257882232358e+00,1.278621450183346830e+00,1.116793153596622679e+00,9.726931349978037433e-01,7.975672080420290744e-01,1.592495930928056413e+00,5.686048265256012924e-01
3.102040816326530503e+00,3.226166039943692554e-01,1.409140524124423255e+00,1.272949004745238089e+00,1.111083905084288226e+00,9.678047926333441797e-01,7.936753227658475129e-01,1.584383972614847869e+00,5.673080156257246376e-01
3.183673469387754640e+00,3.222763205119166252e-01,1.402597305658505933e+00,1.267566917468216037e+00,1.105463798022924937e+00,9.627370706203658424e-01,7.893685065931326239e-01,1.576373694507843926e+00,5.660324942817083205e-01
3.265306122448979220e+00,3.218596285297228854e-01,1.396440690680818220e+00,1.262541638273211309e+00,1.099984073108521976e+00,9.575242485682181615e-01,7.846580904852269445e-01,1.568521232634283447e+00,5.648062475973049112e-01
3.346938775510203801e+00,3.213764398813366285e-01,1.390737767387699275e+00,1.257939617081153205e+00,1.094695971037069615e+00,9.522006060862511223e-01,7.795554054034743441e-01,1.560882723021405516e+00,5.636572606762669801e-01
3.428571428571428381e+00,3.208366664003066138e-01,1.385555623975487372e+00,1.253827303812974137e+00,1.089650732504557684e+00,9.468004227838143771e-01,7.740717823092173600e-01,1.553514301696448552e+00,5.626135186223459872e-01
3.510204081632652962e+00,3.202502199201817668e-01,1.380961348640520336e+00,1.250271148389605180e+00,1.084899598206976901e+00,9.413579782702581333e-01,7.682185521637994174e-01,1.546472104686653193e+00,5.617030065392946137e-01
3.591836734693877098e+00,3.196270122745110132e-01,1.377022029579137108e+00,1.247337600731975416e+00,1.080493808840314429e+00,9.359075521549327092e-01,7.620070459285634978e-01,1.539812268019257857e+00,5.609537095308649857e-01
3.673469387755101678e+00,3.189769552968429456e-01,1.373804754987677068e+00,1.245093110761017474e+00,1.076484605100562986e+00,9.304834240471873130e-01,7.554485945648529155e-01,1.533590927721502073e+00,5.603936127008092294e-01
3.755102040816326259e+00,3.183099608207267117e-01,1.371376613062476713e+00,1.243604128397660880e+00,1.072923227683710401e+00,9.251198735563721520e-01,7.485545290340106517e-01,1.527864219820624481e+00,5.600507011528796930e-01
3.836734693877550839e+00,3.176359406797109042e-01,1.369804691999875201e+00,1.242937103562837153e+00,1.069860917285747393e+00,9.198511802918372116e-01,7.413361802973799097e-01,1.522688280343865053e+00,5.599529599908283917e-01
3.918367346938775420e+00,3.169648067073444486e-01,1.369156079996213027e+00,1.243158486177477817e+00,1.067348914602663568e+00,9.147116238629325879e-01,7.338048793163034489e-01,1.518119245318463317e+00,5.601283743184078956e-01
4.000000000000000000e+00,3.163064707371764372e-01,1.369497865247825352e+00,1.244334726162512395e+00,1.065438460330448756e+00,9.097354838790078224e-01,7.259719570521250276e-01,1.514213250771657471e+00,5.606049292393698869e-01
