# vs,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,1.959183673469387710e+00,3.782453572037460798e-01
7.000000000000000000e+00,1.224489795918367152e+00,1.744229148582230771e+00
6.000000000000000000e+00,1.387755102040816313e+00,1.539644651429607825e+00
5.000000000000000000e+00,1.469387755102040671e+00,1.345257201887721132e+00
4.000000000000000000e+00,1.469387755102040671e+00,1.154725676630505626e+00
3.000000000000000000e+00,1.632653061224489610e+00,9.102226223688952844e-01
8.000000000000000000e+00,1.061224489795918213e+00,1.924321055122252710e+00
2.000000000000000000e+00,1.795918367346938549e+00,6.677563010754233863e-01
