# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,surftimeconst
9.997999999999999332e+00,1.551911128124995425e-03,6.071999495599806652e-03,-5.263342935351562543e-03,5.817235779221536715e-03,-1.812336744921870611e-03,5.486756039402190463e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.812811540999999443e-02,3.168667857208763705e-02,1.336625006000000115e-02,2.535038458773923933e-02,1.879286276999999478e-02,2.875687355335558235e-02,7.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.094042742857142224e-02,3.209423742012924158e-02,-1.003676716428572070e-02,1.814871925188211305e-02,-5.742461428571445613e-03,1.844355233638150793e-02,6.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.665639142000004319e-02,2.401597246399105393e-02,-7.676488325000030769e-03,2.138632225376030024e-02,1.329700895499999133e-02,1.746685489704939698e-02,5.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,-2.899925134374996619e-03,2.472324913756908035e-02,-6.682740215624942762e-03,1.519198862892927153e-02,-4.790849543749970199e-03,1.520115796537045878e-02,4.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,9.471273789380533700e-03,1.635502257281902516e-02,2.634930830088515891e-03,1.272035281551394878e-02,-9.203159274336290482e-03,1.364185534211752489e-02,3.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.289962952500000107e-02,3.762647773644594434e-02,-1.143632731250000464e-02,2.200040875125344395e-02,1.440515496250002747e-02,2.601221829963437301e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.817592838437499803e-02,1.205241777921446482e-02,1.885208091406268601e-03,9.943788127524888498e-03,-1.480327051562502130e-03,9.247356970619406008e-03,2.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,3.287483026549999909e-01,1.912109274021056571e-02,2.404487315000036762e-03,1.826448169384933470e-02,1.833229211499999914e-02,1.482362910065338456e-02,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,2.910213012750000328e-01,1.631520432490375996e-02,-2.886658978124995341e-03,1.369714004624049929e-02,2.058182279062500605e-02,1.201034025562996294e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.140190126390624725e-01,6.122217445593235163e-03,1.269915731054687639e-03,5.780319716347232309e-03,-3.745902677734373569e-03,5.612184631236184079e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.534451173099998345e-01,2.049772110353690474e-02,1.983497954999999952e-02,1.421790990968809301e-02,1.009607316999997645e-02,1.703433096988936010e-02,7.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.788009682999998740e-01,2.799629361004188008e-02,2.498810213750003381e-02,1.934058900714023810e-02,4.605751275000043513e-03,2.508497143199277940e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,2.019845538335937607e-01,1.129961213325620002e-02,4.209355814843754665e-03,9.667153800607413208e-03,9.580428335156246714e-03,9.043729965473246840e-03,2.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,2.393506747893804909e-01,1.479576022023839504e-02,1.035099834159289474e-02,1.321883987237931594e-02,-1.508548093274337219e-02,1.305825346483874792e-02,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.407804248285715709e-01,2.279440106279503539e-02,1.613469252142855914e-02,1.424586620368993410e-02,2.409112239999999794e-02,2.216863634066955357e-02,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.860364349858406152e-01,1.504532329468353212e-02,3.079587005663719443e-02,1.204710805068318416e-02,1.123525789026550391e-02,1.196229103046953825e-02,3.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,4.830613978374997397e-01,2.338643549758746137e-02,4.895620523749995290e-02,2.375366289595133226e-02,6.111123600000014505e-03,1.722713878082956715e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,4.255671974375000444e-01,1.634743334813796092e-02,-3.236382625000054636e-04,1.738815218411473781e-02,1.968288134062500319e-02,1.575505551078687158e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,4.777029690499999814e-01,1.774695741664384860e-02,-1.252979279999999820e-02,1.642802654199307724e-02,6.389572890714284581e-02,1.452619876237525552e-02,6.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,4.903719721300001666e-01,2.532647801528387088e-02,2.402811207999996923e-02,1.921692466367067031e-02,5.212078455000000721e-02,1.998485285313471652e-02,7.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,4.495400880700000101e-01,1.887298734408519169e-02,-4.945025614999989765e-03,1.756095788959854270e-02,-1.139497797000000104e-02,1.546513601227038869e-02,5.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.778199689828125207e-01,5.781171501664720928e-03,2.787658253906245571e-03,5.789228650628938308e-03,2.825242635351575982e-03,5.628871828838915604e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.026705858390624782e-01,1.070085140337005691e-02,2.047306264296876177e-02,9.437254458876805432e-03,9.645783194531239862e-03,8.897794172901474924e-03,2.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,5.879957120124998937e-01,2.062650093014289920e-02,2.123966750000006246e-03,1.522005806225159436e-02,5.719756541249999826e-02,1.389247757599724326e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,5.190109516999996675e-01,1.389502254793415111e-02,7.903782669999987603e-03,1.771619604102872905e-02,1.346661127999997966e-02,1.344916540354037203e-02,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,5.271858926642856158e-01,1.952200822774897634e-02,-4.217355126428572187e-02,2.013764779392423349e-02,5.335144996428575065e-02,1.056554073149204402e-02,6.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.467317494414061674e-01,1.006716178538436500e-02,2.679387529999997103e-02,1.025306792861851654e-02,1.456661810937490056e-03,9.163249764931883506e-03,2.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,5.035679910449999408e-01,2.271691166076949056e-02,2.099986798500002791e-02,1.470228944875103146e-02,6.144856389999982585e-03,1.500541818126626542e-02,5.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,4.494797602707965578e-01,1.448062970361862697e-02,3.547859898407079021e-02,1.205120865747913092e-02,1.778222841415930122e-02,1.314724613983376741e-02,3.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,2.191180053566406105e-01,5.657325548556542578e-03,7.604815645507802604e-03,5.763080911756018193e-03,4.968578624414057322e-03,5.632050384706729571e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,4.892168044062500387e-01,1.541521567146954264e-02,2.934990597812496549e-02,1.410144011331000008e-02,-5.026114468750101164e-04,1.440763892888393370e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,2.302585161873046959e-01,5.602537876235757879e-03,5.940992828125005176e-03,6.184428289322935896e-03,1.054575812499992937e-03,5.437989962846983411e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.879531105285720205e-01,1.370110865848498533e-02,-1.372460864285645048e-03,2.366536088066069701e-02,1.744142927857142769e-02,1.737278990330869480e-02,6.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.239613439600001588e-01,1.446663193890019954e-02,1.734820336500000892e-02,1.929656031035721642e-02,2.325033781500001479e-02,1.682330287944704475e-02,5.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.759929721375003364e-01,1.205161119486678790e-02,-9.686871574999993476e-03,1.331555831738840019e-02,6.051771949999984121e-03,2.740905424619192315e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.030438905750002077e-01,1.249521387977887282e-02,5.301201867187500111e-02,1.560191233984746517e-02,1.239197647812497610e-02,1.994703048961965486e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.883706900699998688e-01,1.000137140409282539e-02,1.071505661999999290e-02,1.783382283096446655e-02,2.634370829999999053e-02,1.616756064452105901e-02,7.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,3.805685070625000055e-01,1.101658148418754000e-02,2.878143888515624638e-02,1.079358357922587282e-02,8.273529460937501662e-03,9.483546388750818679e-03,2.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,4.544929631327433439e-01,1.343123012596258992e-02,1.652771251327434660e-02,1.555240633163338000e-02,1.980381528141593808e-02,1.336377193812999901e-02,3.000000000000000000e+00,4.000000000000000000e+00
