# duxdy*kolmogorov_time,p_x
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,6.861664999999999015e-01
-2.687500000000000000e+00,6.661679230769229632e-01
-2.562500000000000000e+00,3.689092222222221662e-01
-2.437500000000000000e+00,7.614071428571429767e-02
-2.312500000000000000e+00,1.817884999999999640e-01
-2.187500000000000000e+00,-1.463438709677419673e-02
-2.062500000000000000e+00,-1.713141959459459351e-01
-1.937500000000000000e+00,-1.370460989010988673e-01
-1.812500000000000000e+00,4.109623658536576407e-02
-1.687500000000000000e+00,5.090989021042977014e-03
-1.562500000000000000e+00,9.814083224967179355e-04
-1.437500000000000000e+00,6.089755054012341295e-02
-1.312500000000000000e+00,1.283680117540687005e-01
-1.187500000000000000e+00,9.899753450051473891e-02
-1.062500000000000000e+00,1.064883909235668225e-01
-9.375000000000000000e-01,1.314435962196209562e-01
-8.125000000000000000e-01,1.468403859748454166e-01
-6.875000000000000000e-01,1.794686364466526463e-01
-5.625000000000000000e-01,2.178026855576083720e-01
-4.375000000000000000e-01,2.642141190988058774e-01
-3.125000000000000000e-01,3.009977044046237005e-01
-1.875000000000000000e-01,3.286377914658806798e-01
-6.250000000000000000e-02,3.381468470150463257e-01
6.250000000000000000e-02,3.335770986159499185e-01
1.875000000000000000e-01,3.244641233121929313e-01
3.125000000000000000e-01,2.987779296552663943e-01
4.375000000000000000e-01,2.706111842537960444e-01
5.625000000000000000e-01,2.279265446732423317e-01
6.875000000000000000e-01,1.958375870961726051e-01
8.125000000000000000e-01,1.566764147194306400e-01
9.375000000000000000e-01,1.047678605188351875e-01
1.062500000000000000e+00,1.171514614030667450e-01
1.187500000000000000e+00,7.459142102923151108e-02
1.312500000000000000e+00,9.827777155092157213e-02
1.437500000000000000e+00,7.605276601483491883e-02
1.562500000000000000e+00,5.680962296004492956e-02
1.687500000000000000e+00,7.383953638409605780e-02
1.812500000000000000e+00,7.714623509933767054e-02
1.937500000000000000e+00,6.410908668730656845e-02
2.062500000000000000e+00,1.164030808080814515e-02
2.187500000000000000e+00,-2.635481030927835366e-01
2.312500000000000000e+00,-4.199585833333334128e-01
2.437500000000000000e+00,-1.928984642857142773e-01
2.562500000000000000e+00,3.320118235294118314e-01
2.687500000000000000e+00,5.381139999999998702e-01
2.812500000000000000e+00,5.405614230769230089e-01
2.937500000000000000e+00,-3.306028571428571566e-02
3.062500000000000000e+00,-5.164673749999999508e-01
3.187500000000000000e+00,-7.801828749999999424e-01
3.312500000000000000e+00,-9.153888749999998797e-01
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
