# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,reorientationtime
9.997999999999999332e+00,-1.147016730071428597e-01,2.439915363820286884e-02,2.895619332142855204e-02,1.872492828161479925e-02,-7.712488521428606872e-03,1.914313535153229495e-02,6.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-3.252639522128905614e-02,6.097876107880584144e-03,1.033118094726571175e-03,6.583690685003400038e-03,3.691238830078300047e-04,6.106844716223558921e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-9.400576976875002488e-02,2.129548319156594413e-02,4.765690156250499028e-04,2.309057622848734864e-02,2.128314886875002504e-02,2.188350416930746542e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-9.878135413274333199e-02,1.596066445056125091e-02,-1.105237010442478365e-02,1.712007512735183590e-02,-1.096668817345134231e-02,1.756036572930080517e-02,3.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-6.965099639296876144e-02,1.280516722642517126e-02,-1.417628156249886931e-04,1.267365365815956678e-02,4.119370768749991418e-03,1.112378657871249295e-02,2.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-1.241000923250000360e-01,2.658039517200603760e-02,1.756591831249999791e-02,2.121991261996227299e-02,1.589348711249996549e-02,1.919015080305551749e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-8.877206492000004612e-02,2.343631156468211837e-02,-4.374330535000034784e-03,2.984638226311364662e-02,1.003872582499999201e-02,2.667531478497611047e-02,5.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-1.280973999600001356e-01,3.476136235097791738e-02,2.369631322000009810e-02,3.051535070963658225e-02,-1.815984407999998024e-02,2.287865954897234586e-02,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,-9.356908841250000108e-02,1.940309054506307931e-02,3.467790149999996040e-03,2.307225391921963187e-02,3.761895790625012850e-03,2.450534759731614817e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,-1.106213327928571716e-01,2.314740093759216563e-02,-2.657097936428574197e-02,3.634001941410104630e-02,-3.037262557142855757e-02,2.038745718062866252e-02,6.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,-8.270492888000001430e-02,2.582112303392098893e-02,1.860234519999996727e-03,3.102795560878779044e-02,-3.255336741499999242e-02,2.280658781891052936e-02,5.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,-6.717906282123894957e-02,1.450852544384927632e-02,1.900084530972978819e-04,1.746144823460747328e-02,1.064316355752215407e-02,1.862780341655912580e-02,3.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,-6.504999147968752726e-02,1.251750335901418917e-02,9.969546507031249588e-03,1.320252648416417665e-02,-5.159750798437487407e-03,1.282743032150504385e-02,2.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,-2.319609572851561580e-02,6.105933675705194942e-03,2.672567748046871666e-03,6.629562365393595891e-03,-7.536209035156304610e-04,6.015613283483802788e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,-9.172715345000002907e-02,3.033240941411197503e-02,-1.304148344999996392e-02,2.623960998960943314e-02,-1.880798010000002754e-02,3.222556751620665044e-02,7.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,-9.954735390000001016e-02,3.533905266975532339e-02,6.661919400000038821e-03,3.393705922732517116e-02,-6.150931000000004444e-03,2.551537014951974283e-02,8.000000000000000000e+00,4.000000000000000000e+00
