# omega_z*kolmogorov_time,p_y
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,-1.835700000000000179e-02
-3.437500000000000000e+00,-2.446968846153846910e-01
-3.312500000000000000e+00,9.113205128205192213e-03
-3.187500000000000000e+00,-3.342072812499999324e-01
-3.062500000000000000e+00,-3.443371428571426751e-01
-2.937500000000000000e+00,-3.101121085714285130e-01
-2.812500000000000000e+00,-3.646561271929824044e-01
-2.687500000000000000e+00,-3.713534507042253741e-01
-2.562500000000000000e+00,-4.737346742424241031e-01
-2.437500000000000000e+00,-4.553528451882840056e-01
-2.312500000000000000e+00,-4.200082878390199448e-01
-2.187500000000000000e+00,-4.771293338048090416e-01
-2.062500000000000000e+00,-4.785183252906978768e-01
-1.937500000000000000e+00,-4.686713802846371735e-01
-1.812500000000000000e+00,-4.775520263579432489e-01
-1.687500000000000000e+00,-5.268266712505782490e-01
-1.562500000000000000e+00,-5.352015948023909342e-01
-1.437500000000000000e+00,-5.354555468838205767e-01
-1.312500000000000000e+00,-5.244245771137018286e-01
-1.187500000000000000e+00,-5.111923759328802497e-01
-1.062500000000000000e+00,-4.984934047311371241e-01
-9.375000000000000000e-01,-4.662510319173830964e-01
-8.125000000000000000e-01,-4.363498750410221283e-01
-6.875000000000000000e-01,-3.850435745559606660e-01
-5.625000000000000000e-01,-3.272906877925848002e-01
-4.375000000000000000e-01,-2.626695858359552327e-01
-3.125000000000000000e-01,-1.897539331027808807e-01
-1.875000000000000000e-01,-1.149698727736402915e-01
-6.250000000000000000e-02,-3.680740044561579827e-02
6.250000000000000000e-02,4.444205384914098195e-02
1.875000000000000000e-01,1.239693573281863831e-01
3.125000000000000000e-01,2.013900170261125888e-01
4.375000000000000000e-01,2.737051194026571821e-01
5.625000000000000000e-01,3.360369502969473010e-01
6.875000000000000000e-01,3.925330651672684357e-01
8.125000000000000000e-01,4.392858549922492029e-01
9.375000000000000000e-01,4.827711091037131252e-01
1.062500000000000000e+00,5.141459883821407617e-01
1.187500000000000000e+00,5.414556332105583403e-01
1.312500000000000000e+00,5.656284569134401030e-01
1.437500000000000000e+00,5.763272852838497995e-01
1.562500000000000000e+00,5.613888819697403498e-01
1.687500000000000000e+00,5.615622017702901481e-01
1.812500000000000000e+00,5.445854092326877227e-01
1.937500000000000000e+00,5.230290450038111993e-01
2.062500000000000000e+00,4.812102186111109625e-01
2.187500000000000000e+00,4.538196087704211013e-01
2.312500000000000000e+00,4.194336885768986667e-01
2.437500000000000000e+00,3.700468221105521205e-01
2.562500000000000000e+00,1.684219871794873091e-01
2.687500000000000000e+00,2.080244394618812210e-03
2.812500000000000000e+00,1.219120086580086776e-01
2.937500000000000000e+00,1.273742732919255216e-01
3.062500000000000000e+00,3.337768857142857093e-01
3.187500000000000000e+00,4.861156666666666126e-01
3.312500000000000000e+00,3.515629629629629105e-01
3.437500000000000000e+00,2.411765925925926368e-01
3.562500000000000000e+00,3.554389473684209655e-01
3.687500000000000000e+00,4.812034117647057685e-01
3.812500000000000000e+00,5.555569166666667336e-01
3.937500000000000000e+00,1.868716999999999739e-01
