# surftimeconst,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_7o0,average_velocity_axis_0_t_inf__params_6o0,average_velocity_axis_0_t_inf__params_5o0,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_3o0,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_2o0
9.795918367346938549e-01,3.450196440293147870e-01,1.737046483514119721e+00,1.518030851570736584e+00,1.317586187180348700e+00,1.130967149411715056e+00,8.763258712131747341e-01,1.923059589481242782e+00,6.261992162688568841e-01
1.061224489795918213e+00,3.509198010728032391e-01,1.741265439008479410e+00,1.525426743062550550e+00,1.326023401972884930e+00,1.139031835942963200e+00,8.850351343941029736e-01,1.924321055122252710e+00,6.346907530067957826e-01
1.142857142857142794e+00,3.561683767471605089e-01,1.743633995222099164e+00,1.531238945191014444e+00,1.332849525583107875e+00,1.145346443658277868e+00,8.923472982987434854e-01,1.923649232975947809e+00,6.421132290584035118e-01
1.224489795918367152e+00,3.607900446842741693e-01,1.744229148582230771e+00,1.535514581559459080e+00,1.338125262695359696e+00,1.149992052071174609e+00,8.983220312386027695e-01,1.921136568763315955e+00,6.485062231596134819e-01
1.306122448979591733e+00,3.648094785160314046e-01,1.743127895516125125e+00,1.538300775771213491e+00,1.341911317993984332e+00,1.153049740695168301e+00,9.030190015251868818e-01,1.916875508205346579e+00,6.539093140463604348e-01
1.387755102040816313e+00,3.682513518743196768e-01,1.740407232451034458e+00,1.539644651429607825e+00,1.344268396163323720e+00,1.154600589043773828e+00,9.064978774700018782e-01,1.910958497023025338e+00,6.583620804545780025e-01
1.469387755102040671e+00,3.711403383910263920e-01,1.736144155814209666e+00,1.539593332137971338e+00,1.345257201887721132e+00,1.154725676630505626e+00,9.088183273845541477e-01,1.903477980937341663e+00,6.619041011202007052e-01
1.551020408163265252e+00,3.735011116980388457e-01,1.730415662032902757e+00,1.538193941499634176e+00,1.344938439851519840e+00,1.153506082968879243e+00,9.100400195803497461e-01,1.894526405669283653e+00,6.645749547791623968e-01
1.632653061224489610e+00,3.753583454272444442e-01,1.723298747534365072e+00,1.535493603117926043e+00,1.343372814739062449e+00,1.151022887572409781e+00,9.102226223688952844e-01,1.884196216939838520e+00,6.664142201673973753e-01
1.714285714285714191e+00,3.767367132105308158e-01,1.714870408745848396e+00,1.531539440596175972e+00,1.340621031234691785e+00,1.147357169954611678e+00,9.094258040616960415e-01,1.872579860469994362e+00,6.674614760208397168e-01
