# time,average_velocity_axis_0_t_inf,95CLI,vs,delay,surftimeconst
9.996000000000000441e+00,8.570023790766305716e-01,1.892197992012163016e-02,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.687430422168867405e+00,2.861564821116964474e-02,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.330272712600665319e-01,5.910697837822200852e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.684799944977991126e+00,2.861210858814506458e-02,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.897731024050244630e-01,5.651299351443626190e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,9.482471613645456765e-01,1.303225972930958064e-02,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,8.680176039165665713e-01,1.612589031782115864e-02,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.956630214585833638e-01,5.657739795033568664e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.417751425570228152e+00,3.088120750620725052e-02,8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.773716668307948385e-01,5.812639594786317074e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.203776222989195510e+00,2.611902784251618481e-02,8.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,7.664759872699079546e-01,1.574621851782935511e-02,4.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.033110894357742948e+00,2.803718390486961004e-02,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.494544383182960567e-01,5.989280530513519871e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,6.768015565601240846e-01,1.757940591533193112e-02,4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,6.051050576480592191e-01,1.939178405273310479e-02,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.237813677228703835e-01,5.648174331729487359e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,8.914983868547418089e-01,3.704249128987668893e-02,8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,5.499207167241896288e-01,2.052493450122504226e-02,4.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,1.958240241409063553e-01,5.829419456281979828e-03,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,7.676703056222489163e-01,3.997573299897438232e-02,8.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,1.816470947754101339e-01,5.908354586397826340e-03,1.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,7.577220575730292396e-01,4.558497410097629710e-02,8.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,4.633283735369147505e-01,2.131151280484728031e-02,4.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,4.593122717837134217e-01,1.842851864950609611e-02,4.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,6.205205332132852636e-01,6.051028097574847470e-02,8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,1.657334317516068745e-01,6.012797564217282550e-03,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00
