# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
1.257812500000000000e+00,8.154010691284922785e-02,1.156596136139338982e-01,1.146240422050807950e-01,8.256916198871737389e-02,1.085209081752888660e-01,9.442813786330660208e-02,8.105421635822430970e-02,9.372837040133256969e-02,1.064805749985104771e-01
1.617187500000000000e+00,7.464603140311319718e-02,1.007678679230252783e-01,9.954763083285426972e-02,7.730939516828158609e-02,1.083773266577063299e-01,9.061416252537092542e-02,7.840910139652505773e-02,8.859373490714446409e-02,1.072666928979445211e-01
1.976562500000000000e+00,6.769954757883873964e-02,8.802556066771974330e-02,8.549812623603698925e-02,7.360841344401289343e-02,1.066803819530390135e-01,8.450940470846451946e-02,7.497444562205110574e-02,8.398243990790824065e-02,1.051716938099739457e-01
2.335937500000000000e+00,6.343147452120366514e-02,7.553012479170193028e-02,7.567056160203725068e-02,7.101856802353578857e-02,1.025195347092861670e-01,7.627933934174396802e-02,7.188933262678212643e-02,7.667035873487057507e-02,1.026123846133919909e-01
2.695312500000000000e+00,5.732022204336587046e-02,6.717366184303034948e-02,6.772394048749381945e-02,6.626846145538378696e-02,9.828485626542962650e-02,6.984141041487472445e-02,6.646200185759520984e-02,7.072124778891829278e-02,9.792408077271839983e-02
3.054687500000000000e+00,5.172493628400143956e-02,5.874998292370280789e-02,5.918123048169136868e-02,6.206376546044234388e-02,9.305970035805795348e-02,6.533588827202785332e-02,6.262797294106320356e-02,6.464574513904211561e-02,9.165715791967989079e-02
3.414062500000000000e+00,4.626373044776489751e-02,4.990448758735811785e-02,5.101857782693508536e-02,5.747449634688408387e-02,8.690503927079522295e-02,5.935301747537007760e-02,5.935691504988806211e-02,5.878868107089342543e-02,8.592542292444896312e-02
3.773437500000000000e+00,4.009998946387017399e-02,4.318922167530619277e-02,4.523835651455473256e-02,5.387799274674243133e-02,7.838518300534048910e-02,5.387180821656239321e-02,5.616834798179597132e-02,5.466544821265384435e-02,8.080592230995038705e-02
4.132812500000000000e+00,3.649021894902955421e-02,3.849754087004603892e-02,3.998658234513371296e-02,5.086009403071577867e-02,7.336071523961561203e-02,5.112923191178310456e-02,5.232764768939337369e-02,5.047071314810890746e-02,7.434427920661684785e-02
4.492187500000000000e+00,3.190488433816662805e-02,3.448290253145954581e-02,3.540850138527248947e-02,4.849450109279287296e-02,6.651735292183563741e-02,4.592062245203268334e-02,4.796026551135679911e-02,4.493786937583874042e-02,6.707602625176006805e-02
4.851562500000000000e+00,2.853529434438276113e-02,3.097359145927858215e-02,3.065517252435710424e-02,4.448220062432179517e-02,6.034168923078072483e-02,4.122617106223717964e-02,4.313384238234843626e-02,3.989204377730874718e-02,6.058238669996238168e-02
5.210937500000000000e+00,2.474520800453293076e-02,2.834820325327735979e-02,2.846223601966886563e-02,4.105796240369753020e-02,5.427981523484950305e-02,3.820007181122684475e-02,4.121472830410823768e-02,3.714067386535149090e-02,5.608018325213739996e-02
5.570312500000000000e+00,2.276459246377801962e-02,2.481584060536048617e-02,2.466771050175058100e-02,3.783410437156260742e-02,4.902452591045865921e-02,3.549149947649973824e-02,3.851921671676800801e-02,3.396764183419816174e-02,5.015474746913982373e-02
5.929687500000000000e+00,2.032589787213786442e-02,2.232397437470175564e-02,2.273140658262604377e-02,3.540418769307079883e-02,4.396368183196915774e-02,3.179963276131610866e-02,3.504056125037334490e-02,3.171339120526801142e-02,4.536931047174284914e-02
6.289062500000000000e+00,1.825250963749875180e-02,2.077960009867911920e-02,2.007117653956530870e-02,3.333996277542428111e-02,3.974294501682505004e-02,2.850290317955451319e-02,3.260464038575135171e-02,2.924435214688326720e-02,3.999800030018917790e-02
6.648437500000000000e+00,1.596810658086956006e-02,1.876369516854246508e-02,1.850876853413912365e-02,3.107999497280669945e-02,3.539494388374530426e-02,2.683891935624614644e-02,3.021439286915360983e-02,2.667284825023641046e-02,3.665813783319434027e-02
7.007812500000000000e+00,1.430171607833321049e-02,1.641164198206599562e-02,1.629676612881048731e-02,2.886222248682830671e-02,3.182979145382819341e-02,2.433607397652413212e-02,2.861826536954203623e-02,2.432940527778900894e-02,3.328217055623863829e-02
7.367187500000000000e+00,1.330963449819555500e-02,1.529379915155151468e-02,1.468307659374802274e-02,2.658894285416112807e-02,2.882066164001491695e-02,2.237755267847806387e-02,2.779890652902222703e-02,2.181671868306064160e-02,2.930585230000123942e-02
7.726562500000000000e+00,1.118430592913526381e-02,1.433555479748417627e-02,1.374996989023032079e-02,2.541482133039531244e-02,2.569259707089496456e-02,2.029656038002454477e-02,2.505447827624278714e-02,1.986152918399811118e-02,2.576517424952996446e-02
8.085937500000000000e+00,1.037756287722750408e-02,1.275041802174091410e-02,1.239658573024499284e-02,2.344067123185369569e-02,2.297064862570506391e-02,1.920587599092333370e-02,2.344936858935755750e-02,1.891968281398805768e-02,2.255358378675951375e-02
8.445312500000000000e+00,9.324782889873430361e-03,1.190600900572274384e-02,1.171259157244097272e-02,2.245383234085441410e-02,2.067088345223000445e-02,1.739798490703173620e-02,2.288905941979693312e-02,1.728771883840457199e-02,2.018412519482005660e-02
8.804687500000000000e+00,8.381035785417916689e-03,1.080727434754354642e-02,1.088092349704854536e-02,2.072785016002079428e-02,1.834573025351857872e-02,1.550829036116492879e-02,2.109631706508194315e-02,1.560563565841991372e-02,1.763223151439012593e-02
9.164062500000000000e+00,7.575097238480883732e-03,9.739413197830039393e-03,1.006352084277855122e-02,1.975915502559816642e-02,1.667696198796499163e-02,1.436052725707749264e-02,2.004390649087091358e-02,1.379988582509085633e-02,1.625713452055174355e-02
9.523437500000000000e+00,7.036299747767189514e-03,8.985481799788240867e-03,8.929683564138963733e-03,1.789476823004705966e-02,1.518672563608579329e-02,1.354648109544804094e-02,1.845106595648529288e-02,1.273656146707709096e-02,1.526923014782885328e-02
9.882812500000000000e+00,6.333257537862105671e-03,8.136899061837612676e-03,8.304847125066943531e-03,1.699816523179906863e-02,1.332113534539565783e-02,1.240221981514106828e-02,1.705266305267285828e-02,1.192249421553444148e-02,1.358429303989575239e-02
1.024218750000000000e+01,5.801781391998970389e-03,7.619651171487549710e-03,7.390351336009899456e-03,1.597642742033913640e-02,1.136850315685128399e-02,1.172254157437297058e-02,1.616500717427712258e-02,1.112638412947195184e-02,1.232926435615668004e-02
1.060156250000000000e+01,5.148550229046803227e-03,7.162748197099224126e-03,7.156753417690999049e-03,1.534403577195869728e-02,1.072060101573476219e-02,1.075129956351390630e-02,1.510608061362426341e-02,1.066673694511979797e-02,1.120071336611059773e-02
1.096093750000000000e+01,4.753380781263374932e-03,6.462765052339209011e-03,6.608014719731407881e-03,1.426724314195025600e-02,9.538434309412814963e-03,1.018469630032697512e-02,1.409213937059448224e-02,9.448388839405734430e-03,9.999086116875478825e-03
1.132031250000000000e+01,4.176051384346570264e-03,6.279916708166537534e-03,5.928752609510397689e-03,1.356893406547316286e-02,8.300689646378858408e-03,9.312932324784441857e-03,1.310122674815661532e-02,9.052556826959398326e-03,8.989928482019753433e-03
