# value,p_norm_ratio
3.906250000000000000e-02,7.443989565962187693e-02
1.171875000000000000e-01,3.487464108285130426e-01
1.953125000000000000e-01,5.799702080713124985e-01
2.734375000000000000e-01,7.923869259258975450e-01
3.515625000000000000e-01,9.024562721043992708e-01
4.296875000000000000e-01,9.459251194837100529e-01
5.078125000000000000e-01,9.868203850703659574e-01
5.859375000000000000e-01,9.769986357742709293e-01
6.640625000000000000e-01,9.310329859110665351e-01
7.421875000000000000e-01,8.701820036306355810e-01
8.203125000000000000e-01,7.992834204321725977e-01
8.984375000000000000e-01,7.153862313681402796e-01
9.765625000000000000e-01,6.081560398101165665e-01
1.054687500000000000e+00,5.041309951698509373e-01
1.132812500000000000e+00,4.317719253016056857e-01
1.210937500000000000e+00,3.635575860691952488e-01
1.289062500000000000e+00,3.050621593852922975e-01
1.367187500000000000e+00,2.625988587374500360e-01
1.445312500000000000e+00,2.106995695094007193e-01
1.523437500000000000e+00,1.737238384696936921e-01
1.601562500000000000e+00,1.409502176933085382e-01
1.679687500000000000e+00,1.160519661535978492e-01
1.757812500000000000e+00,9.737714055867753571e-02
1.835937500000000000e+00,8.712484944505317908e-02
1.914062500000000000e+00,7.462643578382679999e-02
1.992187500000000000e+00,6.237696079922472325e-02
2.070312500000000000e+00,5.372126140537795969e-02
2.148437500000000000e+00,4.399870245426404369e-02
2.226562500000000000e+00,4.017442505398121505e-02
2.304687500000000000e+00,3.356294402761750284e-02
2.382812500000000000e+00,2.868194734697075352e-02
2.460937500000000000e+00,2.370950380552320699e-02
2.539062500000000000e+00,2.442964783432897968e-02
2.617187500000000000e+00,2.122140761997782024e-02
2.695312500000000000e+00,1.862848760228249384e-02
2.773437500000000000e+00,1.662872256991090869e-02
2.851562500000000000e+00,1.550341814394634934e-02
2.929687500000000000e+00,1.338494017287847164e-02
3.007812500000000000e+00,1.021605242707530892e-02
3.085937500000000000e+00,1.009664298451090625e-02
3.164062500000000000e+00,9.372053622193995959e-03
3.242187500000000000e+00,8.057504998183461289e-03
3.320312500000000000e+00,7.218627545273512136e-03
3.398437500000000000e+00,6.046288622803912098e-03
3.476562500000000000e+00,5.847518710091210992e-03
3.554687500000000000e+00,5.486176600399432154e-03
3.632812500000000000e+00,4.889866862261330570e-03
3.710937500000000000e+00,4.364682460301575438e-03
3.789062500000000000e+00,3.525784521983756255e-03
3.867187500000000000e+00,2.883751353445289031e-03
3.945312500000000000e+00,2.921854212112260252e-03
4.023437500000000000e+00,2.805005445533547727e-03
4.101562500000000000e+00,2.282361234151591024e-03
4.179687500000000000e+00,2.203615326239850153e-03
4.257812500000000000e+00,2.162972276995080503e-03
4.335937500000000000e+00,1.842908264192521248e-03
4.414062500000000000e+00,2.164242372283979501e-03
4.492187500000000000e+00,1.801630167303301883e-03
4.570312500000000000e+00,1.242153192543271221e-03
4.648437500000000000e+00,1.721614164102662449e-03
4.726562500000000000e+00,1.400915103655652610e-03
4.804687500000000000e+00,1.482201202145191909e-03
4.882812500000000000e+00,1.200875095654052073e-03
4.960937500000000000e+00,1.280256051210242659e-03
