# vs,max_surftimeconst,max_average_velocity_axis
8.000000000000000000e+00,6.000000000000000000e+00,6.729680132916384672e-01
4.000000000000000000e+00,2.938775510204081343e+00,4.043995168762342662e-01
1.000000000000000000e+00,4.040816326530611846e+00,1.280730632187733475e-01
