# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.997999999999999332e+00,5.242711229745948831e-01,7.895305415726644460e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.444744804429636043e-01,4.063274595103343739e-02,4.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.985198121167202567e-02,9.643264518673404923e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,6.452667877325466428e-01,8.240448327036484222e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,3.187991555342318817e-01,3.868027552407420078e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,8.451632428536488828e-02,9.608642271537041687e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.295565089580415385e-02,9.454603550366405887e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.660913706178735572e-01,3.781720614878040371e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.017444942113423512e-01,8.098839369713962955e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.107826924759952592e-01,7.671985324900067182e-02,8.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.454138104964743494e-01,4.190759943435602708e-02,4.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,9.904745839304579524e-02,9.642404281214815576e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,6.972185702765554272e-01,8.177208654643021435e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.079402924041839712e-01,9.571779777467089717e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,4.089077788213893450e-01,4.011309804663575063e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.980127884951990991e-01,8.192032995053720457e-02,8.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,1.196165936800641372e-01,9.565712953297726001e-03,1.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,4.043177639434137327e-01,4.025960646529782444e-02,4.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,6.790667711667334183e-01,7.947064256733292475e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.899541298884777740e-01,4.284902551341745330e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,1.196647347047534449e-01,9.661259937040672652e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,6.143316975895178889e-01,6.596908712924869078e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,1.365950551438412930e-01,9.568111559625700618e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,4.036379416508302231e-01,4.090799938444381056e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,1.192320802295224746e-01,9.637773027582341445e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.854055553298159076e-01,3.965292730172911839e-02,4.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,6.687461820489097875e-01,7.308318772803636121e-02,8.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,1.149501477932305393e-01,9.434380898122438422e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,6.691187690663132903e-01,7.422729788153210884e-02,8.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,3.784461107065162921e-01,3.846756598617908501e-02,4.000000000000000000e+00,6.000000000000000000e+00
