# value,p_u_x,p_u_y,p_u_z
-8.268750000000000266e-01,3.392317484958526919e-01,4.398552610776634286e-01,3.403456065214253146e-01
-8.006249999999999201e-01,3.743373373931684900e-01,4.629877867346989806e-01,3.606169487179826660e-01
-7.743750000000000355e-01,4.074126518353477500e-01,4.858341359863529996e-01,3.854061786243409560e-01
-7.481249999999999289e-01,4.290616784285014029e-01,4.986826436061308487e-01,3.871313440987955157e-01
-7.218750000000000444e-01,4.364280359198704495e-01,4.966116278988869648e-01,4.099187939993314544e-01
-6.956249999999999378e-01,4.445487225666498454e-01,5.075835379479669562e-01,4.236238054540172882e-01
-6.693750000000000533e-01,4.635177767523209758e-01,5.206338465772297752e-01,4.437337255911990574e-01
-6.431249999999999467e-01,4.788231883479237561e-01,5.620552527972528800e-01,4.613840761812167957e-01
-6.168750000000000622e-01,5.051289885819789660e-01,5.625500621365030485e-01,4.973557149174464009e-01
-5.906249999999999556e-01,5.328097698842438890e-01,5.796421492845881263e-01,5.082867689685356405e-01
-5.643749999999999600e-01,5.565533569193600316e-01,6.041205188572502660e-01,5.299948255727543467e-01
-5.381249999999999645e-01,5.320281282539283119e-01,5.928051116880864724e-01,5.615857319169504924e-01
-5.118749999999999689e-01,5.701868275262266250e-01,5.916385913427949506e-01,5.833450942940097139e-01
-4.856249999999999734e-01,6.024750626494669303e-01,6.128511518131843916e-01,5.745150811546143599e-01
-4.593749999999999778e-01,5.779057379656804549e-01,6.677671564815637062e-01,5.883687200171642262e-01
-4.331249999999999822e-01,6.073876877557053966e-01,6.456770873388819609e-01,6.048065949480980752e-01
-4.068749999999999867e-01,6.545683333127684245e-01,6.724846733099295593e-01,6.100981830675500373e-01
-3.806249999999999911e-01,6.882689873834667571e-01,6.751316104440120425e-01,6.302237350025047258e-01
-3.543749999999999956e-01,6.669677370248521253e-01,6.785914985237886388e-01,6.476287048864372009e-01
-3.281250000000000000e-01,6.664843897849243026e-01,6.963590128171575078e-01,6.494845689763230068e-01
-3.018749999999999489e-01,6.813614187697306646e-01,6.831014727862363412e-01,6.538733856948616419e-01
-2.756249999999999534e-01,6.798930322726510767e-01,6.862978326285892328e-01,6.727713564816530933e-01
-2.493749999999999578e-01,6.686098093045641511e-01,6.653145857894009474e-01,6.950408760282555942e-01
-2.231249999999999623e-01,6.764744995193442412e-01,6.893538161885128801e-01,6.768480456791501343e-01
-1.968749999999999667e-01,7.057139120958257905e-01,6.855529052301700954e-01,6.822743758790278390e-01
-1.706249999999999711e-01,6.876626395815781390e-01,6.911806997926361884e-01,6.873904668272895480e-01
-1.443749999999999756e-01,6.756913493504479451e-01,6.978659841815215703e-01,6.942287131479401019e-01
-1.181249999999999800e-01,7.304792155071766491e-01,7.024950939952991913e-01,7.510702188093645315e-01
-9.187499999999998446e-02,7.071722942369258469e-01,7.162029676305854409e-01,7.660323304173097814e-01
-6.562499999999998890e-02,6.990566788644456686e-01,7.173611572178647533e-01,7.678578157352061728e-01
-3.937499999999999334e-02,7.056120584695783071e-01,7.312163279367860369e-01,8.000693493430971470e-01
-1.312499999999999778e-02,7.217605702799986256e-01,6.981317482250910533e-01,7.949153136198826575e-01
1.312499999999999778e-02,7.179265257980315118e-01,6.969013246944794071e-01,7.733510658971470830e-01
3.937499999999999334e-02,6.894657989659955799e-01,6.817496536049306721e-01,7.473847312561812117e-01
6.562499999999998890e-02,6.847408901759554078e-01,7.238126055923927993e-01,7.399536017504979579e-01
9.187499999999998446e-02,6.994689823724549171e-01,7.315050455580622835e-01,7.095062451769320599e-01
1.181249999999999800e-01,6.829259843322394996e-01,6.976429753987065663e-01,7.445992360406714639e-01
1.443749999999999756e-01,6.889168785087422808e-01,6.710918017694704751e-01,7.469667687277740109e-01
1.706249999999999711e-01,7.004049783749652924e-01,6.383604846574522096e-01,7.556981129828996835e-01
1.968750000000000222e-01,6.687785944596166265e-01,6.340316930501563863e-01,7.432115748136316480e-01
2.231250000000000178e-01,6.927497721283984999e-01,6.505469213293754160e-01,7.242630771534952494e-01
2.493750000000000133e-01,6.623626699983204968e-01,6.270882996822492172e-01,7.053569360134611665e-01
2.756250000000000089e-01,6.915354706106402460e-01,6.181212648765888051e-01,6.811413633002754153e-01
3.018750000000000044e-01,7.070818737248292241e-01,5.754641704644796185e-01,6.873642377112395563e-01
3.281250000000000000e-01,7.112021736506014546e-01,5.988348230407410933e-01,6.866979445563846651e-01
3.543749999999999956e-01,6.697858100268565540e-01,5.888998501172554301e-01,6.348855889680820042e-01
3.806249999999999911e-01,6.708130012336617209e-01,6.135106231415848876e-01,6.321618000001837379e-01
4.068749999999999867e-01,6.543486704571926937e-01,6.000125729138319208e-01,6.105692954377003323e-01
4.331249999999999822e-01,6.697571207245459624e-01,5.777889593433528370e-01,6.119728731317163328e-01
4.593749999999999778e-01,6.415148000981982790e-01,5.680568592433951070e-01,6.170920214488990752e-01
4.856249999999999734e-01,6.132281060890597546e-01,5.410047604859249404e-01,6.080830575439788444e-01
5.118749999999999689e-01,5.979505634373217804e-01,5.229623514640378001e-01,5.889482978485917064e-01
5.381249999999999645e-01,5.731371850191364636e-01,5.314683643073362385e-01,5.585992117859203132e-01
5.643749999999999600e-01,5.565241947581630599e-01,5.414799730244945764e-01,5.274743861832248415e-01
5.906249999999999556e-01,5.609820793313791132e-01,5.040208631557018260e-01,5.104775085516675137e-01
6.168749999999999512e-01,5.225964176644104509e-01,5.066610992358406840e-01,5.125781320839201127e-01
6.431249999999999467e-01,5.129675756065487091e-01,4.876743518602909000e-01,4.854330016012081139e-01
6.693749999999999423e-01,5.034909469835791018e-01,4.628296674990755588e-01,4.757042850082852103e-01
6.956249999999999378e-01,4.708501608622905898e-01,4.493122662029565006e-01,4.541591338360836394e-01
7.218749999999999334e-01,4.470352648589086542e-01,4.534982180020445952e-01,4.393115148062732289e-01
7.481249999999999289e-01,4.366252943812973797e-01,4.423949795967888066e-01,4.320616365419663318e-01
7.743749999999999245e-01,4.027137493224242082e-01,4.237622702444785450e-01,3.862149811102816299e-01
8.006249999999999201e-01,3.774326436772193483e-01,4.138982867253255815e-01,3.569994879141203947e-01
8.268749999999999156e-01,3.423102925704556432e-01,4.029134066887619658e-01,3.667905354815368946e-01
