# value,p_norm_ratio
3.906250000000000000e-02,6.203445911675497387e-02
1.171875000000000000e-01,2.933963245247211415e-01
1.953125000000000000e-01,5.168354248326305633e-01
2.734375000000000000e-01,6.980522529881026950e-01
3.515625000000000000e-01,8.187408459362403024e-01
4.296875000000000000e-01,8.986003754338818261e-01
5.078125000000000000e-01,9.393003221861123686e-01
5.859375000000000000e-01,9.474201425337328564e-01
6.640625000000000000e-01,9.062243614666821712e-01
7.421875000000000000e-01,8.461500114039111065e-01
8.203125000000000000e-01,7.802333767365396966e-01
8.984375000000000000e-01,7.172856527854777342e-01
9.765625000000000000e-01,6.242736567935049941e-01
1.054687500000000000e+00,5.331552382701710835e-01
1.132812500000000000e+00,4.763076377826057084e-01
1.210937500000000000e+00,3.998290349986252656e-01
1.289062500000000000e+00,3.351365087542131360e-01
1.367187500000000000e+00,2.877164987706481436e-01
1.445312500000000000e+00,2.396080780987919212e-01
1.523437500000000000e+00,2.081089588512714805e-01
1.601562500000000000e+00,1.756181370107268436e-01
1.679687500000000000e+00,1.478409230694270049e-01
1.757812500000000000e+00,1.270300092382322943e-01
1.835937500000000000e+00,1.076480201485608273e-01
1.914062500000000000e+00,9.315395470572634951e-02
1.992187500000000000e+00,7.814683283325966900e-02
2.070312500000000000e+00,6.623666072499181934e-02
2.148437500000000000e+00,5.755482339217491555e-02
2.226562500000000000e+00,4.722952748696514907e-02
2.304687500000000000e+00,4.180063097085569279e-02
2.382812500000000000e+00,3.481207530158335339e-02
2.460937500000000000e+00,3.069607439567383772e-02
2.539062500000000000e+00,2.812328008498654261e-02
2.617187500000000000e+00,2.498637262091481237e-02
2.695312500000000000e+00,2.223181861860367564e-02
2.773437500000000000e+00,2.032033364695830235e-02
2.851562500000000000e+00,1.766654644729453993e-02
2.929687500000000000e+00,1.548528820283569252e-02
3.007812500000000000e+00,1.401275131027061860e-02
3.085937500000000000e+00,1.209950468436923540e-02
3.164062500000000000e+00,1.103559912961903089e-02
3.242187500000000000e+00,1.001346787807451920e-02
3.320312500000000000e+00,9.273203725771393333e-03
3.398437500000000000e+00,8.872690714018350439e-03
3.476562500000000000e+00,7.712266281750123839e-03
3.554687500000000000e+00,6.830321775686415582e-03
3.632812500000000000e+00,6.269261888108848546e-03
3.710937500000000000e+00,5.167474134585396672e-03
3.789062500000000000e+00,4.806887886763740701e-03
3.867187500000000000e+00,4.536518852326925852e-03
3.945312500000000000e+00,4.275760200673790062e-03
4.023437500000000000e+00,3.725573283165350795e-03
4.101562500000000000e+00,3.284385455136434092e-03
4.179687500000000000e+00,3.324708480371402815e-03
4.257812500000000000e+00,2.723919494413018765e-03
4.335937500000000000e+00,2.644022397192121853e-03
4.414062500000000000e+00,2.413230214361545157e-03
4.492187500000000000e+00,2.363533691762288204e-03
4.570312500000000000e+00,2.233076536567158397e-03
4.648437500000000000e+00,2.063278801153998164e-03
4.726562500000000000e+00,1.432720386905847812e-03
4.804687500000000000e+00,1.441779478328887804e-03
4.882812500000000000e+00,1.221854993200274494e-03
4.960937500000000000e+00,1.231737161080507983e-03
