# value,p_w
8.984375000000000000e-02,2.473400994504885075e-04
2.695312500000000000e-01,1.774791785806900625e-03
4.492187500000000000e-01,4.892018200575065819e-03
6.289062500000000000e-01,9.086910710839033595e-03
8.085937500000000000e-01,1.422035007601305662e-02
9.882812500000000000e-01,1.984843760926499265e-02
1.167968750000000000e+00,2.588438629635649024e-02
1.347656250000000000e+00,3.238114731468737933e-02
1.527343750000000000e+00,3.850469724383083492e-02
1.707031250000000000e+00,4.455318080288986349e-02
1.886718750000000000e+00,4.962891589706935197e-02
2.066406250000000000e+00,5.513278880471729482e-02
2.246093750000000000e+00,6.063288021549495532e-02
2.425781250000000000e+00,6.586052293453076301e-02
2.605468750000000000e+00,7.005147458497212876e-02
2.785156250000000000e+00,7.489849433835345238e-02
2.964843750000000000e+00,8.017456546413544161e-02
3.144531250000000000e+00,8.376373822992848328e-02
3.324218750000000000e+00,8.679071263571246087e-02
3.503906250000000000e+00,9.007437705326408472e-02
3.683593750000000000e+00,9.288692445666769937e-02
3.863281250000000000e+00,9.529692827950977940e-02
4.042968750000000000e+00,9.758093302882382691e-02
4.222656250000000000e+00,1.000178007646506939e-01
4.402343750000000000e+00,1.033315794557002620e-01
4.582031250000000000e+00,1.045088147319838817e-01
4.761718750000000000e+00,1.059146714772992298e-01
4.941406250000000000e+00,1.075096012312361932e-01
5.121093750000000000e+00,1.100367992245694787e-01
5.300781250000000000e+00,1.110665920439813520e-01
5.480468750000000000e+00,1.111141114469590824e-01
5.660156250000000000e+00,1.119781905783859693e-01
5.839843750000000000e+00,1.124409378937405724e-01
6.019531250000000000e+00,1.129338385097908293e-01
6.199218750000000000e+00,1.130527008509908671e-01
6.378906250000000000e+00,1.135565435834936937e-01
6.558593750000000000e+00,1.135784606343154535e-01
6.738281250000000000e+00,1.141293099726772425e-01
6.917968750000000000e+00,1.145459393299087664e-01
7.097656250000000000e+00,1.140413635625650984e-01
7.277343750000000000e+00,1.135950591847778163e-01
7.457031250000000000e+00,1.130617011802584893e-01
7.636718750000000000e+00,1.118527354969001686e-01
7.816406250000000000e+00,1.104223999937174877e-01
7.996093750000000000e+00,1.097936289334350141e-01
8.175781250000000000e+00,1.099053189414163634e-01
8.355468750000000000e+00,1.088774171911662120e-01
8.535156250000000000e+00,1.080955743855818718e-01
8.714843750000000000e+00,1.076778937124954899e-01
8.894531250000000000e+00,1.075698313652029003e-01
9.074218750000000000e+00,1.065140564449620214e-01
9.253906250000000000e+00,1.056166602814138100e-01
9.433593750000000000e+00,1.040984185336870788e-01
9.613281250000000000e+00,1.035750431691273843e-01
9.792968750000000000e+00,1.025947422826548189e-01
9.972656250000000000e+00,1.014926256666001947e-01
1.015234375000000000e+01,1.000253861966999974e-01
1.033203125000000000e+01,9.985019951550952455e-02
1.051171875000000000e+01,9.826846240661400722e-02
1.069140625000000000e+01,9.745442699873306525e-02
1.087109375000000000e+01,9.597567547507677987e-02
1.105078125000000000e+01,9.481307880171997715e-02
1.123046875000000000e+01,9.383181558554599955e-02
1.141015625000000000e+01,9.233146820591316140e-02
