# value,p_u_x,p_u_y,p_u_z
3.937499999999999334e-02,7.519612983050321109e-01,6.940124463064891724e-01,7.341208322995761426e-01
6.562499999999998890e-02,7.456112248027990663e-01,6.840444869658429683e-01,7.380042825571440090e-01
9.187499999999998446e-02,7.336782337212099936e-01,6.791874951870683352e-01,7.335431051680733061e-01
1.181249999999999800e-01,7.361240237361078576e-01,6.796272921202648476e-01,7.356894310278796478e-01
1.443749999999999756e-01,7.327919013814248039e-01,6.841258918728750915e-01,7.362648611692708123e-01
1.706249999999999711e-01,7.282901689089088526e-01,6.640885242400057509e-01,7.324682905687032175e-01
1.968750000000000222e-01,7.083019480248697874e-01,6.442347728216191172e-01,7.266621884697815892e-01
2.231250000000000178e-01,7.185813575688962951e-01,6.422210859286917595e-01,7.232413291045954873e-01
2.493750000000000133e-01,7.160561559645567398e-01,6.370579980354807992e-01,7.137195157011646529e-01
2.756250000000000089e-01,7.048080781084358204e-01,6.209323848950220048e-01,7.057100134933207425e-01
3.018750000000000044e-01,7.006759991819897504e-01,6.223445133745435509e-01,6.939939644440384914e-01
3.281250000000000000e-01,6.771460217428593165e-01,6.058901049905367486e-01,6.792398577624578770e-01
3.543749999999999956e-01,6.643236191991580553e-01,6.072656293313811737e-01,6.737531605583773064e-01
3.806249999999999911e-01,6.613423601520442840e-01,6.070588723912537787e-01,6.697416571021926890e-01
4.068749999999999867e-01,6.498599710198312840e-01,6.012700631113137018e-01,6.522576534446606900e-01
4.331249999999999822e-01,6.379770554593500176e-01,5.888851102293555240e-01,6.324982698852228413e-01
4.593749999999999778e-01,6.184521474050334033e-01,5.757499699766693846e-01,6.252683616612264572e-01
4.856249999999999734e-01,6.070332724742751873e-01,5.715872992861710244e-01,6.029254916133597320e-01
5.118749999999999689e-01,5.945124102100333152e-01,5.592490906015769037e-01,5.860991158158687098e-01
5.381249999999999645e-01,5.751504547801342682e-01,5.351283580888867020e-01,5.687952930723750855e-01
5.643749999999999600e-01,5.652890265912303702e-01,5.323925531683006973e-01,5.534632476308842808e-01
5.906249999999999556e-01,5.498379579079213375e-01,5.209485448232453741e-01,5.469432782050951403e-01
6.168749999999999512e-01,5.386768765076035415e-01,5.113458921999702866e-01,5.295907929511189938e-01
6.431249999999999467e-01,5.200769101075821688e-01,4.980154420314414354e-01,5.088265036514134643e-01
6.693749999999999423e-01,5.022355499562684011e-01,4.890690598165316483e-01,4.943852884922803614e-01
6.956249999999999378e-01,4.800457670946633448e-01,4.717852257488135970e-01,4.748404678937404588e-01
7.218749999999999334e-01,4.617504862493100881e-01,4.642431075513013816e-01,4.553555337574473616e-01
7.481249999999999289e-01,4.372161603508639693e-01,4.508053278075115911e-01,4.401024447396291728e-01
7.743749999999999245e-01,4.169801601311183825e-01,4.371535395895130294e-01,4.169566298779561753e-01
8.006249999999999201e-01,4.023136245677027545e-01,4.298249124585865610e-01,3.957788623966946306e-01
8.268749999999999156e-01,3.877220099476642590e-01,4.155184277995475628e-01,3.774885700641287811e-01
