# value,p_w
8.984375000000000000e-02,1.609090542989854609e-04
2.695312500000000000e-01,1.935390993634545894e-03
4.492187500000000000e-01,5.661654324495390099e-03
6.289062500000000000e-01,8.749101713261696681e-03
8.085937500000000000e-01,1.277053025823787595e-02
9.882812500000000000e-01,1.870754744812809164e-02
1.167968750000000000e+00,2.628612329406321627e-02
1.347656250000000000e+00,2.900952514767721202e-02
1.527343750000000000e+00,3.823241660738150444e-02
1.707031250000000000e+00,4.375052036858491367e-02
1.886718750000000000e+00,5.158596649847854709e-02
2.066406250000000000e+00,5.948591080502584061e-02
2.246093750000000000e+00,6.150829010557987836e-02
2.425781250000000000e+00,7.124019617270124782e-02
2.605468750000000000e+00,7.573454086082477554e-02
2.785156250000000000e+00,7.702730013898352601e-02
2.964843750000000000e+00,8.082336012954682847e-02
3.144531250000000000e+00,8.434627055516698280e-02
3.324218750000000000e+00,9.236713413010409768e-02
3.503906250000000000e+00,9.624904848660494061e-02
3.683593750000000000e+00,1.008992391017343448e-01
3.863281250000000000e+00,9.881835920579959409e-02
4.042968750000000000e+00,1.034464076597999271e-01
4.222656250000000000e+00,1.036563063094973064e-01
4.402343750000000000e+00,1.058536111582940586e-01
4.582031250000000000e+00,1.082349081647566019e-01
4.761718750000000000e+00,1.097631435160904695e-01
4.941406250000000000e+00,1.094569019087713729e-01
5.121093750000000000e+00,1.117210666624134513e-01
5.300781250000000000e+00,1.174019644482039298e-01
5.480468750000000000e+00,1.136698992689950116e-01
5.660156250000000000e+00,1.154618878885921851e-01
5.839843750000000000e+00,1.141238506441952932e-01
6.019531250000000000e+00,1.129954754651873866e-01
6.199218750000000000e+00,1.137821810273804274e-01
6.378906250000000000e+00,1.146444752600875722e-01
6.558593750000000000e+00,1.132059024130325497e-01
6.738281250000000000e+00,1.147140280992041822e-01
6.917968750000000000e+00,1.173176852419915983e-01
7.097656250000000000e+00,1.110352760772665565e-01
7.277343750000000000e+00,1.136646928365152576e-01
7.457031250000000000e+00,1.099180065376454130e-01
7.636718750000000000e+00,1.101940935772924568e-01
7.816406250000000000e+00,1.076756826609234219e-01
7.996093750000000000e+00,1.112205408383183797e-01
8.175781250000000000e+00,1.132833251060804125e-01
8.355468750000000000e+00,1.078758618460026186e-01
8.535156250000000000e+00,1.097599140445641164e-01
8.714843750000000000e+00,1.102263744615332719e-01
8.894531250000000000e+00,1.035451431819894297e-01
9.074218750000000000e+00,1.039196137368673389e-01
9.253906250000000000e+00,1.012963300121457744e-01
9.433593750000000000e+00,9.851891162032666571e-02
9.613281250000000000e+00,1.011647498340286777e-01
9.792968750000000000e+00,9.668824741957976476e-02
9.972656250000000000e+00,9.598917086771260876e-02
1.015234375000000000e+01,9.509656462708668268e-02
1.033203125000000000e+01,9.680011615442331296e-02
1.051171875000000000e+01,9.252155349130722350e-02
1.069140625000000000e+01,8.990464292296621029e-02
1.087109375000000000e+01,9.375041126696841143e-02
1.105078125000000000e+01,8.670360066529463061e-02
1.123046875000000000e+01,8.671068217429848957e-02
1.141015625000000000e+01,8.295485480637336539e-02
