# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,surftimeconst
1.000000000000000000e+01,-4.050202774999903804e-03,7.894509913206058938e-02,2.834760238124990964e-02,8.397715042792436302e-02,-1.009610533750006714e-02,5.231918662550227167e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.959891459999999960e-02,4.062111200258551602e-02,8.271250948437431846e-03,4.660476310051159948e-02,9.184437982812484330e-03,3.343442799976221319e-02,4.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-6.194947726416022080e-03,9.640084635373981012e-03,1.483332402001951876e-03,1.262691559174362876e-02,-7.189300879394552868e-03,9.297804074695392024e-03,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.288466450843749334e-01,8.233716810596386493e-02,7.713145564687504119e-02,7.057297982494885324e-02,2.552968206249999969e-02,5.519568613908397425e-02,8.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+01,6.062409464453119567e-02,3.866716473299987300e-02,-2.311403381562493475e-02,4.805391269690749423e-02,7.194883600000013223e-03,2.892937629958204637e-02,4.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+01,2.019247929956055621e-02,9.604949319208850103e-03,-4.018492820605446686e-03,1.282925212187458787e-02,5.464464620459004093e-03,9.314488303070678904e-03,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+01,3.222346056967771710e-02,9.449734688450036127e-03,6.231094911035163497e-03,1.256100108880776368e-02,4.302104393603496321e-03,9.275386760783732934e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.196123423343750103e-01,3.776347637373263233e-02,-1.983342055156252920e-02,4.493727371016649486e-02,1.307781051796872221e-02,3.284175642092528047e-02,4.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.097481854562501330e-01,8.063584417956720651e-02,-5.961177283125015242e-02,8.964358660505476750e-02,1.742147300000060697e-03,4.894775683251974957e-02,8.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.403622902781250237e-01,7.596647852310219051e-02,7.379676837187514049e-02,8.968835603989099015e-02,-1.714197533749994493e-02,4.069596135052458430e-02,8.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000000e+01,1.114120740507812679e-01,4.196919285108050707e-02,5.674440237500025935e-03,4.455796285287223074e-02,2.893885737734378308e-02,3.111695259801051591e-02,4.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000000e+01,4.249438252177735464e-02,9.634604721321670534e-03,3.919864456787084186e-03,1.258527054759496847e-02,2.440366896874981636e-03,9.027503673337941917e-03,1.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000000e+01,2.532327199749999647e-01,8.174497899111182742e-02,3.962087076874994118e-02,9.240818367321430860e-02,1.846170498750002859e-02,4.496740643732978493e-02,8.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,5.535853045830077535e-02,9.562101419056228888e-03,3.673858588037111957e-03,1.247090798234165403e-02,-7.127820637695516173e-04,9.244896225453550637e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,1.899358863218750249e-01,4.012819210111331220e-02,1.617086603906250225e-02,4.568741696118408524e-02,7.643303447656274625e-03,3.082530667292137511e-02,4.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,2.765091922343748676e-01,8.155288641791660909e-02,-5.173407014062502557e-02,8.178984201731366588e-02,2.269936120625000789e-02,4.972837532501909324e-02,8.000000000000000000e+00,2.500000000000000000e+00
1.000000000000000000e+01,7.066105771416014703e-02,9.553732046955113952e-03,-9.449512125488279679e-03,1.255640132879186181e-02,-1.034822567187505208e-03,9.221785314794523486e-03,1.000000000000000000e+00,2.500000000000000000e+00
1.000000000000000000e+01,1.964240001507812083e-01,4.040006130675255491e-02,4.994591907656255325e-02,4.629373651478738833e-02,4.220833899999981015e-03,3.160144852021672807e-02,4.000000000000000000e+00,2.500000000000000000e+00
1.000000000000000000e+01,2.806953617593749284e-01,8.007729292879946226e-02,-1.044521317812503042e-02,8.158106260774927732e-02,1.901786063124995957e-02,5.859942456459220350e-02,8.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,1.945890911031249448e-01,4.269868372065251799e-02,-4.201067354765625206e-02,4.902292092993934536e-02,-4.762182739062457287e-03,3.103436505914934640e-02,4.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,7.378050647309569721e-02,9.646416409788213450e-03,8.143895972558570090e-03,1.268238035284463203e-02,-3.442692333984374246e-03,9.157931693106236698e-03,1.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,2.571500961406250618e-01,6.577594233902854526e-02,4.936364161875001627e-02,9.602848790387245870e-02,-4.353637649687499417e-02,5.655294548941659782e-02,8.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+01,9.617392363798828170e-02,9.559538289290894428e-03,1.045336952314455600e-02,1.284796153222282460e-02,-5.731349196484371473e-03,9.319607514394598682e-03,1.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+01,2.310997129664062455e-01,4.084007775129218365e-02,3.344356392734373906e-02,4.833407438105058462e-02,1.899330320312224950e-04,3.221545920391592766e-02,4.000000000000000000e+00,4.000000000000000000e+00
