# time,omega_active^2,95CLI,vs,surftimeconst
9.859999999999999876e-01,1.481922811519197580e+02,5.877502171023029121e+01,8.000000000000000000e+00,0.000000000000000000e+00
9.859999999999999876e-01,1.170075244673993211e+02,1.473081709890730018e+01,4.000000000000000000e+00,0.000000000000000000e+00
9.859999999999999876e-01,1.190833248886642650e+02,5.736533647772983358e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.859999999999999876e-01,1.130512456928470044e+02,1.831312354263508269e+01,8.000000000000000000e+00,5.000000000000000000e-01
9.859999999999999876e-01,1.081123204893734311e+02,1.175789087830161073e+01,4.000000000000000000e+00,5.000000000000000000e-01
9.859999999999999876e-01,1.305097093383469371e+02,6.238644210587978023e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.859999999999999876e-01,1.650240319993233697e+02,8.569364837614450892e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.859999999999999876e-01,1.748852342719443698e+02,3.777198036779241619e+01,4.000000000000000000e+00,1.000000000000000000e+00
9.859999999999999876e-01,2.443244438525377404e+02,5.352712548349669675e+01,8.000000000000000000e+00,1.000000000000000000e+00
9.859999999999999876e-01,6.181570878148918382e+02,2.543399318649225620e+02,8.000000000000000000e+00,1.500000000000000000e+00
9.859999999999999876e-01,2.512097422955137915e+02,4.771198887650062659e+01,4.000000000000000000e+00,1.500000000000000000e+00
9.859999999999999876e-01,2.162868053816420684e+02,1.209353146197068618e+01,1.000000000000000000e+00,1.500000000000000000e+00
9.859999999999999876e-01,1.081000453924952126e+03,6.144104426472022169e+02,8.000000000000000000e+00,2.000000000000000000e+00
9.859999999999999876e-01,2.961536315437276699e+02,1.868298542518538952e+01,1.000000000000000000e+00,2.000000000000000000e+00
9.859999999999999876e-01,5.838491239127836252e+02,1.562906093382352992e+02,4.000000000000000000e+00,2.000000000000000000e+00
9.859999999999999876e-01,2.626356178348528374e+03,2.207287946315917452e+03,8.000000000000000000e+00,2.500000000000000000e+00
9.859999999999999876e-01,3.596355611064309414e+02,2.248626276907735644e+01,1.000000000000000000e+00,2.500000000000000000e+00
9.859999999999999876e-01,5.292313097263288455e+02,9.776749579977756355e+01,4.000000000000000000e+00,2.500000000000000000e+00
9.859999999999999876e-01,1.688225778357620356e+03,7.671016993454185240e+02,8.000000000000000000e+00,3.000000000000000000e+00
9.859999999999999876e-01,8.350809476296665252e+02,1.980822874609332018e+02,4.000000000000000000e+00,3.000000000000000000e+00
9.859999999999999876e-01,4.699013570838897067e+02,3.017920379644007767e+01,1.000000000000000000e+00,3.000000000000000000e+00
9.859999999999999876e-01,3.808242459766630418e+03,1.828142431406015930e+03,8.000000000000000000e+00,4.000000000000000000e+00
9.859999999999999876e-01,7.522499496896764413e+02,4.733323584372526227e+01,1.000000000000000000e+00,4.000000000000000000e+00
9.859999999999999876e-01,1.315530517092835908e+03,2.803289191686295680e+02,4.000000000000000000e+00,4.000000000000000000e+00
9.859999999999999876e-01,1.085946204784157544e+03,7.442718570849778814e+01,1.000000000000000000e+00,5.000000000000000000e+00
9.859999999999999876e-01,1.875073689363384801e+03,3.643607732438026687e+02,4.000000000000000000e+00,5.000000000000000000e+00
9.859999999999999876e-01,9.997864069081999332e+03,5.108213872550118140e+03,8.000000000000000000e+00,5.000000000000000000e+00
9.859999999999999876e-01,1.513408377086530436e+03,8.956498535080778822e+01,1.000000000000000000e+00,6.000000000000000000e+00
9.859999999999999876e-01,1.154278080861365561e+04,4.521098880873101734e+03,8.000000000000000000e+00,6.000000000000000000e+00
9.859999999999999876e-01,3.791483162877214909e+03,8.352832161419037220e+02,4.000000000000000000e+00,6.000000000000000000e+00
