# value,p_norm_ratio
3.906250000000000000e-02,7.161146920558314477e-02
1.171875000000000000e-01,3.310701724436642679e-01
1.953125000000000000e-01,5.874675068996694227e-01
2.734375000000000000e-01,7.592172996888616465e-01
3.515625000000000000e-01,8.847988712513149556e-01
4.296875000000000000e-01,9.542612139907679092e-01
5.078125000000000000e-01,9.771496402645869495e-01
5.859375000000000000e-01,9.584051317741005827e-01
6.640625000000000000e-01,9.168492692954053336e-01
7.421875000000000000e-01,8.537427760949691802e-01
8.203125000000000000e-01,7.978155029451265978e-01
8.984375000000000000e-01,7.101570767730603917e-01
9.765625000000000000e-01,6.069657857287429348e-01
1.054687500000000000e+00,5.168789696270160716e-01
1.132812500000000000e+00,4.432012216711328501e-01
1.210937500000000000e+00,3.740758327190760180e-01
1.289062500000000000e+00,3.145171248492218408e-01
1.367187500000000000e+00,2.560261241684995692e-01
1.445312500000000000e+00,2.177584032614874876e-01
1.523437500000000000e+00,1.870584225690815061e-01
1.601562500000000000e+00,1.535677423204717118e-01
1.679687500000000000e+00,1.296154106386852856e-01
1.757812500000000000e+00,1.083097166716727594e-01
1.835937500000000000e+00,9.117600595032059052e-02
1.914062500000000000e+00,7.748109301522751458e-02
1.992187500000000000e+00,6.639308719641437428e-02
2.070312500000000000e+00,5.684003996061894742e-02
2.148437500000000000e+00,4.752017950651339639e-02
2.226562500000000000e+00,4.077758212483499622e-02
2.304687500000000000e+00,3.543744754372324390e-02
2.382812500000000000e+00,3.059101553577866714e-02
2.460937500000000000e+00,2.751635924198482172e-02
2.539062500000000000e+00,2.413117243382911087e-02
2.617187500000000000e+00,2.086789202164296766e-02
2.695312500000000000e+00,1.884697152711201085e-02
2.773437500000000000e+00,1.622307297788891378e-02
2.851562500000000000e+00,1.417069798380734581e-02
2.929687500000000000e+00,1.235814127615219096e-02
3.007812500000000000e+00,1.075645150643609813e-02
3.085937500000000000e+00,1.068540712855205188e-02
3.164062500000000000e+00,9.204682393782017899e-03
3.242187500000000000e+00,8.101753466406751494e-03
3.320312500000000000e+00,7.852333507336261079e-03
3.398437500000000000e+00,7.149480246358638942e-03
3.476562500000000000e+00,5.958612133110633910e-03
3.554687500000000000e+00,6.038939453785515353e-03
3.632812500000000000e+00,4.645955592230104590e-03
3.710937500000000000e+00,3.814688211688987193e-03
3.789062500000000000e+00,3.835281183147258056e-03
3.867187500000000000e+00,3.264343775038794273e-03
3.945312500000000000e+00,3.635164584826110906e-03
4.023437500000000000e+00,3.134987367853927977e-03
4.101562500000000000e+00,2.624533273255890645e-03
4.179687500000000000e+00,2.453317604270913253e-03
4.257812500000000000e+00,2.243392325215084766e-03
4.335937500000000000e+00,2.062571538547328283e-03
4.414062500000000000e+00,2.123526449924849693e-03
4.492187500000000000e+00,1.872690116223028152e-03
4.570312500000000000e+00,1.571962995347251117e-03
4.648437500000000000e+00,1.452213246416455975e-03
4.726562500000000000e+00,1.341601653664063190e-03
4.804687500000000000e+00,1.031265694238120510e-03
4.882812500000000000e+00,1.111516729777943481e-03
4.960937500000000000e+00,1.181884674559645354e-03
