# value,p_w_0,p_w_1,p_w_2
-1.132031250000000000e+01,1.620795895218856905e-02,1.840311773362546602e-02,1.789403267133405501e-02
-1.096093750000000000e+01,1.828109260004711495e-02,1.926855388346497902e-02,2.004173587996601821e-02
-1.060156250000000000e+01,1.923030336375108548e-02,2.078484376534512831e-02,1.946126565281908888e-02
-1.024218750000000000e+01,1.960241572730495388e-02,2.160405479212201829e-02,2.094486163165757558e-02
-9.882812500000000000e+00,2.028243066825863306e-02,2.188025525297328244e-02,2.113823170907105573e-02
-9.523437500000000000e+00,2.247769221661976777e-02,2.289618466328612392e-02,2.234766571892073811e-02
-9.164062500000000000e+00,2.441044607681788076e-02,2.535427720538854096e-02,2.440445232561098271e-02
-8.804687500000000000e+00,2.452317669297348138e-02,2.651634201757835374e-02,2.467082271278509334e-02
-8.445312500000000000e+00,2.701796899930610646e-02,2.717993979270095367e-02,2.612680610928637057e-02
-8.085937500000000000e+00,2.742631457845572454e-02,2.920589606436779090e-02,2.812177365637077639e-02
-7.726562500000000000e+00,2.969330557516504029e-02,3.074701323953881599e-02,3.085913003850621061e-02
-7.367187500000000000e+00,3.047177242885613924e-02,3.153447885936031675e-02,3.092933695714237402e-02
-7.007812500000000000e+00,3.104142287566077213e-02,3.324380319701648184e-02,3.271412386668341721e-02
-6.648437500000000000e+00,3.351913335159256713e-02,3.389201669709418496e-02,3.540830136209621032e-02
-6.289062500000000000e+00,3.696549415310516895e-02,3.587627159603665183e-02,3.701923393575434068e-02
-5.929687500000000000e+00,3.750748294566559615e-02,3.847368493600369227e-02,3.841292058247700730e-02
-5.570312500000000000e+00,4.112371977896667197e-02,4.155141596409706040e-02,4.103506554168064036e-02
-5.210937500000000000e+00,4.425021642033704489e-02,4.372051483486275730e-02,4.440601877465343017e-02
-4.851562500000000000e+00,4.662796978134049752e-02,4.777087489401325021e-02,4.500018333427171363e-02
-4.492187500000000000e+00,4.933275444496776352e-02,4.974709243908878586e-02,4.690112162586395489e-02
-4.132812500000000000e+00,5.059672250061580945e-02,4.965607975911185551e-02,5.135340841634499637e-02
-3.773437500000000000e+00,5.342923990832322556e-02,5.285029050993154259e-02,5.342556273141032402e-02
-3.414062500000000000e+00,5.570775482228244868e-02,5.692229900897705086e-02,5.467615064625699905e-02
-3.054687500000000000e+00,6.059173738037042928e-02,5.933044150579304399e-02,5.874169429610157089e-02
-2.695312500000000000e+00,6.392430343790368730e-02,6.077435295380290148e-02,6.256164331431998682e-02
-2.335937500000000000e+00,6.825236464924286373e-02,6.267884875884956186e-02,6.388015873192372240e-02
-1.976562500000000000e+00,7.044489648970267415e-02,6.335132995950286394e-02,6.682397495593243864e-02
-1.617187500000000000e+00,7.139826539665602989e-02,6.691095324903643948e-02,7.018630299506790904e-02
-1.257812500000000000e+00,7.360476058949257105e-02,7.150393655025420736e-02,7.166791016884595245e-02
-8.984375000000000000e-01,7.786040321215677296e-02,7.178580297262793231e-02,7.346937115114894612e-02
-5.390625000000000000e-01,7.946376789312134536e-02,7.615910886699887861e-02,7.539367223382133221e-02
-1.796875000000000000e-01,8.098301793305569263e-02,7.533088864298795317e-02,7.578553860255933528e-02
1.796875000000000000e-01,7.849916179659942317e-02,7.584711676114661016e-02,7.451354792645074887e-02
5.390625000000000000e-01,7.576360164500485495e-02,7.399113017632265310e-02,7.525905298948322442e-02
8.984375000000000000e-01,7.438405874477792279e-02,7.111956076646598623e-02,7.271249228651749386e-02
1.257812500000000000e+00,7.203947346004475893e-02,6.933936389633242603e-02,7.017298195733744082e-02
1.617187500000000000e+00,7.169805214702412721e-02,6.836077463424755640e-02,6.923826681366163083e-02
1.976562500000000000e+00,6.712975282774402697e-02,6.662521210725683152e-02,6.597917372622691401e-02
2.335937500000000000e+00,6.371127177829653820e-02,6.367653352670793465e-02,6.451519097468277897e-02
2.695312500000000000e+00,6.239057521190827932e-02,6.241524652280264901e-02,6.169576631666911365e-02
3.054687500000000000e+00,5.912601524333058883e-02,6.073656784311282780e-02,5.767780588626057747e-02
3.414062500000000000e+00,5.597569435554269196e-02,5.704456536292146218e-02,5.551291550035953454e-02
3.773437500000000000e+00,5.410435197115776029e-02,5.509284736876700339e-02,5.283945097649300759e-02
4.132812500000000000e+00,5.182447845768576450e-02,5.157988921890725026e-02,4.809255282270322868e-02
4.492187500000000000e+00,4.995063247590340871e-02,4.829627205064623841e-02,4.747557953685396792e-02
4.851562500000000000e+00,4.642479796705725748e-02,4.539616933337751320e-02,4.373926451432033624e-02
5.210937500000000000e+00,4.337302147382139650e-02,4.565433536429558403e-02,4.291025272277432939e-02
5.570312500000000000e+00,4.039959627976007217e-02,4.313674170339919928e-02,4.140502978026403685e-02
5.929687500000000000e+00,3.783801289751329705e-02,3.946400891612784900e-02,3.941502403698998042e-02
6.289062500000000000e+00,3.501501217361113749e-02,3.839789092643983853e-02,3.683977189504610006e-02
6.648437500000000000e+00,3.332567680030285029e-02,3.464672028477618765e-02,3.593264326961079225e-02
7.007812500000000000e+00,3.157246229471116078e-02,3.407064318174782974e-02,3.380450406558104665e-02
7.367187500000000000e+00,3.039190833308244924e-02,3.069975939292340916e-02,3.263135861614858968e-02
7.726562500000000000e+00,2.951317246504225195e-02,2.898636693978338952e-02,3.160505623758363275e-02
8.085937500000000000e+00,2.774524069963223843e-02,2.897616655841325772e-02,3.037519736795797620e-02
8.445312500000000000e+00,2.530266352167829386e-02,2.773942435449113300e-02,2.906036234070850585e-02
8.804687500000000000e+00,2.501211353396581849e-02,2.545984799024073389e-02,2.670631739307931241e-02
9.164062500000000000e+00,2.202639528747052725e-02,2.456588421621132626e-02,2.580112719514285682e-02
9.523437500000000000e+00,2.011404610083086103e-02,2.246765108297736971e-02,2.458581131609317849e-02
9.882812500000000000e+00,2.033883357416120877e-02,2.307818880011095614e-02,2.305050674715800052e-02
1.024218750000000000e+01,1.968938678379276302e-02,2.040472800065702350e-02,2.218436243795811336e-02
1.060156250000000000e+01,1.932341667632177934e-02,2.037011125401161360e-02,2.025690605516967252e-02
1.096093750000000000e+01,1.684515937405031694e-02,1.935481518274466753e-02,2.091811302522102525e-02
1.132031250000000000e+01,1.551035345605005465e-02,1.870919736797212879e-02,1.989983659098154903e-02
