# value,p_w
8.984375000000000000e-02,4.367835422670317291e-04
2.695312500000000000e-01,2.683791774779287209e-03
4.492187500000000000e-01,6.604139516959562153e-03
6.289062500000000000e-01,1.192190444557003452e-02
8.085937500000000000e-01,1.815627129086559363e-02
9.882812500000000000e-01,2.265671543203265012e-02
1.167968750000000000e+00,2.872829860583182501e-02
1.347656250000000000e+00,3.588467439604602766e-02
1.527343750000000000e+00,4.272692213123251842e-02
1.707031250000000000e+00,5.096063468485302617e-02
1.886718750000000000e+00,5.732861957450501728e-02
2.066406250000000000e+00,6.472959608922013164e-02
2.246093750000000000e+00,7.071884798419031393e-02
2.425781250000000000e+00,7.817636205212309675e-02
2.605468750000000000e+00,8.262236407640895230e-02
2.785156250000000000e+00,8.693678836436537216e-02
2.964843750000000000e+00,9.286878951976923480e-02
3.144531250000000000e+00,9.640989286106461942e-02
3.324218750000000000e+00,1.014532039955191034e-01
3.503906250000000000e+00,1.027964996884218746e-01
3.683593750000000000e+00,1.057720739449256458e-01
3.863281250000000000e+00,1.079148569548888520e-01
4.042968750000000000e+00,1.114188989215066788e-01
4.222656250000000000e+00,1.108703000662555893e-01
4.402343750000000000e+00,1.127568341473152297e-01
4.582031250000000000e+00,1.114545840487148748e-01
4.761718750000000000e+00,1.125217408873350339e-01
4.941406250000000000e+00,1.129360583147619862e-01
5.121093750000000000e+00,1.136623574481017834e-01
5.300781250000000000e+00,1.160256386665452916e-01
5.480468750000000000e+00,1.161214044348722468e-01
5.660156250000000000e+00,1.150104945144030943e-01
5.839843750000000000e+00,1.159661289249960814e-01
6.019531250000000000e+00,1.149323923523156987e-01
6.199218750000000000e+00,1.149989524395566981e-01
6.378906250000000000e+00,1.135979312027619453e-01
6.558593750000000000e+00,1.131047499957233693e-01
6.738281250000000000e+00,1.142997241768923394e-01
6.917968750000000000e+00,1.149692275634336819e-01
7.097656250000000000e+00,1.113092868333162705e-01
7.277343750000000000e+00,1.096926311567647389e-01
7.457031250000000000e+00,1.093337247040761517e-01
7.636718750000000000e+00,1.097023505670731564e-01
7.816406250000000000e+00,1.087804682473154788e-01
7.996093750000000000e+00,1.054484210488554202e-01
8.175781250000000000e+00,1.041727017241366043e-01
8.355468750000000000e+00,1.015943579217390008e-01
8.535156250000000000e+00,1.000954530566414563e-01
8.714843750000000000e+00,9.961029509767888035e-02
8.894531250000000000e+00,9.850920037215170344e-02
9.074218750000000000e+00,9.601358074340154980e-02
9.253906250000000000e+00,9.577603123147619690e-02
9.433593750000000000e+00,9.163136405486595193e-02
9.613281250000000000e+00,9.039314830675795887e-02
9.792968750000000000e+00,8.895603527536478927e-02
9.972656250000000000e+00,8.792854330053635759e-02
1.015234375000000000e+01,8.788532118261591086e-02
1.033203125000000000e+01,8.368812155631755179e-02
1.051171875000000000e+01,8.347863018050927231e-02
1.069140625000000000e+01,8.202790125219812378e-02
1.087109375000000000e+01,7.879171712089953761e-02
1.105078125000000000e+01,7.909484648542328133e-02
1.123046875000000000e+01,7.863594687958194718e-02
1.141015625000000000e+01,7.953186397330648527e-02
