# value,p_w
8.984375000000000000e-02,1.777662887760486112e-04
2.695312500000000000e-01,2.008645589141592157e-03
4.492187500000000000e-01,5.129388667061794173e-03
6.289062500000000000e-01,8.642971580680397156e-03
8.085937500000000000e-01,1.336874496972331738e-02
9.882812500000000000e-01,1.873473447470300549e-02
1.167968750000000000e+00,2.380868166102569419e-02
1.347656250000000000e+00,2.975041602107664912e-02
1.527343750000000000e+00,3.354295998100630116e-02
1.707031250000000000e+00,3.981376775340132040e-02
1.886718750000000000e+00,4.525629567786136620e-02
2.066406250000000000e+00,5.195460370148179130e-02
2.246093750000000000e+00,5.545574705497673812e-02
2.425781250000000000e+00,6.228198091331450803e-02
2.605468750000000000e+00,6.655582888227708216e-02
2.785156250000000000e+00,7.212006648282474897e-02
2.964843750000000000e+00,7.506755134409569263e-02
3.144531250000000000e+00,8.041157365688515746e-02
3.324218750000000000e+00,8.416345543470252211e-02
3.503906250000000000e+00,8.508540870718189764e-02
3.683593750000000000e+00,8.884748255481747514e-02
3.863281250000000000e+00,9.192725582997381129e-02
4.042968750000000000e+00,9.517175905386407453e-02
4.222656250000000000e+00,9.634454526920907536e-02
4.402343750000000000e+00,9.885741157016757208e-02
4.582031250000000000e+00,1.016668589332035549e-01
4.761718750000000000e+00,1.018786722397915928e-01
4.941406250000000000e+00,1.029573028975502569e-01
5.121093750000000000e+00,1.066243992507198424e-01
5.300781250000000000e+00,1.055193821224761769e-01
5.480468750000000000e+00,1.081431567166353247e-01
5.660156250000000000e+00,1.079760737806845922e-01
5.839843750000000000e+00,1.086520415113303994e-01
6.019531250000000000e+00,1.135130781954211687e-01
6.199218750000000000e+00,1.130943408422703661e-01
6.378906250000000000e+00,1.132460397824931603e-01
6.558593750000000000e+00,1.132073176503427675e-01
6.738281250000000000e+00,1.166168700463433017e-01
6.917968750000000000e+00,1.157954085113703374e-01
7.097656250000000000e+00,1.162772232184466625e-01
7.277343750000000000e+00,1.153017368543137744e-01
7.457031250000000000e+00,1.139551309092764059e-01
7.636718750000000000e+00,1.141685162596849240e-01
7.816406250000000000e+00,1.127010336797339279e-01
7.996093750000000000e+00,1.125594204050929664e-01
8.175781250000000000e+00,1.133800492588070280e-01
8.355468750000000000e+00,1.138443005021131244e-01
8.535156250000000000e+00,1.101475043245346702e-01
8.714843750000000000e+00,1.105073317822904966e-01
8.894531250000000000e+00,1.102451326749971650e-01
9.074218750000000000e+00,1.097299043748599934e-01
9.253906250000000000e+00,1.087446814097923348e-01
9.433593750000000000e+00,1.094293833308573605e-01
9.613281250000000000e+00,1.077126045904435309e-01
9.792968750000000000e+00,1.063965992754822287e-01
9.972656250000000000e+00,1.052575867492268474e-01
1.015234375000000000e+01,1.062932049969257803e-01
1.033203125000000000e+01,1.040447301054155255e-01
1.051171875000000000e+01,1.031633054978495639e-01
1.069140625000000000e+01,1.043122375108914562e-01
1.087109375000000000e+01,1.009055248549657752e-01
1.105078125000000000e+01,1.026758864502580332e-01
1.123046875000000000e+01,1.019578804337426675e-01
1.141015625000000000e+01,9.813649625346622385e-02
