# value,p_w_0,p_w_1,p_w_2
-1.132031250000000000e+01,1.921484797304462769e-02,1.888145675455228656e-02,1.903223229230709829e-02
-1.096093750000000000e+01,2.026182315167551762e-02,1.981261582148389003e-02,2.007417255670660566e-02
-1.060156250000000000e+01,2.128257183421362539e-02,2.067545397521901654e-02,2.124930657714230522e-02
-1.024218750000000000e+01,2.220395333675890051e-02,2.171602805536506503e-02,2.243086567727133745e-02
-9.882812500000000000e+00,2.335833200389026906e-02,2.297448133727603148e-02,2.347437026253268444e-02
-9.523437500000000000e+00,2.458601249745756209e-02,2.422268336536329003e-02,2.463200891879340632e-02
-9.164062500000000000e+00,2.586055777684668003e-02,2.557296573684423105e-02,2.581400477460813608e-02
-8.804687500000000000e+00,2.678219082778516072e-02,2.702994096498961482e-02,2.702261923791452608e-02
-8.445312500000000000e+00,2.812407331512403047e-02,2.819418763527341970e-02,2.836248003909457721e-02
-8.085937500000000000e+00,2.970003627375523633e-02,2.951532697118463416e-02,3.001750620707461376e-02
-7.726562500000000000e+00,3.079919897266636397e-02,3.091081831708806030e-02,3.145764773508352707e-02
-7.367187500000000000e+00,3.254439140111501511e-02,3.253962428143497565e-02,3.273427598223255242e-02
-7.007812500000000000e+00,3.418135286570191111e-02,3.403671463962765209e-02,3.444187594956516635e-02
-6.648437500000000000e+00,3.584882884919175089e-02,3.563925991839586582e-02,3.604759789479772270e-02
-6.289062500000000000e+00,3.740563498042588642e-02,3.748004345314547708e-02,3.803516562144351743e-02
-5.929687500000000000e+00,3.933192919887560507e-02,3.936644885960294271e-02,3.978421928097286564e-02
-5.570312500000000000e+00,4.110682511288288321e-02,4.116160438068667410e-02,4.159577291065195970e-02
-5.210937500000000000e+00,4.312680735733735726e-02,4.351358717187928798e-02,4.340871143787196351e-02
-4.851562500000000000e+00,4.557995026978875486e-02,4.561281485095045052e-02,4.570925248094735022e-02
-4.492187500000000000e+00,4.776458896376307300e-02,4.745137388101806214e-02,4.817816822199095378e-02
-4.132812500000000000e+00,5.035476138095179577e-02,5.028868006022413351e-02,5.059319547218827512e-02
-3.773437500000000000e+00,5.278041705697177066e-02,5.273529677926602072e-02,5.347433277286085113e-02
-3.414062500000000000e+00,5.503266724884297439e-02,5.536690696613144613e-02,5.569259043864674408e-02
-3.054687500000000000e+00,5.742770440061913811e-02,5.715387631647024513e-02,5.784457503671616013e-02
-2.695312500000000000e+00,6.015741576408053376e-02,5.992236260578281265e-02,6.038856417747857919e-02
-2.335937500000000000e+00,6.283994998299857748e-02,6.241554989017315119e-02,6.294593455446452490e-02
-1.976562500000000000e+00,6.486056720818141053e-02,6.549529098921380577e-02,6.519651813798112150e-02
-1.617187500000000000e+00,6.755236723117029329e-02,6.831238451996965444e-02,6.746336603458479020e-02
-1.257812500000000000e+00,6.952514053601101252e-02,7.057531225647525885e-02,6.979714501081682454e-02
-8.984375000000000000e-01,7.186326253419676735e-02,7.226179953232263198e-02,7.147825309175366570e-02
-5.390625000000000000e-01,7.361460563673616342e-02,7.357173465402436219e-02,7.321565470098997941e-02
-1.796875000000000000e-01,7.414801367282716771e-02,7.395337136728520611e-02,7.411432826009470287e-02
1.796875000000000000e-01,7.378361580675742160e-02,7.432935626325058720e-02,7.395124062704783174e-02
5.390625000000000000e-01,7.293115653894707839e-02,7.368894723872386476e-02,7.290887140529733745e-02
8.984375000000000000e-01,7.194010990170786324e-02,7.190427421750261727e-02,7.144829057614782153e-02
1.257812500000000000e+00,7.028739540004778907e-02,7.068501243981893667e-02,6.939474523909706927e-02
1.617187500000000000e+00,6.802188592154330415e-02,6.883499212010658896e-02,6.697117323778908893e-02
1.976562500000000000e+00,6.477176909250829950e-02,6.631541823416350900e-02,6.473372726601728244e-02
2.335937500000000000e+00,6.226245340871728456e-02,6.344720873764227165e-02,6.262492453066263731e-02
2.695312500000000000e+00,6.000032335526068322e-02,6.067581233156719295e-02,5.992219591952497454e-02
3.054687500000000000e+00,5.765971042355563791e-02,5.804838135375892799e-02,5.686782079026446446e-02
3.414062500000000000e+00,5.533334576427426793e-02,5.540316238002011839e-02,5.419491615611948115e-02
3.773437500000000000e+00,5.293754788851760817e-02,5.272241841800503342e-02,5.215669324572018428e-02
4.132812500000000000e+00,5.072140490988606004e-02,4.990502072436144715e-02,5.005843463977522473e-02
4.492187500000000000e+00,4.866724056543139665e-02,4.743446979782543066e-02,4.750743348835874402e-02
4.851562500000000000e+00,4.597922066457470203e-02,4.540220383477509836e-02,4.548958441030496319e-02
5.210937500000000000e+00,4.394312108174915077e-02,4.312782343013001063e-02,4.348988277437756955e-02
5.570312500000000000e+00,4.165762408417989643e-02,4.142476642140659887e-02,4.144528871433646178e-02
5.929687500000000000e+00,3.957641927810467974e-02,3.925583251661877299e-02,3.934074436272066294e-02
6.289062500000000000e+00,3.798175518621490360e-02,3.720685236074008917e-02,3.769022492875354069e-02
6.648437500000000000e+00,3.612264583619863995e-02,3.542099601562447020e-02,3.584571817510429081e-02
7.007812500000000000e+00,3.440409847211917116e-02,3.414219090107943611e-02,3.423686328557699193e-02
7.367187500000000000e+00,3.267436533159223666e-02,3.244600965231757977e-02,3.274657618573360851e-02
7.726562500000000000e+00,3.114880312888967939e-02,3.109536600422219826e-02,3.120471045561039672e-02
8.085937500000000000e+00,2.952835803264542217e-02,2.968126437059763825e-02,2.972135139959421191e-02
8.445312500000000000e+00,2.833416014832797203e-02,2.822924107889672463e-02,2.843736682876633892e-02
8.804687500000000000e+00,2.691468825223437486e-02,2.707373287097421949e-02,2.704478797166955106e-02
9.164062500000000000e+00,2.554339458630907819e-02,2.556753203239632566e-02,2.577661016903706054e-02
9.523437500000000000e+00,2.420894975665956184e-02,2.456127754411376388e-02,2.451871338521744575e-02
9.882812500000000000e+00,2.339533021734114052e-02,2.337765380236585949e-02,2.341809033025374354e-02
1.024218750000000000e+01,2.228649514021924585e-02,2.219629937819630680e-02,2.224389911412615745e-02
