# value,p_norm_ratio
3.906250000000000000e-02,7.641886016670981774e-02
1.171875000000000000e-01,3.322387718125521250e-01
1.953125000000000000e-01,5.995737470193824858e-01
2.734375000000000000e-01,7.717650511937192981e-01
3.515625000000000000e-01,8.876053898614718607e-01
4.296875000000000000e-01,9.583907265568126777e-01
5.078125000000000000e-01,9.766557132255544449e-01
5.859375000000000000e-01,9.569573892113875102e-01
6.640625000000000000e-01,9.085681058683590106e-01
7.421875000000000000e-01,8.453385236830551763e-01
8.203125000000000000e-01,7.722445323211143409e-01
8.984375000000000000e-01,6.796305704957703586e-01
9.765625000000000000e-01,6.007572080255298985e-01
1.054687500000000000e+00,5.200815280751399650e-01
1.132812500000000000e+00,4.393980820902388951e-01
1.210937500000000000e+00,3.749590923200266657e-01
1.289062500000000000e+00,3.117897479260350879e-01
1.367187500000000000e+00,2.560232748626580235e-01
1.445312500000000000e+00,2.128758113272061214e-01
1.523437500000000000e+00,1.786153871999877907e-01
1.601562500000000000e+00,1.510492774275145056e-01
1.679687500000000000e+00,1.308704887862173760e-01
1.757812500000000000e+00,1.087348660500786074e-01
1.835937500000000000e+00,9.472404287342313378e-02
1.914062500000000000e+00,8.293610184707496391e-02
1.992187500000000000e+00,7.032639478177213355e-02
2.070312500000000000e+00,5.860135408118127137e-02
2.148437500000000000e+00,5.187179044944733447e-02
2.226562500000000000e+00,4.562485635401178352e-02
2.304687500000000000e+00,3.901564505675754468e-02
2.382812500000000000e+00,3.446735667070004172e-02
2.460937500000000000e+00,3.067352732550504904e-02
2.539062500000000000e+00,2.679695519888704996e-02
2.617187500000000000e+00,2.348279445469790908e-02
2.695312500000000000e+00,1.990591943422299198e-02
2.773437500000000000e+00,1.761377041058103526e-02
2.851562500000000000e+00,1.639219275073132767e-02
2.929687500000000000e+00,1.456876399210643887e-02
3.007812500000000000e+00,1.285720568904794546e-02
3.085937500000000000e+00,1.148410599211070922e-02
3.164062500000000000e+00,1.051387366363652938e-02
3.242187500000000000e+00,8.992002511003198764e-03
3.320312500000000000e+00,8.700333863857078950e-03
3.398437500000000000e+00,7.419841853767610365e-03
3.476562500000000000e+00,7.361205763418469938e-03
3.554687500000000000e+00,6.480284168613919919e-03
3.632812500000000000e+00,5.879222165834393880e-03
3.710937500000000000e+00,4.486156459903316643e-03
3.789062500000000000e+00,4.406021855907416539e-03
3.867187500000000000e+00,3.705058442597912970e-03
3.945312500000000000e+00,3.535416678430785501e-03
4.023437500000000000e+00,3.314628040233790277e-03
4.101562500000000000e+00,3.134392819586008603e-03
4.179687500000000000e+00,2.713525258703132752e-03
4.257812500000000000e+00,2.443432024369987087e-03
4.335937500000000000e+00,2.433194065090622197e-03
4.414062500000000000e+00,1.992909312138791550e-03
4.492187500000000000e+00,2.043116361996410481e-03
4.570312500000000000e+00,1.581924227982846971e-03
4.648437500000000000e+00,1.802086525070953999e-03
4.726562500000000000e+00,1.601772570045887452e-03
4.804687500000000000e+00,1.391770094021889306e-03
4.882812500000000000e+00,1.151643019664607120e-03
4.960937500000000000e+00,1.031265385391419692e-03
