# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_0o75,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o5,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_4o0
0.000000000000000000e+00,2.297323950045448981e-01,2.460223370501388174e-01,2.226520912089133275e-01,2.456655381719534681e-01,2.372357428446024152e-01,2.374245055344590127e-01,2.127780029607077017e-01
1.632653061224489666e-01,2.348331871696903994e-01,2.572431395098231377e-01,2.249808591302811245e-01,2.579112348821965828e-01,2.438172230631844573e-01,2.525618915715822643e-01,2.148667928517308257e-01
3.265306122448979331e-01,2.392109793997339862e-01,2.673332283622276151e-01,2.267708898341773416e-01,2.690553870215731669e-01,2.495848987302453081e-01,2.663907829324019816e-01,2.164053424958452820e-01
4.897959183673469274e-01,2.428926777252701508e-01,2.763316029804329110e-01,2.280442642514457774e-01,2.791330856986624087e-01,2.545680727888025019e-01,2.789528866125106088e-01,2.174167250782984284e-01
6.530612244897958663e-01,2.459051881768934689e-01,2.842772627375196315e-01,2.288230633129303415e-01,2.881794220220436631e-01,2.587960481818736835e-01,2.902899096075002849e-01,2.179240137843376224e-01
8.163265306122448051e-01,2.482754167851985994e-01,2.912092070065686600e-01,2.291293679494748325e-01,2.962294871002961183e-01,2.622981278524764148e-01,3.004435589129633155e-01,2.179502817992102215e-01
9.795918367346938549e-01,2.500302695807800624e-01,2.971664351606607135e-01,2.289852590919231046e-01,3.033183720419990181e-01,2.651036147436283130e-01,3.094555415244920615e-01,2.175186023081636388e-01
1.142857142857142794e+00,2.511966525942324058e-01,3.021879465728765091e-01,2.284128176711190117e-01,3.094811679557314954e-01,2.672418117983468844e-01,3.173675644376787175e-01,2.166520484964452320e-01
1.306122448979591733e+00,2.518014718561503162e-01,3.063127406162967636e-01,2.274341246179063525e-01,3.147529659500729604e-01,2.687420219596496906e-01,3.242213346481155889e-01,2.153736935493023308e-01
1.469387755102040671e+00,2.518716333971282584e-01,3.095798166640022497e-01,2.260712608631290643e-01,3.191688571336024904e-01,2.696335481705542936e-01,3.300585591513949812e-01,2.137066106519823205e-01
1.632653061224489610e+00,2.514340432477608078e-01,3.120281740890737399e-01,2.243463073376309180e-01,3.227639326148994403e-01,2.699456933740784215e-01,3.349209449431091445e-01,2.116738729897326143e-01
1.795918367346938549e+00,2.505156074386426512e-01,3.136968122645919510e-01,2.222813449722557955e-01,3.255732835025429428e-01,2.697077605132395250e-01,3.388501990188503843e-01,2.092985537478004865e-01
1.959183673469387710e+00,2.491432320003682532e-01,3.146247305636376002e-01,2.198984546978474675e-01,3.276320009051123527e-01,2.689490525310552216e-01,3.418880283742110060e-01,2.066037261114334056e-01
2.122448979591836427e+00,2.473438229635322450e-01,3.148509283592913488e-01,2.172197174452498714e-01,3.289751759311868029e-01,2.676988723705430173e-01,3.440761400047831486e-01,2.036124632658787015e-01
2.285714285714285587e+00,2.451442863587292020e-01,3.144144050246341360e-01,2.142672141453068335e-01,3.296378996893454816e-01,2.659865229747205850e-01,3.454562409061593398e-01,2.003478383963837040e-01
2.448979591836734304e+00,2.425715282165536724e-01,3.133541599327465121e-01,2.110630257288621248e-01,3.296552632881678546e-01,2.638413072866054310e-01,3.460700380739316073e-01,1.968329246881958261e-01
2.612244897959183465e+00,2.396524545676002871e-01,3.117091924567093053e-01,2.076292331267596547e-01,3.290623578362329993e-01,2.612925282492152279e-01,3.459592385036924789e-01,1.930907953265624255e-01
2.775510204081632626e+00,2.364139714424636218e-01,3.095185019696032880e-01,2.039879172698432774e-01,3.278942744421201039e-01,2.583694888055674266e-01,3.451655491910339824e-01,1.891445234967308320e-01
2.938775510204081343e+00,2.328829848717381412e-01,3.068210878445090661e-01,2.001611590889567638e-01,3.261861042144085232e-01,2.551014918986796998e-01,3.437306771315485898e-01,1.850171823839484309e-01
3.102040816326530503e+00,2.290864008860186152e-01,3.036559494545074123e-01,1.961710395149440511e-01,3.239729382616774456e-01,2.515178404715694982e-01,3.416963293208284402e-01,1.807318451734626352e-01
3.265306122448979220e+00,2.250511255158994528e-01,3.000620861726792654e-01,1.920396394786489658e-01,3.212898676925061148e-01,2.476478374672545779e-01,3.391042127544659501e-01,1.763115850505207749e-01
3.428571428571428381e+00,2.208040647919753130e-01,2.960784973721050095e-01,1.877890399109153063e-01,3.181719836154737746e-01,2.435207858287523897e-01,3.359960344280532585e-01,1.717794752003702352e-01
