# vs,delay,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,2.000000000000000000e+00,1.469387755102040671e+00,2.518716333971282584e-01
1.000000000000000000e+00,7.500000000000000000e-01,2.122448979591836427e+00,3.148509283592913488e-01
1.000000000000000000e+00,3.000000000000000000e+00,8.163265306122448051e-01,2.291293679494748325e-01
1.000000000000000000e+00,5.000000000000000000e-01,2.448979591836734304e+00,3.296552632881678546e-01
1.000000000000000000e+00,1.500000000000000000e+00,1.632653061224489610e+00,2.699456933740784215e-01
1.000000000000000000e+00,2.500000000000000000e-01,2.448979591836734304e+00,3.460700380739316073e-01
1.000000000000000000e+00,4.000000000000000000e+00,8.163265306122448051e-01,2.179502817992102215e-01
