# pos_1,concentration
1.389139705019461386e-03,8.041214684162677484e-01
2.470278535103650856e-03,1.073952988887631799e+00
4.392845456035934966e-03,7.946422986357987162e-01
7.811706625951745156e-03,1.054590079710498118e+00
1.389139705019461560e-02,9.649457620995210982e-01
2.470278535103651030e-02,9.609053058468286501e-01
4.392845456035934792e-02,9.599278967520448180e-01
7.811706625951746197e-02,9.920296512530957234e-01
1.389139705019461490e-01,1.049378516283229201e+00
2.470278535103651030e-01,9.869062729462132477e-01
4.392845456035935348e-01,1.015235000737096716e+00
7.811706625951745364e-01,9.947108124726986578e-01
