# pos_1,average_velocity_axis
1.389139705019461386e-03,-3.893630158516386136e-02
2.470278535103650856e-03,-9.459661285026334243e-02
4.392845456035934966e-03,-1.789149926423669879e-01
7.811706625951745156e-03,-3.037223443497478748e-01
1.389139705019461560e-02,-4.497626510062931460e-01
2.470278535103651030e-02,-5.696954477279455586e-01
4.392845456035934792e-02,-6.560365270911221458e-01
7.811706625951746197e-02,-7.198231464453078710e-01
1.389139705019461490e-01,-7.878807356754693458e-01
2.470278535103651030e-01,-8.654289236030396903e-01
4.392845456035935348e-01,-9.505406318176401470e-01
7.811706625951745364e-01,-1.038194712675515108e+00
