# pos_1,average_velocity_axis
1.389139705019461386e-03,1.571091336961110904e-02
2.470278535103650856e-03,-4.221832189719543216e-02
4.392845456035934966e-03,-1.195585319753598441e-01
7.811706625951745156e-03,-2.333464725481680657e-01
1.389139705019461560e-02,-3.663803028520523086e-01
2.470278535103651030e-02,-4.811462962102729390e-01
4.392845456035934792e-02,-5.686362859185392082e-01
7.811706625951746197e-02,-6.449461865157664064e-01
1.389139705019461490e-01,-7.150345520269753008e-01
2.470278535103651030e-01,-7.940303486927873244e-01
4.392845456035935348e-01,-8.825240152132590721e-01
7.811706625951745364e-01,-9.778755079046064225e-01
