# pos_1,concentration
1.389139705019461386e-03,1.305675970256653606e+00
2.470278535103650856e-03,1.186072820234595815e+00
4.392845456035934966e-03,7.940211446464016110e-01
7.811706625951745156e-03,9.823239859611537783e-01
1.389139705019461560e-02,1.094759082753655521e+00
2.470278535103651030e-02,9.883940168621635491e-01
4.392845456035934792e-02,9.750579656257809535e-01
7.811706625951746197e-02,9.841100295719921176e-01
1.389139705019461490e-01,1.037510213288556082e+00
2.470278535103651030e-01,9.652373570385355261e-01
4.392845456035935348e-01,1.021111192015272451e+00
7.811706625951745364e-01,9.966123348478614918e-01
