# surftimeprefactor,average_velocity_axis_0_t_inf__params_0o1,average_velocity_axis_0_t_inf__params_0o2,average_velocity_axis_0_t_inf__params_0o8,average_velocity_axis_0_t_inf__params_0o05,average_velocity_axis_0_t_inf__params_0o4
0.000000000000000000e+00,-8.897988944081742790e-01,-7.840732748216603376e-01,-6.080204829560420521e-02,-9.430194689837926303e-01,-5.517684920974208485e-01
6.122448979591836593e-02,-8.682025664236922013e-01,-7.480178876599782312e-01,-8.140597708161136786e-03,-9.284145577553715167e-01,-5.009545577137092254e-01
1.224489795918367319e-01,-8.479609516596181562e-01,-7.143757265968605497e-01,3.939673869159007746e-02,-9.147567907764809769e-01,-4.538394339080135120e-01
1.836734693877550839e-01,-8.290325516852818932e-01,-6.830712943069656706e-01,8.199915292699250235e-02,-9.020165819121400697e-01,-4.103065017800132663e-01
2.448979591836734637e-01,-8.113758680700137171e-01,-6.540290934649520826e-01,1.198558370213893415e-01,-8.901643450273668545e-01,-3.702391424293881572e-01
3.061224489795918435e-01,-7.949494023831433775e-01,-6.271736267454780522e-01,1.531559829981235799e-01,-8.791704939871806124e-01,-3.335207369558180757e-01
3.673469387755101678e-01,-7.797116561940011792e-01,-6.024293968232021790e-01,1.820887828805383690e-01,-8.690054426565995138e-01,-3.000346664589827461e-01
4.285714285714285476e-01,-7.656211310719170937e-01,-5.797209063727829514e-01,2.068434286919768605e-01,-8.596396049006423956e-01,-2.696643120385616710e-01
4.897959183673469274e-01,-7.526363285862212038e-01,-5.589726580688784141e-01,2.276091124557820811e-01,-8.510433945843279835e-01,-2.422930547942348800e-01
5.510204081632652517e-01,-7.407157503062432591e-01,-5.401091545861473886e-01,2.445750261952971405e-01,-8.431872255726745591e-01,-2.178042758256818756e-01
6.122448979591836871e-01,-7.298178978013135643e-01,-5.230548985992480304e-01,2.579303619338652043e-01,-8.360415117307011812e-01,-1.960813562325824932e-01
6.734693877551020114e-01,-7.199012726407622020e-01,-5.077343927828390502e-01,2.678643116948292713e-01,-8.295766669234262425e-01,-1.770076771146165129e-01
7.346938775510203357e-01,-7.109243763939190330e-01,-4.940721398115787144e-01,2.745660675015325070e-01,-8.237631050158685797e-01,-1.604666195714635202e-01
7.959183673469387710e-01,-7.028457106301143620e-01,-4.819926423601253451e-01,2.782248213773180767e-01,-8.185712398730468076e-01,-1.463415647028032951e-01
8.571428571428570953e-01,-6.956237769186777165e-01,-4.714204031031375974e-01,2.790297653455290350e-01,-8.139714853599792077e-01,-1.345158936083156176e-01
9.183673469387755306e-01,-6.892170768289398453e-01,-4.622799247152737379e-01,2.771700914295083251e-01,-8.099342553416849499e-01,-1.248729873876802121e-01
9.795918367346938549e-01,-6.835841119302301649e-01,-4.544957098711922550e-01,2.728349916525992791e-01,-8.064299636831822049e-01,-1.172962271405767753e-01
1.040816326530612290e+00,-6.786833837918790913e-01,-4.479922612455514708e-01,2.662136580381448958e-01,-8.034290242494900314e-01,-1.116689939666849901e-01
1.102040816326530503e+00,-6.744733939832165959e-01,-4.426940815130098739e-01,2.574952826094883962e-01,-8.009018509056268220e-01,-1.078746689656846225e-01
1.163265306122448939e+00,-6.709126440735726504e-01,-4.385256733482261193e-01,2.468690573899726681e-01,-7.988188575166113026e-01,-1.057966332372555496e-01
1.224489795918367374e+00,-6.679596356322772266e-01,-4.354115394258581406e-01,2.345241744029408215e-01,-7.971504579474620877e-01,-1.053182678810772321e-01
1.285714285714285587e+00,-6.655728702286605181e-01,-4.332761824205648149e-01,2.206498256717362438e-01,-7.958670660631976812e-01,-1.063229539968296167e-01
1.346938775510204023e+00,-6.637108494320524965e-01,-4.320441050070044087e-01,2.054352032197016564e-01,-7.949390957288371418e-01,-1.086940726841923999e-01
1.408163265306122458e+00,-6.623320748117832446e-01,-4.316398098598352995e-01,1.890694990701803913e-01,-7.943369608093987511e-01,-1.123150050428451674e-01
1.469387755102040671e+00,-6.613950479371826230e-01,-4.319877996537158649e-01,1.717419052465156692e-01,-7.940310751699012348e-01,-1.170691321724677270e-01
1.530612244897959107e+00,-6.608582703775809364e-01,-4.330125770633045379e-01,1.536416137720506558e-01,-7.939918526753629857e-01,-1.228398351727397753e-01
1.591836734693877542e+00,-6.606802437023080454e-01,-4.346386447632600292e-01,1.349578166701277393e-01,-7.941897071908031736e-01,-1.295104951433411200e-01
1.653061224489795977e+00,-6.608194694806941438e-01,-4.367905054282406052e-01,1.158797059640905847e-01,-7.945950525812401910e-01,-1.369644931839515967e-01
1.714285714285714191e+00,-6.612344492820689812e-01,-4.393926617329045325e-01,9.659647367728252387e-02,-7.951783027116926528e-01,-1.450852103942505966e-01
1.775510204081632626e+00,-6.618836846757630843e-01,-4.423696163519104663e-01,7.729731183304622277e-02,-7.959098714471791736e-01,-1.537560278739181774e-01
1.836734693877551061e+00,-6.627256772311060917e-01,-4.456458719599164509e-01,5.817141245472456923e-02,-7.967601726527183681e-01,-1.628603267226340634e-01
1.897959183673469274e+00,-6.637189285174280862e-01,-4.491459312315811969e-01,3.940796756566178338e-02,-7.976996201933289621e-01,-1.722814880400775905e-01
1.959183673469387710e+00,-6.648219401040591503e-01,-4.527942968415635261e-01,2.119616918919953186e-02,-7.986986279340297923e-01,-1.819028929259289828e-01
