# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,3.808142652242739179e-01
1.389139705019461560e-02,1.606106989182054523e-01
2.470278535103651030e-02,4.816961774368631044e-01
4.392845456035934792e-02,4.063165001384565489e-01
7.811706625951746197e-02,7.997099569709752442e-01
1.389139705019461490e-01,8.887125340140701324e-01
2.470278535103651030e-01,9.965089670725105764e-01
4.392845456035935348e-01,1.220642485832613700e+00
7.811706625951745364e-01,1.000589481876779763e+00
