# pos_1,concentration
1.389139705019461386e-03,1.206087851701167502e+00
2.470278535103650856e-03,9.043107210954874908e-01
4.392845456035934966e-03,8.899297562481841561e-01
7.811706625951745156e-03,9.293965171305809125e-01
1.389139705019461560e-02,8.442614961908171400e-01
2.470278535103651030e-02,8.590951850407134716e-01
4.392845456035934792e-02,1.131482118658405200e+00
7.811706625951746197e-02,1.100977412600842031e+00
1.389139705019461490e-01,9.568296956829260846e-01
2.470278535103651030e-01,1.039957329259810770e+00
4.392845456035935348e-01,9.763800754265792303e-01
7.811706625951745364e-01,1.001603477307649204e+00
