# pos_1,average_velocity_axis
1.389139705019461386e-03,2.631459756459791216e-02
2.470278535103650856e-03,-2.802188701567604606e-02
4.392845456035934966e-03,-1.124168048140564841e-01
7.811706625951745156e-03,-2.366002554001992164e-01
1.389139705019461560e-02,-3.815564907041906206e-01
2.470278535103651030e-02,-4.996790947475553968e-01
4.392845456035934792e-02,-5.840890735438130088e-01
7.811706625951746197e-02,-6.570806191483823389e-01
1.389139705019461490e-01,-7.278346414633286576e-01
2.470278535103651030e-01,-8.023509253470201275e-01
4.392845456035935348e-01,-8.935452417575683315e-01
7.811706625951745364e-01,-9.836469551665427691e-01
