# pos_1,average_velocity_axis
1.389139705019461386e-03,-4.072949977331053600e-02
2.470278535103650856e-03,-9.762578065498832280e-02
4.392845456035934966e-03,-1.818685952439330344e-01
7.811706625951745156e-03,-3.067439229502939013e-01
1.389139705019461560e-02,-4.510011843152865185e-01
2.470278535103651030e-02,-5.707513034232605253e-01
4.392845456035934792e-02,-6.613879339140867897e-01
7.811706625951746197e-02,-7.240171120790382941e-01
1.389139705019461490e-01,-7.895878918252281498e-01
2.470278535103651030e-01,-8.679991593211305867e-01
4.392845456035935348e-01,-9.530360779905793223e-01
7.811706625951745364e-01,-1.041894302445070863e+00
