# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,3.375085884988849316e-01,2.500000000000000000e-01
2.470278535103650856e-03,2.874795025333905518e-01,2.500000000000000000e-01
4.392845456035934966e-03,2.249992069785805848e-01,2.500000000000000000e-01
7.811706625951745156e-03,1.210673419107665266e-01,2.500000000000000000e-01
1.389139705019461560e-02,-2.242560359347361976e-03,5.000000000000000000e-01
2.470278535103651030e-02,-1.129692897141168634e-01,5.000000000000000000e-01
4.392845456035934792e-02,-2.087929791996503137e-01,7.500000000000000000e-01
7.811706625951746197e-02,-3.101077886550933083e-01,7.500000000000000000e-01
1.389139705019461490e-01,-4.055928442144136059e-01,7.500000000000000000e-01
2.470278535103651030e-01,-4.896925723620308979e-01,5.000000000000000000e-01
4.392845456035935348e-01,-5.825329048517831065e-01,5.000000000000000000e-01
7.811706625951745364e-01,-6.838685872123251297e-01,5.000000000000000000e-01
