# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.371976772918211129e-01,0.000000000000000000e+00
2.470278535103650856e-03,7.825095765607918696e-02,2.500000000000000000e-01
4.392845456035934966e-03,7.210731381498408123e-03,0.000000000000000000e+00
7.811706625951745156e-03,-1.019240664995378493e-01,5.000000000000000000e-01
1.389139705019461560e-02,-2.197016111641671710e-01,5.000000000000000000e-01
2.470278535103651030e-02,-3.320859644970415858e-01,7.500000000000000000e-01
4.392845456035934792e-02,-4.310401278570317185e-01,1.250000000000000000e+00
7.811706625951746197e-02,-5.160040574605135877e-01,1.000000000000000000e+00
1.389139705019461490e-01,-5.901829724116496312e-01,1.000000000000000000e+00
2.470278535103651030e-01,-6.821698820663585350e-01,1.250000000000000000e+00
4.392845456035935348e-01,-7.790999924223218631e-01,1.250000000000000000e+00
7.811706625951745364e-01,-8.824828548248543347e-01,7.500000000000000000e-01
