# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,7.299770867430445120e-01,0.000000000000000000e+00
2.470278535103650856e-03,6.771604395604283733e-01,2.500000000000000000e-01
4.392845456035934966e-03,6.098688524590164528e-01,2.500000000000000000e-01
7.811706625951745156e-03,5.198133903133905775e-01,2.500000000000000000e-01
1.389139705019461560e-02,3.964847207586977840e-01,2.500000000000000000e-01
2.470278535103651030e-02,2.682114418245094001e-01,5.000000000000000000e-01
4.392845456035934792e-02,1.674843277527832131e-01,5.000000000000000000e-01
7.811706625951746197e-02,5.921870629370577788e-02,2.500000000000000000e-01
1.389139705019461490e-01,-2.332631063204262598e-02,7.500000000000000000e-01
2.470278535103651030e-01,-1.010475767282267012e-01,2.500000000000000000e-01
4.392845456035935348e-01,-1.910125877710346642e-01,2.500000000000000000e-01
7.811706625951745364e-01,-3.042293928309383055e-01,0.000000000000000000e+00
