# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,2.995192392536411702e-02,0.000000000000000000e+00
2.470278535103650856e-03,-1.781486984571299670e-02,0.000000000000000000e+00
4.392845456035934966e-03,-1.124168048140564841e-01,5.000000000000000000e-01
7.811706625951745156e-03,-2.333464725481680657e-01,1.000000000000000000e+00
1.389139705019461560e-02,-3.645078254458519740e-01,1.250000000000000000e+00
2.470278535103651030e-02,-4.811462962102729390e-01,1.000000000000000000e+00
4.392845456035934792e-02,-5.682098581307903906e-01,1.250000000000000000e+00
7.811706625951746197e-02,-6.437749866212357785e-01,1.750000000000000000e+00
1.389139705019461490e-01,-7.114418444095688132e-01,1.250000000000000000e+00
2.470278535103651030e-01,-7.925922336359084719e-01,1.250000000000000000e+00
4.392845456035935348e-01,-8.825240152132590721e-01,1.000000000000000000e+00
7.811706625951745364e-01,-9.778755079046064225e-01,1.000000000000000000e+00
