# time,average_velocity_axis_0_t_inf,95CLI,vs,delay
9.996000000000000441e+00,2.151460130927370651e-01,6.101271963958002087e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.314524786477090701e-01,6.346799814645194375e-03,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.367970524147158806e-01,6.440052691976653858e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.469133654438337433e-01,5.823737443539419439e-03,1.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,2.357066992812749950e-01,6.219398949670062321e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.271019452702955910e-01,6.249263666602172460e-03,1.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,2.246859869924532349e-01,5.985670593473481522e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,2.290746008364283048e-01,6.021619913669475771e-03,1.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,2.282272985366021190e-01,5.838247362269417123e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.125970543490833808e-01,6.010782905209449169e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.180018360859968807e-01,5.994343084055894257e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.053157477834883782e-01,5.688524243919485662e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.959335086573691931e-01,5.807214401710582979e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,1.966257323241796529e-01,5.640196871634833853e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,1.954501429478041064e-01,5.714691478567481692e-03,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,1.969498324720513061e-01,5.724502801804862324e-03,1.000000000000000000e+00,9.000000000000000000e+00
9.996000000000000441e+00,1.930721498560361571e-01,5.976163043009262432e-03,1.000000000000000000e+00,1.000000000000000000e+01
9.996000000000000441e+00,1.895354254983243336e-01,5.833521040613551950e-03,1.000000000000000000e+00,1.100000000000000000e+01
9.996000000000000441e+00,1.936806613270308230e-01,5.875568821702932543e-03,1.000000000000000000e+00,1.200000000000000000e+01
9.996000000000000441e+00,1.888500263386604650e-01,5.826747839302762015e-03,1.000000000000000000e+00,1.300000000000000000e+01
9.996000000000000441e+00,1.928601124043367032e-01,5.745025135980498521e-03,1.000000000000000000e+00,1.400000000000000000e+01
9.996000000000000441e+00,1.908695068847851561e-01,6.201408670017208649e-03,1.000000000000000000e+00,1.500000000000000000e+01
9.996000000000000441e+00,1.824272740346138399e-01,6.151265477661471519e-03,1.000000000000000000e+00,1.600000000000000000e+01
9.996000000000000441e+00,8.562495044892957097e-01,2.009250285967743854e-02,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.694236588385354292e+00,3.632009918876075161e-02,8.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.682119010104041745e+00,4.521509617689833255e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,8.441294095763305361e-01,1.486585202929248221e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.711819065126050310e+00,2.137519400203680836e-02,8.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,8.433887086084432827e-01,2.076832668014024982e-02,4.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,1.680161977290916209e+00,4.225674302157706591e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,8.360386810974389515e-01,1.685784640745370891e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,8.356231820853341485e-01,1.890310219414806717e-02,4.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,1.648135160314125436e+00,3.274176382460223383e-02,8.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,8.423814947854142421e-01,1.791095296569718970e-02,4.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,1.663425639005602363e+00,2.634142256714382124e-02,8.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,8.426014437024810233e-01,1.751463411434088860e-02,4.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,1.668089266956782613e+00,3.130673036186485542e-02,8.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,1.681203231292517142e+00,3.794404092093453529e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,8.392790600615245289e-01,1.804398013591147765e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,8.443472810999398392e-01,1.975619808928795462e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.648497411464585838e+00,4.124406828859707164e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.617544461534613731e+00,2.981167165715559175e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,8.082573357467986996e-01,1.797161978188446807e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.632427189625850206e+00,3.843480215250409671e-02,8.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,8.148347776610643800e-01,1.673738693839625993e-02,4.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.603956132452981187e+00,2.237656335863475246e-02,8.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,8.151408438375349341e-01,1.953315930603995165e-02,4.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,1.609765343637454826e+00,3.812018690501351587e-02,8.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,8.042685199079631087e-01,2.178887498953646640e-02,4.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,8.084285292241897292e-01,1.639606720837642403e-02,4.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,1.545958771008403509e+00,2.863137111852327027e-02,8.000000000000000000e+00,8.000000000000000000e+00
