# omega_y,average_angle
-2.000000000000000000e+00,7.603283768914270713e-01
-1.968503937007874072e+00,1.144533572783521302e+00
-1.937007874015748143e+00,1.446379180366024864e+00
-1.905511811023621993e+00,1.652727628301253526e+00
-1.874015748031496065e+00,1.830604055883107817e+00
-1.842519685039370136e+00,1.940660562325920324e+00
-1.811023622047243986e+00,2.053511347183545777e+00
-1.779527559055118058e+00,2.115018431816586553e+00
-1.748031496062992129e+00,2.181152382538872114e+00
-1.716535433070866201e+00,2.208570024419483691e+00
-1.685039370078740273e+00,2.241880491902062289e+00
-1.653543307086614123e+00,2.256476668113872819e+00
-1.622047244094488194e+00,2.265851084966624462e+00
-1.590551181102362266e+00,2.270367466679819479e+00
-1.559055118110236116e+00,2.270381715132402611e+00
-1.527559055118110187e+00,2.259167462371204582e+00
-1.496062992125984259e+00,2.245504092525245188e+00
-1.464566929133858331e+00,2.229552936603413915e+00
-1.433070866141732402e+00,2.211469097438296671e+00
-1.401574803149606252e+00,2.191401068311197964e+00
-1.370078740157480324e+00,2.169490431902870053e+00
-1.338582677165354395e+00,2.141785522085449145e+00
-1.307086614173228245e+00,2.113196114514899193e+00
-1.275590551181102317e+00,2.083767767914519453e+00
-1.244094488188976388e+00,2.053543549316929617e+00
-1.212598425196850460e+00,2.022564032980615156e+00
-1.181102362204724532e+00,1.990867307245882456e+00
-1.149606299212598381e+00,1.958488988621596816e+00
-1.118110236220472453e+00,1.923056169674816296e+00
-1.086614173228346525e+00,1.889604836963582279e+00
-1.055118110236220375e+00,1.853459258792679032e+00
-1.023622047244094446e+00,1.819000809783590356e+00
-9.921259842519685179e-01,1.782165938258884363e+00
-9.606299212598425896e-01,1.745044035459775600e+00
-9.291338582677166613e-01,1.707632164562919330e+00
-8.976377952755905110e-01,1.669926700311849643e+00
-8.661417322834645827e-01,1.631923320092879326e+00
-8.346456692913386544e-01,1.593616993703280249e+00
-8.031496062992125040e-01,1.553692971666837064e+00
-7.716535433070865757e-01,1.514839973258146788e+00
-7.401574803149606474e-01,1.475660582954225530e+00
-7.086614173228347191e-01,1.435023556951449786e+00
