# omega_y,average_angle
-2.000000000000000000e+00,-3.127420200264382361e-02
-1.968503937007874072e+00,-3.078106708749510020e-02
-1.937007874015748143e+00,-3.028796212006963640e-02
-1.905511811023621993e+00,-2.979488661698474761e-02
-1.874015748031496065e+00,-2.930184009506291154e-02
-1.842519685039370136e+00,-2.880882207132831260e-02
-1.811023622047243986e+00,-2.831583206300347655e-02
-1.779527559055118058e+00,-2.782286958750586001e-02
-1.748031496062992129e+00,-2.732993416244438797e-02
-1.716535433070866201e+00,-2.683702530561611968e-02
-1.685039370078740273e+00,-2.634414253500280689e-02
-1.653543307086614123e+00,-2.585128536876750774e-02
-1.622047244094488194e+00,-2.535845332525123522e-02
-1.590551181102362266e+00,-2.486564592296950163e-02
-1.559055118110236116e+00,-2.437286268060896016e-02
-1.527559055118110187e+00,-2.388010311702409849e-02
-1.496062992125984259e+00,-2.338736675123372424e-02
-1.464566929133858331e+00,-2.289465310241771759e-02
-1.433070866141732402e+00,-2.240196168991357914e-02
-1.401574803149606252e+00,-2.190929203321309582e-02
-1.370078740157480324e+00,-2.141664365195901365e-02
-1.338582677165354395e+00,-2.092401606594156832e-02
-1.307086614173228245e+00,-2.043140879509524471e-02
-1.275590551181102317e+00,-1.993882135949534909e-02
-1.244094488188976388e+00,-1.944625327935470618e-02
-1.212598425196850460e+00,-1.895370407502025914e-02
-1.181102362204724532e+00,-1.846117326696975272e-02
-1.149606299212598381e+00,-1.796866037580838529e-02
-1.118110236220472453e+00,-1.747616492226546775e-02
-1.086614173228346525e+00,-1.698368642719108590e-02
-1.055118110236220375e+00,-1.649122441155273511e-02
-1.023622047244094446e+00,-1.599877839643204860e-02
-9.921259842519685179e-01,-1.550634790302139743e-02
-9.606299212598425896e-01,-1.501393245262059445e-02
-9.291338582677166613e-01,-1.452153156663356197e-02
-8.976377952755905110e-01,-1.402914476656501666e-02
-8.661417322834645827e-01,-1.353677157401712676e-02
-8.346456692913386544e-01,-1.304441151068619353e-02
-8.031496062992125040e-01,-1.255206409835934490e-02
-7.716535433070865757e-01,-1.205972885891120651e-02
-7.401574803149606474e-01,-1.156740531430057971e-02
-7.086614173228347191e-01,-1.107509298656714561e-02
-6.771653543307087908e-01,-1.058279139782812746e-02
-6.456692913385826404e-01,-1.009050007027500508e-02
-6.141732283464567121e-01,-9.598218526170191126e-03
-5.826771653543307838e-01,-9.105946287843714321e-03
-5.511811023622046335e-01,-8.613682877689925188e-03
-5.196850393700787052e-01,-8.121427818164189683e-03
-4.881889763779527769e-01,-7.629180631779581070e-03
-4.566929133858268486e-01,-7.136940841103566607e-03
-4.251968503937009203e-01,-6.644707968754722839e-03
-3.937007874015747699e-01,-6.152481537399423148e-03
-3.622047244094488416e-01,-5.660261069748540042e-03
-3.307086614173229133e-01,-5.168046088554144844e-03
-2.992125984251967630e-01,-4.675836116606205649e-03
-2.677165354330708347e-01,-4.183630676729299148e-03
-2.362204724409449064e-01,-3.691429291779296448e-03
-2.047244094488189781e-01,-3.199231484640084437e-03
-1.732283464566930498e-01,-2.707036778220255503e-03
-1.417322834645668994e-01,-2.214844695449818494e-03
-1.102362204724409711e-01,-1.722654759276908169e-03
-7.874015748031504280e-02,-1.230466492664476210e-03
-4.724409448818889246e-02,-7.382794185870042479e-04
-1.574803149606296415e-02,-2.460930600272195944e-04
1.574803149606296415e-02,2.460930600272195402e-04
4.724409448818889246e-02,7.382794185870044648e-04
7.874015748031482076e-02,1.230466492664472741e-03
1.102362204724407491e-01,1.722654759276904483e-03
1.417322834645666774e-01,2.214844695449814591e-03
1.732283464566930498e-01,2.707036778220255503e-03
2.047244094488189781e-01,3.199231484640084437e-03
2.362204724409449064e-01,3.691429291779296448e-03
2.677165354330708347e-01,4.183630676729299148e-03
2.992125984251967630e-01,4.675836116606205649e-03
3.307086614173226913e-01,5.168046088554140507e-03
3.622047244094486196e-01,5.660261069748538307e-03
3.937007874015749920e-01,6.152481537399427484e-03
4.251968503937009203e-01,6.644707968754722839e-03
4.566929133858268486e-01,7.136940841103566607e-03
4.881889763779527769e-01,7.629180631779581070e-03
5.196850393700787052e-01,8.121427818164189683e-03
5.511811023622046335e-01,8.613682877689925188e-03
5.826771653543305618e-01,9.105946287843709117e-03
6.141732283464564901e-01,9.598218526170187656e-03
6.456692913385824184e-01,1.009050007027499987e-02
6.771653543307087908e-01,1.058279139782812572e-02
7.086614173228347191e-01,1.107509298656714561e-02
7.401574803149606474e-01,1.156740531430057971e-02
7.716535433070865757e-01,1.205972885891120651e-02
8.031496062992125040e-01,1.255206409835934490e-02
8.346456692913384323e-01,1.304441151068619180e-02
8.661417322834643606e-01,1.353677157401712156e-02
8.976377952755907330e-01,1.402914476656502013e-02
9.291338582677166613e-01,1.452153156663356197e-02
9.606299212598425896e-01,1.501393245262059271e-02
9.921259842519685179e-01,1.550634790302139743e-02
1.023622047244094446e+00,1.599877839643204860e-02
1.055118110236220375e+00,1.649122441155273511e-02
1.086614173228346303e+00,1.698368642719107896e-02
1.118110236220472231e+00,1.747616492226546775e-02
1.149606299212598159e+00,1.796866037580838182e-02
1.181102362204724532e+00,1.846117326696975272e-02
1.212598425196850460e+00,1.895370407502025914e-02
1.244094488188976388e+00,1.944625327935470965e-02
1.275590551181102317e+00,1.993882135949535603e-02
1.307086614173228245e+00,2.043140879509524471e-02
1.338582677165354173e+00,2.092401606594156485e-02
1.370078740157480102e+00,2.141664365195901365e-02
1.401574803149606474e+00,2.190929203321310623e-02
1.433070866141732402e+00,2.240196168991357914e-02
1.464566929133858331e+00,2.289465310241771759e-02
1.496062992125984259e+00,2.338736675123372424e-02
1.527559055118110187e+00,2.388010311702409849e-02
1.559055118110236116e+00,2.437286268060896016e-02
1.590551181102362044e+00,2.486564592296949816e-02
1.622047244094487972e+00,2.535845332525122828e-02
1.653543307086613900e+00,2.585128536876750774e-02
1.685039370078740273e+00,2.634414253500280689e-02
1.716535433070866201e+00,2.683702530561612315e-02
1.748031496062992129e+00,2.732993416244438797e-02
1.779527559055118058e+00,2.782286958750586001e-02
1.811023622047243986e+00,2.831583206300346961e-02
1.842519685039369914e+00,2.880882207132830913e-02
1.874015748031495843e+00,2.930184009506290113e-02
1.905511811023622215e+00,2.979488661698475802e-02
1.937007874015748143e+00,3.028796212006963640e-02
1.968503937007874072e+00,3.078106708749510020e-02
2.000000000000000000e+00,3.127420200264382361e-02
