# us/u_eta,time_estimate
5.000000000000000000e-01,1.792220360532702728e+00
1.000000000000000000e+00,1.741482273700049932e+00
1.500000000000000000e+00,1.669839522557057920e+00
2.000000000000000000e+00,1.585143917477139786e+00
2.500000000000000000e+00,1.511254696824375632e+00
3.000000000000000000e+00,1.443684788562149102e+00
3.500000000000000000e+00,1.367566839575918625e+00
4.000000000000000000e+00,1.304025661387465007e+00
4.500000000000000000e+00,1.256579192728596750e+00
5.000000000000000000e+00,1.206151415918739866e+00
6.000000000000000000e+00,1.109195989952217243e+00
7.000000000000000000e+00,1.043091333477863536e+00
8.000000000000000000e+00,9.903095881444515802e-01
9.000000000000000000e+00,9.447695758639271801e-01
1.000000000000000000e+01,9.048123132080313491e-01
1.500000000000000000e+01,7.932232741580682589e-01
2.000000000000000000e+01,7.279424377707744975e-01
