# angular_frequency,average_fft_tr(J^2),95CLI
3.147750175190828870e+01,1.825373893706945339e+01,5.110110775179050879e-01
3.210707691968768529e+01,1.797074287537389381e+01,5.152475949967683100e-01
3.273665208746707833e+01,1.780877564470862495e+01,5.091243180068031338e-01
3.336622725524647137e+01,1.763588613860093446e+01,5.103289579054741676e-01
3.399580242302587152e+01,1.697606046616768083e+01,5.001527204198688015e-01
3.462537759080526456e+01,1.671908715927624911e+01,4.872674034812611299e-01
3.525495275858465760e+01,1.650368100863668630e+01,4.759753908905237085e-01
3.588452792636405064e+01,1.642194195755414654e+01,4.784698674208838765e-01
3.651410309414344368e+01,1.617909352721563110e+01,4.734131374205365339e-01
3.714367826192284383e+01,1.593534282530839086e+01,4.469885228416159983e-01
3.777325342970223687e+01,1.541539327202881715e+01,4.392600867254245478e-01
3.840282859748162991e+01,1.541527991393382457e+01,4.471746462546681289e-01
3.903240376526102295e+01,1.527807721446724010e+01,4.468222332672821540e-01
3.966197893304042310e+01,1.475740553098265018e+01,4.266496371422560663e-01
4.029155410081981614e+01,1.451842169687753881e+01,4.246679653788418274e-01
4.092112926859920918e+01,1.437407783034577591e+01,4.188419110097749143e-01
4.155070443637860222e+01,1.414189749524320661e+01,4.259331679315357388e-01
4.218027960415800237e+01,1.402443715417084213e+01,4.070006592759002340e-01
4.280985477193739541e+01,1.384565828097061768e+01,4.153291115744449646e-01
4.343942993971678135e+01,1.371881282466916119e+01,4.012717731433635415e-01
4.406900510749618860e+01,1.350682937637943049e+01,4.115258531149819099e-01
4.469858027527557454e+01,1.327277998154822924e+01,3.967848106946239573e-01
4.532815544305496758e+01,1.325374743426247903e+01,4.040510363490070755e-01
4.595773061083436772e+01,1.299801003889319162e+01,3.969863512670385175e-01
4.658730577861376076e+01,1.277640285758177363e+01,3.843232406267654278e-01
4.721688094639315381e+01,1.257570986608785901e+01,3.871174662968787095e-01
4.784645611417255395e+01,1.247351260540009044e+01,3.830769663987840801e-01
4.847603128195194699e+01,1.221362227671932565e+01,3.737107284776139959e-01
4.910560644973133293e+01,1.208187967705291932e+01,3.718391193812991546e-01
4.973518161751073308e+01,1.173376297757991793e+01,3.621093421632111675e-01
5.036475678529012612e+01,1.168603396799377769e+01,3.734594203465385065e-01
5.099433195306951916e+01,1.158018582604693947e+01,3.698057560678629785e-01
5.162390712084891931e+01,1.153692739747656404e+01,3.754135817866344205e-01
5.225348228862831235e+01,1.148682583447664562e+01,3.741415921045477266e-01
5.288305745640770539e+01,1.116039502966479624e+01,3.603625262531197082e-01
5.351263262418710553e+01,1.102515176211992198e+01,3.637591114082046606e-01
5.414220779196649858e+01,1.091082328192383066e+01,3.635598093731888247e-01
5.477178295974588451e+01,1.073589232367587520e+01,3.573363513773134548e-01
5.540135812752528466e+01,1.062584269619929778e+01,3.490358052361188235e-01
5.603093329530467770e+01,1.054445099261706709e+01,3.527436024847031004e-01
5.666050846308407074e+01,1.043642777995297699e+01,3.497429325184381876e-01
5.729008363086347089e+01,1.023591047059849934e+01,3.468457207907010287e-01
5.791965879864286393e+01,9.981602501670948868e+00,3.317992075143549879e-01
5.854923396642225697e+01,1.000459783155373472e+01,3.358358657815965764e-01
5.917880913420165712e+01,9.735300037608402235e+00,3.337896778550580312e-01
5.980838430198105016e+01,9.759942001671834788e+00,3.409241821113868642e-01
6.043795946976043609e+01,9.709352631709398551e+00,3.367187526705520129e-01
6.106753463753983624e+01,9.557464106629115719e+00,3.277465071935933838e-01
6.169710980531922928e+01,9.389844603812026236e+00,3.245487377190348077e-01
6.232668497309862232e+01,9.275789896433472848e+00,3.200251688731837185e-01
6.295626014087801536e+01,9.297224473878928919e+00,3.309468053710816760e-01
6.358583530865741551e+01,8.927543149970556868e+00,3.130008015929747756e-01
6.421541047643680145e+01,8.801047338412095300e+00,2.992999473390587917e-01
6.484498564421619449e+01,8.703272233488037912e+00,3.061293209801602133e-01
6.547456081199560174e+01,8.778058966170849686e+00,3.224659159246688334e-01
6.610413597977499478e+01,8.638749739991510523e+00,3.285914950880101104e-01
6.673371114755438782e+01,8.534622206429769875e+00,3.139891149904322498e-01
6.736328631533378086e+01,8.373199213909904515e+00,3.109282684440616285e-01
6.799286148311317390e+01,8.342985103929635216e+00,3.245918605026626991e-01
6.862243665089256695e+01,8.153016327825927334e+00,3.059121635084421920e-01
6.925201181867195999e+01,8.029667953404150182e+00,2.954006601230038664e-01
6.988158698645135303e+01,7.926426060937659557e+00,2.905769265810863589e-01
7.051116215423074607e+01,7.856682736551837465e+00,2.894153559381956731e-01
7.114073732201015332e+01,7.914821007323709523e+00,3.008956100143735934e-01
7.177031248978954636e+01,7.735497268169538643e+00,2.959161647498994574e-01
7.239988765756893940e+01,7.606220897100261169e+00,3.037384783182049963e-01
7.302946282534833244e+01,7.602934003343686520e+00,3.133388034571513159e-01
7.365903799312772549e+01,7.447112185317108057e+00,3.076666506158904912e-01
7.428861316090711853e+01,7.327741835109545576e+00,2.959141225690560262e-01
7.491818832868651157e+01,7.262747665488095805e+00,2.932491053123322255e-01
7.554776349646590461e+01,7.121467536150817956e+00,2.843057946195758356e-01
7.617733866424529765e+01,7.082663142095593223e+00,2.685019771809862288e-01
7.680691383202470490e+01,6.983980140246404567e+00,2.640783628459009713e-01
7.743648899980409794e+01,6.968706893779326172e+00,2.688491605989143385e-01
7.806606416758349098e+01,6.872055646306686860e+00,2.792486008253587948e-01
7.869563933536288403e+01,6.704963131743394200e+00,2.760565273158187005e-01
7.932521450314227707e+01,6.678606781116145363e+00,2.791499518482663533e-01
7.995478967092167011e+01,6.570996415334806606e+00,2.805367450252340689e-01
8.058436483870107736e+01,6.508955699229332481e+00,2.761539750186614017e-01
8.121394000648045619e+01,6.450934507961434861e+00,2.788284519179665688e-01
8.184351517425986344e+01,6.322162459978201809e+00,2.651291229994378607e-01
8.247309034203924227e+01,6.330114165265362303e+00,2.617908294574113337e-01
8.310266550981864953e+01,6.255402795557879259e+00,2.610902620119170403e-01
8.373224067759804257e+01,6.189076152454161317e+00,2.650241428860272697e-01
8.436181584537742140e+01,6.073048983513356980e+00,2.603565963074753742e-01
8.499139101315682865e+01,6.024770847924063588e+00,2.539191682548316287e-01
8.562096618093622169e+01,5.934514075529493837e+00,2.527766825072862988e-01
8.625054134871561473e+01,5.922185771564091539e+00,2.514087006233668431e-01
8.688011651649500777e+01,5.864386706294195228e+00,2.478754337265743068e-01
8.750969168427441502e+01,5.773766111379931232e+00,2.386004391561263316e-01
8.813926685205379385e+01,5.708025260030992420e+00,2.293714103047125030e-01
8.876884201983320111e+01,5.675517141399518017e+00,2.322956280781200145e-01
8.939841718761259415e+01,5.588469217989347371e+00,2.303754272140620674e-01
9.002799235539197298e+01,5.593582815303101086e+00,2.339791349872843707e-01
9.065756752317138023e+01,5.411697390571748478e+00,2.246267540377483163e-01
9.128714269095077327e+01,5.355588255196073177e+00,2.183297841031860975e-01
9.191671785873016631e+01,5.356419479189112209e+00,2.226613507262390212e-01
9.254629302650955935e+01,5.319801652182386320e+00,2.276786004970823563e-01
9.317586819428896661e+01,5.227746281925039540e+00,2.249406515877293844e-01
9.380544336206834544e+01,5.190789519420865972e+00,2.201112111670377181e-01
9.443501852984775269e+01,5.095070857093022099e+00,2.172460541570616910e-01
9.506459369762714573e+01,5.064498134477704028e+00,2.189631485401946631e-01
9.569416886540652456e+01,4.994953091912853083e+00,2.113717853526163315e-01
9.632374403318593181e+01,4.933159856102677487e+00,2.082156677218147955e-01
9.695331920096532485e+01,4.887764383582908323e+00,2.052340117976910738e-01
9.758289436874471789e+01,4.803653590435419396e+00,2.045422039611810294e-01
9.821246953652411094e+01,4.794804668279411430e+00,2.048840021608613060e-01
9.884204470430351819e+01,4.753851043472998583e+00,2.014739511931634419e-01
9.947161987208289702e+01,4.659024511125186230e+00,2.002953761114094344e-01
1.001011950398623043e+02,4.644881703693247488e+00,2.045630616557489734e-01
1.007307702076416973e+02,4.549784678175668340e+00,1.997712307164956902e-01
1.013603453754210761e+02,4.546679706010556821e+00,2.037166051169754521e-01
1.019899205432004834e+02,4.468321172801029917e+00,2.032522185818804450e-01
1.026194957109798764e+02,4.423528237160275545e+00,1.990306974987831878e-01
1.032490708787592695e+02,4.378789744085850089e+00,2.048059395247879555e-01
1.038786460465386625e+02,4.338611102882612869e+00,2.007109080582612781e-01
1.045082212143180698e+02,4.267112880163526967e+00,1.956323716383574496e-01
1.051377963820974486e+02,4.177432110485771233e+00,1.923811698578469787e-01
1.057673715498768559e+02,4.192174771614840090e+00,1.935621009826971051e-01
1.063969467176562489e+02,4.118010648044371891e+00,1.841168702376848598e-01
1.070265218854356277e+02,4.100794338409358808e+00,1.912327302218209679e-01
1.076560970532150350e+02,4.001800330892168134e+00,1.830022490473483532e-01
1.082856722209944280e+02,3.979938871538994061e+00,1.846512476060673813e-01
1.089152473887738211e+02,3.903053768753327546e+00,1.770099322094038363e-01
1.095448225565532141e+02,3.914897134201573259e+00,1.847989835349661825e-01
1.101743977243326214e+02,3.864206638506570091e+00,1.790162472687590323e-01
1.108039728921120002e+02,3.811752678215780676e+00,1.796431805745263011e-01
1.114335480598913932e+02,3.732854752704084511e+00,1.742943136916755564e-01
1.120631232276708005e+02,3.711028287977736539e+00,1.728776519727028005e-01
1.126926983954501793e+02,3.657664462649385051e+00,1.749301302279897830e-01
1.133222735632295866e+02,3.622536169014708651e+00,1.792726565628666169e-01
1.139518487310089796e+02,3.597039896715619189e+00,1.761225278233370939e-01
1.145814238987883726e+02,3.612124870306217872e+00,1.741585049511523153e-01
1.152109990665677657e+02,3.537378143790899543e+00,1.729557227471986980e-01
1.158405742343471729e+02,3.518872809681771407e+00,1.719282341690623328e-01
1.164701494021265518e+02,3.486439479622649440e+00,1.758365269732049541e-01
1.170997245699059448e+02,3.435807681757475862e+00,1.702334677041887900e-01
1.177292997376853521e+02,3.310004669644562192e+00,1.650805418775958544e-01
1.183588749054647309e+02,3.317302021868654638e+00,1.618939606274372167e-01
1.189884500732441381e+02,3.302673216309239823e+00,1.688265088579285200e-01
1.196180252410235312e+02,3.262583834532666760e+00,1.662985220702855316e-01
1.202476004088029242e+02,3.207619848980647781e+00,1.593308298073413676e-01
1.208771755765823173e+02,3.140331762869177368e+00,1.529102724335371366e-01
1.215067507443617245e+02,3.123933792955803312e+00,1.560974515185739597e-01
1.221363259121411033e+02,3.092594311464399226e+00,1.581871618449408323e-01
1.227659010799204964e+02,3.075814358466713028e+00,1.551805945607384329e-01
1.233954762476998894e+02,2.994892144520796773e+00,1.505830419699213940e-01
1.240250514154792825e+02,3.009359541388670678e+00,1.503195135707829921e-01
1.246546265832586897e+02,2.979107151464164271e+00,1.520561485918348610e-01
1.252842017510380686e+02,2.963383496445940679e+00,1.541863304069581164e-01
1.259137769188174758e+02,2.898271010588740371e+00,1.454575638237086965e-01
1.265433520865968688e+02,2.857229027788231512e+00,1.400295561876413741e-01
1.271729272543762477e+02,2.867912335338611118e+00,1.442260187058585774e-01
1.278025024221556549e+02,2.783484207839624247e+00,1.409790006225888626e-01
1.284320775899350622e+02,2.800828692649390828e+00,1.418380506217056802e-01
1.290616527577144268e+02,2.754191402801493549e+00,1.367984984865099896e-01
1.296912279254938483e+02,2.711646761216501833e+00,1.347799604496861259e-01
1.303208030932732413e+02,2.698510526218276251e+00,1.380916766639201654e-01
1.309503782610526343e+02,2.693095882977918354e+00,1.409028488432474968e-01
1.315799534288320274e+02,2.681745988369443001e+00,1.385433127327030112e-01
1.322095285966114204e+02,2.625939272960429172e+00,1.353180832629753694e-01
1.328391037643908135e+02,2.582257983743481589e+00,1.345526624045586539e-01
1.334686789321702065e+02,2.573660983544338254e+00,1.359808688335451821e-01
1.340982540999495995e+02,2.578081141267746457e+00,1.394648850934170903e-01
1.347278292677289926e+02,2.557353107684866789e+00,1.399936385586688092e-01
1.353574044355083856e+02,2.517001905917517046e+00,1.390889553766131992e-01
1.359869796032877787e+02,2.511996896405958246e+00,1.385041119267818588e-01
1.366165547710671717e+02,2.511399332715875676e+00,1.429957382580003267e-01
1.372461299388465648e+02,2.477281864306922543e+00,1.423939552041664780e-01
1.378757051066259862e+02,2.472533348602979242e+00,1.408936933370657230e-01
1.385052802744053508e+02,2.441838411829725608e+00,1.397640726547403345e-01
1.391348554421847439e+02,2.423080313447558254e+00,1.420666178382280487e-01
1.397644306099641653e+02,2.409951166382145349e+00,1.411963473920115342e-01
1.403940057777435300e+02,2.379747955056812803e+00,1.415910195009272843e-01
1.410235809455229514e+02,2.323000417877239876e+00,1.375235388679289517e-01
1.416531561133023445e+02,2.272867627122526102e+00,1.359501515838887897e-01
1.422827312810817091e+02,2.273267238464891538e+00,1.331129507035727355e-01
1.429123064488611305e+02,2.234268432840882390e+00,1.325153020718969898e-01
1.435418816166405236e+02,2.232814458328411966e+00,1.311105155240600284e-01
1.441714567844199166e+02,2.212003636885429891e+00,1.307718441577728763e-01
1.448010319521993097e+02,2.189985699194721747e+00,1.310318819963840198e-01
1.454306071199787027e+02,2.160486155531525565e+00,1.303791160891837053e-01
1.460601822877580958e+02,2.157180626566771231e+00,1.345717430131835313e-01
1.466897574555374888e+02,2.130585765639317675e+00,1.342894645997153025e-01
1.473193326233168818e+02,2.106601293576749523e+00,1.306511369920447252e-01
1.479489077910962749e+02,2.121070704240855420e+00,1.328666939530004920e-01
1.485784829588756679e+02,2.112612503696469801e+00,1.349661526548785462e-01
1.492080581266550894e+02,2.082713221947929849e+00,1.327435867759712007e-01
1.498376332944344540e+02,2.085808723793308950e+00,1.343838142456501294e-01
1.504672084622138470e+02,2.029617100715009670e+00,1.301160809450156997e-01
1.510967836299932685e+02,2.028671852291120015e+00,1.301072373542846716e-01
