# angular_frequency,average_fft_tr(J^2),95CLI
6.283185307179586232e-01,3.177166692878169130e+01,8.442006909597148834e+00
1.257893698497352997e+00,3.306187297893358590e+01,9.533237049561334331e+00
1.887468866276747814e+00,3.120909664729893862e+01,8.872434268983225181e+00
2.517044034056142188e+00,3.144376944661820872e+01,8.469360898111919056e+00
3.146619201835537005e+00,3.182868385892997765e+01,9.661499835066356567e+00
3.776194369614931379e+00,3.179469292457967100e+01,8.765122639103466895e+00
4.405769537394325752e+00,3.036967939992619847e+01,8.832701170733551876e+00
5.035344705173719682e+00,3.035914035569701142e+01,8.297143611430252363e+00
5.664919872953115387e+00,2.961130861461796115e+01,8.215036523561805026e+00
6.294495040732510205e+00,3.339128697350995623e+01,7.600511793649926240e+00
6.924070208511904134e+00,3.098276035209910972e+01,7.625925547872692611e+00
7.553645376291298952e+00,3.222393951978292392e+01,7.442993104532925841e+00
8.183220544070692881e+00,2.838602073217413846e+01,7.195083448141418536e+00
8.812795711850087699e+00,3.015326775143492810e+01,7.003066565306393265e+00
9.442370879629482516e+00,3.036894255887928296e+01,6.826736746944702006e+00
1.007194604740887733e+01,2.643435751081342033e+01,7.114519175869185474e+00
1.070152121518827215e+01,2.656009521839840914e+01,6.216175177051874279e+00
1.133109638296766519e+01,2.883932068601876963e+01,6.205617970339397438e+00
1.196067155074706179e+01,2.647584752340158332e+01,5.309955235434419940e+00
1.259024671852645483e+01,2.929134024287507643e+01,5.754164936623513249e+00
1.321982188630584965e+01,2.887481855530133856e+01,5.293056653924905319e+00
1.384939705408524446e+01,2.877587292329310742e+01,5.218537234756423615e+00
1.447897222186463928e+01,2.617682367860455628e+01,5.000920651589185084e+00
1.510854738964403232e+01,2.716472913211136131e+01,5.134181871507752071e+00
1.573812255742342892e+01,2.749282032225593397e+01,5.538413583354418357e+00
1.636769772520282373e+01,2.753845858471593999e+01,5.065706302742554179e+00
1.699727289298221677e+01,2.776248384429447569e+01,5.038983639401739545e+00
1.762684806076160982e+01,2.697478978168060593e+01,4.193410200703365120e+00
1.825642322854100641e+01,2.549957572614838597e+01,4.392565540121709411e+00
1.888599839632039945e+01,2.943812658537968829e+01,4.800973218228936190e+00
1.951557356409979249e+01,2.655793479733307194e+01,4.294808359202258785e+00
2.014514873187918909e+01,2.460757219007682650e+01,3.604997885197149809e+00
2.077472389965858568e+01,2.652240634718228307e+01,3.734916842950821714e+00
2.140429906743797872e+01,2.736118309402979776e+01,3.991745900130985181e+00
2.203387423521737176e+01,2.515663368915312503e+01,3.113325006296234321e+00
2.266344940299676836e+01,2.498741007465183728e+01,3.674522786529318186e+00
2.329302457077616495e+01,2.507598934636416743e+01,3.879434245457077601e+00
2.392259973855555444e+01,2.480072303949399171e+01,3.690219619838963183e+00
2.455217490633495103e+01,2.528008821910552228e+01,3.943031304329988718e+00
2.518175007411434763e+01,2.379783977990090449e+01,3.608953916835277109e+00
