# angular_frequency,average_fft_tr(J^2),95CLI
6.283185307179586232e-01,4.477685335500056141e+01,5.072957799843796245e+00
1.257893698497352997e+00,4.770224431324621150e+01,4.755536630745809568e+00
1.887468866276747814e+00,4.595317902523686371e+01,4.854651853498875624e+00
2.517044034056142188e+00,4.415052726737838640e+01,4.434881899637217018e+00
3.146619201835537005e+00,4.408361078502691299e+01,4.414643449281134835e+00
3.776194369614931379e+00,4.333289080260414039e+01,4.206874445944459140e+00
4.405769537394325752e+00,4.305820869110927163e+01,4.174722125592353450e+00
5.035344705173719682e+00,4.246318094618095529e+01,4.423267506924206671e+00
5.664919872953115387e+00,4.168727581927015535e+01,4.050793907884568057e+00
6.294495040732510205e+00,4.150732949391610305e+01,3.993657603377224419e+00
6.924070208511904134e+00,4.057800721554423262e+01,3.784014621160435077e+00
7.553645376291298952e+00,4.005280668308496672e+01,3.605356608117165074e+00
8.183220544070692881e+00,3.909470649729868796e+01,3.456102826169381359e+00
8.812795711850087699e+00,3.842266244710695844e+01,3.221575748614623258e+00
9.442370879629482516e+00,3.663093479736711089e+01,3.152811903254329806e+00
1.007194604740887733e+01,3.600221295056505966e+01,3.005228575546644354e+00
1.070152121518827215e+01,3.588058252640444579e+01,2.789312987381889819e+00
1.133109638296766519e+01,3.415449737633237248e+01,2.902893499195883020e+00
1.196067155074706179e+01,3.386570024976938242e+01,2.630842712795482985e+00
1.259024671852645483e+01,3.248083045195902940e+01,2.566298383505437375e+00
1.321982188630584965e+01,3.204959256651721944e+01,2.485619700181316283e+00
1.384939705408524446e+01,3.199274549703983084e+01,2.812286631580690699e+00
1.447897222186463928e+01,3.304009901327135168e+01,2.672125211286104474e+00
1.510854738964403232e+01,3.237301556239764722e+01,2.626094444339578615e+00
1.573812255742342892e+01,3.098102856088021539e+01,2.511670866038233196e+00
1.636769772520282373e+01,3.136620781718817597e+01,2.548358133927762115e+00
1.699727289298221677e+01,3.021847467178687907e+01,2.565582279103562513e+00
1.762684806076160982e+01,3.109688427762015550e+01,2.526410859599799164e+00
1.825642322854100641e+01,3.100935478615359742e+01,2.483851361000028568e+00
1.888599839632039945e+01,2.984821380815517955e+01,2.602028744817022510e+00
1.951557356409979249e+01,2.965331962255307019e+01,2.506075081841282248e+00
2.014514873187918909e+01,2.912001603230343960e+01,2.527394806162415186e+00
2.077472389965858568e+01,2.881078952043631247e+01,2.419138376835497706e+00
2.140429906743797872e+01,2.849743453020293060e+01,2.578831866522257599e+00
2.203387423521737176e+01,2.895650387305733986e+01,2.577696249561167274e+00
2.266344940299676836e+01,2.820155684951752662e+01,2.513726144913656757e+00
2.329302457077616495e+01,2.832880458123157652e+01,2.599517181063993654e+00
2.392259973855555444e+01,2.781209598510692516e+01,2.348646458920034874e+00
2.455217490633495103e+01,2.734701525389972332e+01,2.350145315592306883e+00
2.518175007411434763e+01,2.724030522189869785e+01,2.362070391066321218e+00
2.581132524189374067e+01,2.653853247400230941e+01,2.401152591724490470e+00
2.644090040967313371e+01,2.683851095283720056e+01,2.434837510021939710e+00
2.707047557745253030e+01,2.606282321354030174e+01,2.210196347296626396e+00
2.770005074523192334e+01,2.598511931041955236e+01,2.201865758198845668e+00
2.832962591301131994e+01,2.482635266904116023e+01,2.261323148932647964e+00
2.895920108079071653e+01,2.608996215953321141e+01,2.209172166383368108e+00
2.958877624857010602e+01,2.573653052233945715e+01,2.172641225137537546e+00
3.021835141634950261e+01,2.501630040323108872e+01,2.118743512898430215e+00
3.084792658412889921e+01,2.545932540888401263e+01,2.106032285364758394e+00
3.147750175190828870e+01,2.335867080993703127e+01,1.915896683873021589e+00
3.210707691968768529e+01,2.540636142519470653e+01,2.120865156586304590e+00
3.273665208746707833e+01,2.319942028839610515e+01,1.824759721253647937e+00
3.336622725524647137e+01,2.415319676763618872e+01,1.926347289956306330e+00
3.399580242302587152e+01,2.295179360757629894e+01,1.705049840044637444e+00
3.462537759080526456e+01,2.378509890947017169e+01,1.822556240043855524e+00
3.525495275858465760e+01,2.442899608899033481e+01,1.991099878673789236e+00
3.588452792636405064e+01,2.299228450734582196e+01,1.876415710843283957e+00
3.651410309414344368e+01,2.298305529505594436e+01,1.901222178129201801e+00
3.714367826192284383e+01,2.233988958440381012e+01,1.811090831186603411e+00
3.777325342970223687e+01,2.264328964749073947e+01,1.772679144517151473e+00
3.840282859748162991e+01,2.256265909256861946e+01,1.716750240402685979e+00
3.903240376526102295e+01,2.218565584244376510e+01,1.726187975413933984e+00
3.966197893304042310e+01,2.215122983393024469e+01,1.733657664788204267e+00
4.029155410081981614e+01,2.122060427245456893e+01,1.725794547315207206e+00
4.092112926859920918e+01,2.256155356047110772e+01,1.760955428071955264e+00
4.155070443637860222e+01,2.162905191307180530e+01,1.713489571082120966e+00
4.218027960415800237e+01,2.090950148370842143e+01,1.864067979755549942e+00
4.280985477193739541e+01,2.161528874700535496e+01,1.855549703872360734e+00
4.343942993971678135e+01,2.121483715895527666e+01,1.837655660920720413e+00
4.406900510749618860e+01,2.111195653120526217e+01,1.943966091008894281e+00
4.469858027527557454e+01,1.998417691730695012e+01,1.737205876886018352e+00
4.532815544305496758e+01,2.001855517791243599e+01,1.801984268869749384e+00
4.595773061083436772e+01,1.884254143053112429e+01,1.577184761681776903e+00
4.658730577861376076e+01,1.928045251485737666e+01,1.565879434002118265e+00
4.721688094639315381e+01,1.799437377499962665e+01,1.480269883798611463e+00
4.784645611417255395e+01,1.789547842600299177e+01,1.560535540550402889e+00
4.847603128195194699e+01,1.781619274106984463e+01,1.516436650499980221e+00
4.910560644973133293e+01,1.832586460599715394e+01,1.666599901822301888e+00
4.973518161751073308e+01,1.737032003931777169e+01,1.530893524499581826e+00
5.036475678529012612e+01,1.783776465522994670e+01,1.669883363239354379e+00
5.099433195306951916e+01,1.784379811808903682e+01,1.604678138092050954e+00
5.162390712084891931e+01,1.826479200220193277e+01,1.685234473957613721e+00
5.225348228862831235e+01,1.780868255282522838e+01,1.656960046151837229e+00
5.288305745640770539e+01,1.742729079533375369e+01,1.468077344381544913e+00
5.351263262418710553e+01,1.684130277416246102e+01,1.485257044420590811e+00
5.414220779196649858e+01,1.671021806510708529e+01,1.318767641371570765e+00
5.477178295974588451e+01,1.590563798587356104e+01,1.343399666543365845e+00
5.540135812752528466e+01,1.624279027631157746e+01,1.272047272205843349e+00
5.603093329530467770e+01,1.592833210171061076e+01,1.342346863446709504e+00
5.666050846308407074e+01,1.559078863880294641e+01,1.297096648458180734e+00
5.729008363086347089e+01,1.563831295046096770e+01,1.323412960606836553e+00
5.791965879864286393e+01,1.555126538071036002e+01,1.336282172055894835e+00
5.854923396642225697e+01,1.538037367545652501e+01,1.286543898984753742e+00
5.917880913420165712e+01,1.552460551875807404e+01,1.249322002989349256e+00
5.980838430198105016e+01,1.474000221513567688e+01,1.207299552193747294e+00
6.043795946976043609e+01,1.471013860045044375e+01,1.238993610050611149e+00
6.106753463753983624e+01,1.408752618137454249e+01,1.162701811442056643e+00
6.169710980531922928e+01,1.444331734869493467e+01,1.182895352146274393e+00
6.232668497309862232e+01,1.424206031175768672e+01,1.109181792865064908e+00
6.295626014087801536e+01,1.425008742486430968e+01,1.163100314016602521e+00
6.358583530865741551e+01,1.398832507067882247e+01,1.206277819090942005e+00
6.421541047643680145e+01,1.381451158506111199e+01,1.242978373734020980e+00
6.484498564421619449e+01,1.365633200946197867e+01,1.160682694221700562e+00
6.547456081199560174e+01,1.352497062069488543e+01,1.129100502187671440e+00
6.610413597977499478e+01,1.371254081486133991e+01,1.191570971963652248e+00
6.673371114755438782e+01,1.385049265403855578e+01,1.281742566974621633e+00
6.736328631533378086e+01,1.369761504330973878e+01,1.324628591972768721e+00
6.799286148311317390e+01,1.348057201627745627e+01,1.269845534893407013e+00
6.862243665089256695e+01,1.289195136945559383e+01,1.190282887354703334e+00
6.925201181867195999e+01,1.347753489355230805e+01,1.272346782282606670e+00
6.988158698645135303e+01,1.298634205671834430e+01,1.207497416297834469e+00
7.051116215423074607e+01,1.253074161952645404e+01,1.193168805830563173e+00
7.114073732201015332e+01,1.253734628938001272e+01,1.175577969108091203e+00
7.177031248978954636e+01,1.223072485923283637e+01,1.136725555697854606e+00
7.239988765756893940e+01,1.269340812751367054e+01,1.184886536964253834e+00
7.302946282534833244e+01,1.239428611635116617e+01,1.216846763361036921e+00
7.365903799312772549e+01,1.211222648688521097e+01,1.193803226948575436e+00
7.428861316090711853e+01,1.187503099764802883e+01,1.111627697335577203e+00
7.491818832868651157e+01,1.157446614567566634e+01,1.101193636348179350e+00
7.554776349646590461e+01,1.197888192604020574e+01,1.103743981451370759e+00
7.617733866424529765e+01,1.172761254811164378e+01,1.106032350562114575e+00
7.680691383202470490e+01,1.111060895720088837e+01,1.048676190195629410e+00
7.743648899980409794e+01,1.101665535462254120e+01,1.040195370965724786e+00
7.806606416758349098e+01,1.102978205040446902e+01,9.939977855829456033e-01
7.869563933536288403e+01,1.085793796003460621e+01,1.025979081988552366e+00
7.932521450314227707e+01,1.103661762443538485e+01,1.039607744163876690e+00
7.995478967092167011e+01,1.044573015057662424e+01,1.022454217980206748e+00
8.058436483870107736e+01,1.038710200045707666e+01,1.015995674774814894e+00
8.121394000648045619e+01,1.069861414060606108e+01,1.100089458049254842e+00
8.184351517425986344e+01,1.052249782764957153e+01,1.065399817485647382e+00
8.247309034203924227e+01,9.996295909548427616e+00,9.535187088533717548e-01
8.310266550981864953e+01,9.864935595497575704e+00,9.369522670348084947e-01
8.373224067759804257e+01,9.895059601440205910e+00,9.424918683410563602e-01
8.436181584537742140e+01,9.786130844134437012e+00,9.393580370632708121e-01
8.499139101315682865e+01,9.222400856005634751e+00,9.065543766739340148e-01
8.562096618093622169e+01,9.707561397973000439e+00,9.513971881427328858e-01
8.625054134871561473e+01,9.931991319266272100e+00,1.036364126922570295e+00
8.688011651649500777e+01,9.601234336542292525e+00,1.009880330450802832e+00
8.750969168427441502e+01,9.308454703479402070e+00,9.970964161229689537e-01
8.813926685205379385e+01,9.483088258182112540e+00,1.019211209774466331e+00
8.876884201983320111e+01,9.582267856868728728e+00,1.082916183537052435e+00
8.939841718761259415e+01,9.583974638821851855e+00,1.058799842299080973e+00
9.002799235539197298e+01,9.169847557907742086e+00,1.069034004118340597e+00
9.065756752317138023e+01,9.092857718993501592e+00,1.016861336571674546e+00
9.128714269095077327e+01,8.593981299847499145e+00,1.018193221573262308e+00
9.191671785873016631e+01,8.571706417893839358e+00,9.705980666637583631e-01
9.254629302650955935e+01,8.798159491877976635e+00,9.707464292311639431e-01
9.317586819428896661e+01,8.573998411268680897e+00,9.670271718948374451e-01
9.380544336206834544e+01,8.592311605713847555e+00,9.709082411643903399e-01
9.443501852984775269e+01,8.412594772547665301e+00,9.815676627609217775e-01
9.506459369762714573e+01,8.209033301945463990e+00,9.394902146181811631e-01
9.569416886540652456e+01,8.344824641776211749e+00,9.791651953307802803e-01
