# us/u_eta,time_estimate
5.000000000000000000e-01,6.182332721427421518e-01
1.000000000000000000e+00,6.060160029583540053e-01
1.500000000000000000e+00,5.874971501082452141e-01
2.000000000000000000e+00,5.598862619052716871e-01
2.500000000000000000e+00,5.333989052409177090e-01
3.000000000000000000e+00,5.068023357989436262e-01
3.500000000000000000e+00,4.729972138812034155e-01
4.000000000000000000e+00,4.555324333376898349e-01
4.500000000000000000e+00,4.250202573303674125e-01
5.000000000000000000e+00,4.135855713313224546e-01
6.000000000000000000e+00,3.729370181069447954e-01
7.000000000000000000e+00,3.307856531335124362e-01
8.000000000000000000e+00,2.979006058818561842e-01
9.000000000000000000e+00,2.777792672075369285e-01
1.000000000000000000e+01,2.571061670108680253e-01
1.500000000000000000e+01,1.922948387288966055e-01
2.000000000000000000e+01,1.520037163396802671e-01
