# time,position_x,position_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,-3.466690238850075184e-02,1.314695801812834457e-02
7.499999999999999722e-02,-6.848066380681012977e-02,2.619672274491038552e-02
1.124999999999999889e-01,-1.014623272413678889e-01,3.915741526572431852e-02
1.499999999999999944e-01,-1.336324348452607447e-01,5.203710750692894932e-02
1.875000000000000000e-01,-1.650110167667168115e-01,6.484381984684374489e-02
2.249999999999999778e-01,-1.956176155157978158e-01,7.758552783634903305e-02
2.625000000000000111e-01,-2.254712923805037295e-01,9.027016681768722239e-02
2.999999999999999889e-01,-2.545906423329471480e-01,1.029056377412717049e-01
3.374999999999999667e-01,-2.829937943554365898e-01,1.154998072020599204e-01
3.750000000000000000e-01,-3.106984293317786583e-01,1.280605151647441486e-01
4.124999999999999778e-01,-3.377218023551906700e-01,1.405955849713027284e-01
4.499999999999999556e-01,-3.640807487304250634e-01,1.531128250985943073e-01
4.874999999999999889e-01,-3.897916877170436445e-01,1.656200321833716793e-01
5.250000000000000222e-01,-4.148706240016457603e-01,1.781249928745272937e-01
5.625000000000000000e-01,-4.393331778258883769e-01,1.906354951589956104e-01
5.999999999999999778e-01,-4.631945831973939831e-01,2.031593300274800451e-01
6.374999999999999556e-01,-4.864696981004311693e-01,2.157042963453776052e-01
6.749999999999999334e-01,-5.091730184248146607e-01,2.282782064529823574e-01
7.125000000000000222e-01,-5.313186818795115895e-01,2.408888907528448919e-01
7.500000000000000000e-01,-5.529204792297246485e-01,2.535442025493748752e-01
7.874999999999999778e-01,-5.739918643010454291e-01,2.662520229116384085e-01
8.249999999999999556e-01,-5.945459583016047267e-01,2.790202656652738256e-01
8.624999999999999334e-01,-6.145955610694839866e-01,2.918568822032978072e-01
8.999999999999999112e-01,-6.341531591986214744e-01,3.047698664744368235e-01
9.375000000000000000e-01,-6.532309291069315904e-01,3.177672603790974160e-01
9.749999999999999778e-01,-6.718407514729374252e-01,3.308571580809205881e-01
1.012499999999999956e+00,-6.899942175095835628e-01,3.440477111155242906e-01
1.050000000000000044e+00,-7.077026362333979081e-01,3.573471333832531349e-01
1.087499999999999911e+00,-7.249770376614582679e-01,3.707637069663355378e-01
1.125000000000000000e+00,-7.418281771296635352e-01,3.843057876689885410e-01
1.162499999999999867e+00,-7.582665482430053228e-01,3.979818087405811444e-01
1.199999999999999956e+00,-7.743023855455121174e-01,4.118002866593742373e-01
1.237500000000000044e+00,-7.899456701472563624e-01,4.257698263753598167e-01
1.274999999999999911e+00,-8.052061469794496995e-01,4.398991277358998420e-01
1.312500000000000000e+00,-8.200933227965818695e-01,4.541969901101817197e-01
1.349999999999999867e+00,-8.346164680292407212e-01,4.686723174494898947e-01
1.387499999999999956e+00,-8.487846252381593404e-01,4.833341240496148994e-01
1.425000000000000044e+00,-8.626066152938273168e-01,4.981915402398465198e-01
1.462499999999999911e+00,-8.760910485956804328e-01,5.132538190336972672e-01
1.500000000000000000e+00,-8.892463232763588854e-01,5.285303405853296610e-01
