# U_0,J_0_0,J_0_1
# U_1,J_1_0,J_1_1
# 0.6443260129007636 * x * y + -0.40978388414900213 * y^2 / 2.0 - -0.042013646480245 * x^2 / 2.0 + -0.6516966058444201 * y - -0.7584797518265484 * x
-6.516966058444201293e-01,6.443260129007636339e-01,-4.097838841490021311e-01
-7.584797518265483651e-01,-4.201364648024499826e-02,-6.443260129007637449e-01
