# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_8o0
0.000000000000000000e+00,5.914084754800108534e-02,6.790391315031697739e-02,7.282325637084186010e-02,6.823453733611273275e-02
1.224489795918367319e-01,6.392532818765087055e-02,7.137393859832379117e-02,7.564773444629327437e-02,7.135443110360759067e-02
2.448979591836734637e-01,6.842359624341756708e-02,7.470358534067786382e-02,7.836152540696068869e-02,7.425584455542905138e-02
3.673469387755101678e-01,7.264342873458627670e-02,7.789490818741527656e-02,8.096631849783342272e-02,7.694579057631208141e-02
4.897959183673469274e-01,7.659260268044203179e-02,8.094996194857199956e-02,8.346380296390083775e-02,7.943128205099174444e-02
6.122448979591836871e-01,8.027889510026993414e-02,8.387080143418414180e-02,8.585566805015225345e-02,8.171933186420304862e-02
7.346938775510203357e-01,8.371008301335504387e-02,8.665948145428768734e-02,8.814360300157705885e-02,8.381695290068101600e-02
8.571428571428570953e-01,8.689394343898243500e-02,8.931805681891868964e-02,9.032929706316458751e-02,8.573115804516068250e-02
9.795918367346938549e-01,8.983825339643716767e-02,9.184858233811316053e-02,9.241443947990417296e-02,8.746896018237707016e-02
1.102040816326530503e+00,9.255078990500432978e-02,9.425311282190715345e-02,9.440071949678517649e-02,8.903737219706520101e-02
1.224489795918367374e+00,9.503932998396898146e-02,9.653370308033669411e-02,9.628982635879694552e-02,9.044340697396009709e-02
1.346938775510204023e+00,9.731165065261619673e-02,9.869240792343782209e-02,9.808344931092878582e-02,9.169407739779676658e-02
1.469387755102040671e+00,9.937552893023103573e-02,1.007312821612465492e-01,9.978327759817010034e-02,9.279639635331024539e-02
1.591836734693877542e+00,1.012387418360986002e-01,1.026523806037989428e-01,1.013910004655102226e-01,9.375737672523558330e-02
1.714285714285714191e+00,1.029090663895039087e-01,1.044577580611309869e-01,1.029083071579384862e-01,9.458403139830777462e-02
1.836734693877551061e+00,1.043942796097321046e-01,1.061494693432787906e-01,1.043368869204442384e-01,9.528337325726185525e-02
1.959183673469387710e+00,1.057021585160682065e-01,1.077295692602783239e-01,1.056784289980168545e-01,9.586241518683284724e-02
2.081632653061224580e+00,1.068404801277972604e-01,1.092001126221656404e-01,1.069346226356456542e-01,9.632817007175574486e-02
2.204081632653061007e+00,1.078170214642044100e-01,1.105631542389767935e-01,1.081071570783199848e-01,9.668765079676562568e-02
2.326530612244897878e+00,1.086395595445746737e-01,1.118207489207477395e-01,1.091977215710291937e-01,9.694787024659748398e-02
2.448979591836734748e+00,1.093158713881931671e-01,1.129749514775146291e-01,1.102080053587626424e-01,9.711584130598636955e-02
2.571428571428571175e+00,1.098537340143449226e-01,1.140278167193133768e-01,1.111396976865096642e-01,9.719857685966724892e-02
2.693877551020408045e+00,1.102609244423150003e-01,1.149813994561801195e-01,1.119944877992595789e-01,9.720308979237521352e-02
2.816326530612244916e+00,1.105452196913885299e-01,1.158377544981508273e-01,1.127740649420018310e-01,9.713639298884524376e-02
2.938775510204081343e+00,1.107143967808505297e-01,1.165989366552615814e-01,1.134801183597256707e-01,9.700549933381236167e-02
3.061224489795918213e+00,1.107762327299860877e-01,1.172670007375483658e-01,1.141143372974205011e-01,9.681742171201165870e-02
3.183673469387755084e+00,1.107385045580802779e-01,1.178440015550472203e-01,1.146784110000756002e-01,9.657917300817805972e-02
3.306122448979591955e+00,1.106089892844181466e-01,1.183319939177941843e-01,1.151740287126803985e-01,9.629776610704662843e-02
3.428571428571428381e+00,1.103954639282848094e-01,1.187330326358253113e-01,1.156028796802241743e-01,9.598021389335242848e-02
