# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.996000000000000441e+00,1.225135251854647944e-01,3.003563842067371020e-03,5.000000000000000000e-01,2.500000000000000000e-01
9.996000000000000441e+00,9.258951690051020478e-01,1.880348318913325351e-02,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.468663351082620583e-01,6.144986308497373331e-03,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.818428121248499174e+00,2.044161647516868144e-02,8.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.868241896758703335e+00,2.806130313727884032e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.358016807553099337e-01,2.989806956382446129e-03,5.000000000000000000e-01,5.000000000000000000e-01
9.996000000000000441e+00,1.009610491071428529e+00,1.762450132325069085e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.807033813525410260e-01,6.241528927921275935e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.495316148676267276e-01,3.000274846615587354e-03,5.000000000000000000e-01,7.500000000000000000e-01
9.996000000000000441e+00,1.028053985656762759e+00,2.097422078806288059e-02,4.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,3.038842079800669893e-01,5.834624165175717782e-03,1.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,1.879668098489395867e+00,3.165841997289683268e-02,8.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,1.903384322478991475e+00,2.748090812384790596e-02,8.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,1.719735449355523360e-01,2.982268358323710705e-03,5.000000000000000000e-01,1.250000000000000000e+00
9.996000000000000441e+00,1.081020325317626929e+00,1.474833035938333779e-02,4.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,3.353451753748373787e-01,5.967354164365969854e-03,1.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,1.908075511454581541e+00,2.639054086720160619e-02,8.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,1.761748613752141535e-01,2.972655722350491751e-03,5.000000000000000000e-01,1.500000000000000000e+00
9.996000000000000441e+00,1.089123846413565300e+00,1.254468878470238295e-02,4.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.374668549060249045e-01,5.630424321527098541e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.534059458744435167e-01,5.721011428939682189e-03,1.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,1.787086821300785944e-01,2.969807661414128417e-03,5.000000000000000000e-01,1.750000000000000000e+00
9.996000000000000441e+00,1.886409495048019025e+00,2.490516879430342695e-02,8.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,1.087941601640656231e+00,1.120322604469220669e-02,4.000000000000000000e+00,1.750000000000000000e+00
