# surftimeconst,average_velocity_axis_0_t_inf__params_0o5,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_8o0
8.928571428571427937e-01,1.566820709053135252e-01,1.056499510354634408e+00,3.146070837954278998e-01,1.895971925118805190e+00
9.285714285714284921e-01,1.583697269256446605e-01,1.059919409101354848e+00,3.167386881247071240e-01,1.897945989726017135e+00
9.642857142857141906e-01,1.600128748181900151e-01,1.063057053331966983e+00,3.187557995699314972e-01,1.899706809241074934e+00
1.000000000000000000e+00,1.616082978901680622e-01,1.065926809780014750e+00,3.206673176305259165e-01,1.901256536985218126e+00
1.035714285714285587e+00,1.631527794487971916e-01,1.068543045179040307e+00,3.224821418059154454e-01,1.902597326279688028e+00
1.071428571428571397e+00,1.646431028012959041e-01,1.070920126262587369e+00,3.242091715955252584e-01,1.903731330445724179e+00
1.107142857142856984e+00,1.660760512548825618e-01,1.073072419764198537e+00,3.258573064987801970e-01,1.904660702804567673e+00
1.142857142857142794e+00,1.674484081167757210e-01,1.075014292417416195e+00,3.274354460151054358e-01,1.905387596677459161e+00
1.178571428571428603e+00,1.687569566941936883e-01,1.076760110955784500e+00,3.289524896439258717e-01,1.905914165385638182e+00
1.214285714285714191e+00,1.699984802943549367e-01,1.078324242112844944e+00,3.304173368846667902e-01,1.906242562250346051e+00
1.250000000000000000e+00,1.711697622244779671e-01,1.079721052622141908e+00,3.318388872367530329e-01,1.906374940592822309e+00
1.285714285714285587e+00,1.722675857917811137e-01,1.080964909217217107e+00,3.332260401996097188e-01,1.906313453734308716e+00
1.321428571428571397e+00,1.732887343034829053e-01,1.082070178631614255e+00,3.345876952726618558e-01,1.906060254996044812e+00
1.357142857142856984e+00,1.742299910668017593e-01,1.083051227598876176e+00,3.359327519553345631e-01,1.905617497699270579e+00
1.392857142857142794e+00,1.750881393889560655e-01,1.083922422852545697e+00,3.372701097470529041e-01,1.904987335165227558e+00
1.428571428571428381e+00,1.758599625771642694e-01,1.084698131126165643e+00,3.386086681472417204e-01,1.904171920715155952e+00
1.464285714285714191e+00,1.765422439386448716e-01,1.085392719153279506e+00,3.399573266553263529e-01,1.903173407670295303e+00
1.500000000000000000e+00,1.771317667806162899e-01,1.086020553667429667e+00,3.413249847707315321e-01,1.901993949351886926e+00
1.535714285714285587e+00,1.776253144102969139e-01,1.086596001402158951e+00,3.427205419928824881e-01,1.900635699081171248e+00
1.571428571428571397e+00,1.780196701349051891e-01,1.087133429091011294e+00,3.441528978212042844e-01,1.899100810179388032e+00
1.607142857142856984e+00,1.783116172616596162e-01,1.087647203467528412e+00,3.456309517551217070e-01,1.897391435967778373e+00
1.642857142857142794e+00,1.784979390977785574e-01,1.088151691265254017e+00,3.471636032940602634e-01,1.895509729767582474e+00
1.678571428571428381e+00,1.785754189504805134e-01,1.088661259217730937e+00,3.487597519374446842e-01,1.893457844900041209e+00
1.714285714285714191e+00,1.785408401269839018e-01,1.089190274058501995e+00,3.504282971846999217e-01,1.891237934686394340e+00
1.750000000000000000e+00,1.783909859345070847e-01,1.089753102521110018e+00,3.521781385352512062e-01,1.888852152447882737e+00
