# vs,max_surftimeconst,max_average_velocity_axis
5.000000000000000000e-01,1.678571428571428381e+00,1.785754189504805134e-01
4.000000000000000000e+00,1.750000000000000000e+00,1.089753102521110018e+00
1.000000000000000000e+00,1.750000000000000000e+00,3.521781385352512062e-01
8.000000000000000000e+00,1.250000000000000000e+00,1.906374940592822309e+00
