# delay,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,2.303895142070004898e-01
1.428571428571428492e-01,2.316595256430842298e-01
2.857142857142856984e-01,2.327180596969839199e-01
4.285714285714285476e-01,2.335743757325909886e-01
5.714285714285713969e-01,2.342377331137970031e-01
7.142857142857141906e-01,2.347173912044933641e-01
8.571428571428570953e-01,2.350226093685716389e-01
1.000000000000000000e+00,2.351626469699232835e-01
1.142857142857142794e+00,2.351467633724398099e-01
1.285714285714285587e+00,2.349842179400126740e-01
1.428571428571428381e+00,2.346842700365334433e-01
1.571428571428571397e+00,2.342561790258935461e-01
1.714285714285714191e+00,2.337092042719844665e-01
1.857142857142856984e+00,2.330526051386977160e-01
2.000000000000000000e+00,2.322956409899248342e-01
2.142857142857142794e+00,2.314475711895572774e-01
2.285714285714285587e+00,2.305176551014865016e-01
2.428571428571428381e+00,2.295151520896040465e-01
2.571428571428571175e+00,2.284493215178013681e-01
2.714285714285713969e+00,2.273294227499700337e-01
2.857142857142856762e+00,2.261647151500013886e-01
3.000000000000000000e+00,2.249644580817871109e-01
3.142857142857142794e+00,2.237379109092186014e-01
3.285714285714285587e+00,2.224943329961872884e-01
3.428571428571428381e+00,2.212429837065848226e-01
3.571428571428571175e+00,2.199931224043024935e-01
3.714285714285713969e+00,2.187540084532319795e-01
3.857142857142856762e+00,2.175349012172646535e-01
4.000000000000000000e+00,2.163450600602920826e-01
4.142857142857142350e+00,2.151937443462056954e-01
4.285714285714285587e+00,2.140902134388970868e-01
4.428571428571427937e+00,2.130437267022576298e-01
4.571428571428571175e+00,2.120635435001788638e-01
4.714285714285714413e+00,2.111589231965523006e-01
4.857142857142856762e+00,2.103391251552694241e-01
5.000000000000000000e+00,2.096134087402217183e-01
5.142857142857142350e+00,2.089910333153006672e-01
5.285714285714285587e+00,2.084812582443977824e-01
5.428571428571427937e+00,2.080933428914045757e-01
5.571428571428571175e+00,2.078365466202124479e-01
5.714285714285713524e+00,2.077201287947130215e-01
5.857142857142856762e+00,2.077533487787976973e-01
6.000000000000000000e+00,2.079454659363579871e-01
6.142857142857142350e+00,2.083057396312853748e-01
6.285714285714285587e+00,2.088434292274714277e-01
6.428571428571427937e+00,2.095677940888075741e-01
6.571428571428571175e+00,2.104880935791852425e-01
6.714285714285713524e+00,2.116135870624960558e-01
6.857142857142856762e+00,2.129535339026314145e-01
7.000000000000000000e+00,2.145171934634828581e-01
