# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_5o0,average_velocity_axis_0_t_inf__params_1o0_6o0
1.224489795918367374e+00,6.507846769369630968e-02,1.060454339882784813e-01,9.870770100297222849e-02,1.022795991239868058e-01,9.982272711045601932e-02,1.003960948109217655e-01
1.346938775510204023e+00,6.506297497770065219e-02,1.085726706893504201e-01,1.009866710749432878e-01,1.050161859535885811e-01,1.019526883937293821e-01,1.026600196957834499e-01
1.469387755102040671e+00,6.506051662820075410e-02,1.108071587344233305e-01,1.031003779532404657e-01,1.075433491750022869e-01,1.038947501217159231e-01,1.046952467276735937e-01
1.591836734693877542e+00,6.507012762069801226e-02,1.127621304548583614e-01,1.050545283042542549e-01,1.098665655213885428e-01,1.056560820382787258e-01,1.065127483527844726e-01
1.714285714285714191e+00,6.509084293069385130e-02,1.144508181820169390e-01,1.068548287943752034e-01,1.119913117259079688e-01,1.072438538872809155e-01,1.081234970173083065e-01
1.836734693877551061e+00,6.512169753368965419e-02,1.158864542472602677e-01,1.085069860899938038e-01,1.139230645217211568e-01,1.086652354125855202e-01,1.095384651674373294e-01
1.959183673469387710e+00,6.516172640518688719e-02,1.170822709819496488e-01,1.100167068575006041e-01,1.156673006419887406e-01,1.099273963580556512e-01,1.107686252493637474e-01
2.081632653061224580e+00,6.520996452068691940e-02,1.180515007174463976e-01,1.113896977632861246e-01,1.172294968198713400e-01,1.110375064675543505e-01,1.118249497092798916e-01
2.204081632653061007e+00,6.526544685569117543e-02,1.188073757851118017e-01,1.126316654737408995e-01,1.186151297885295886e-01,1.120027354849446877e-01,1.127184109933779266e-01
2.326530612244897878e+00,6.532720838570107991e-02,1.193631285163071626e-01,1.137483166552554076e-01,1.198296762811240368e-01,1.128302531540898018e-01,1.134599815478500723e-01
2.448979591836734748e+00,6.539428408621800193e-02,1.197319912423937954e-01,1.147453579742202245e-01,1.208786130308153461e-01,1.135272292188527488e-01,1.140606338188886876e-01
2.571428571428571175e+00,6.546570893274339387e-02,1.199271962947329323e-01,1.156284960970258846e-01,1.217674167707641225e-01,1.141008334230965982e-01,1.145313402526858676e-01
2.693877551020408045e+00,6.554051790077866646e-02,1.199619760046859024e-01,1.164034376900628248e-01,1.225015642341309996e-01,1.145582355106844197e-01,1.148830732954339295e-01
2.816326530612244916e+00,6.561774596582518881e-02,1.198495627036140210e-01,1.170758894197216904e-01,1.230865321540765833e-01,1.149066052254792969e-01,1.151268053933251212e-01
2.938775510204081343e+00,6.569642810338442718e-02,1.196031887228785479e-01,1.176515579523929322e-01,1.235277972637614657e-01,1.151531123113442995e-01,1.152735089925516487e-01
3.061224489795918213e+00,6.577559928895776453e-02,1.192360863938408122e-01,1.181361499544670429e-01,1.238308362963462805e-01,1.153049265121424971e-01,1.153341565393057599e-01
3.183673469387755084e+00,6.585429449804661162e-02,1.187614880478620460e-01,1.185353720923346399e-01,1.240011259849916336e-01,1.153692175717370011e-01,1.153197204797797443e-01
3.306122448979591955e+00,6.593154870615239305e-02,1.181926260163036202e-01,1.188549310323861324e-01,1.240441430628581171e-01,1.153531552339908672e-01,1.152411732601657385e-01
3.428571428571428381e+00,6.600639688877651956e-02,1.175427326305267944e-01,1.191005334410121380e-01,1.239653642631064201e-01,1.152639092427672207e-01,1.151094873266561291e-01
3.551020408163265252e+00,6.607787402142037414e-02,1.168250402218928286e-01,1.192778859846031492e-01,1.237702663188970931e-01,1.151086493419290757e-01,1.149356351254429837e-01
3.673469387755102122e+00,6.614501507958540916e-02,1.160527811217630934e-01,1.193926953295496585e-01,1.234643259633907697e-01,1.148945452753395158e-01,1.147305891027185915e-01
3.795918367346938549e+00,6.620685503877300759e-02,1.152391876614988209e-01,1.194506681422422556e-01,1.230530199297480282e-01,1.146287667868616522e-01,1.145053217046753669e-01
3.918367346938775420e+00,6.626242887448458019e-02,1.143974921724613264e-01,1.194575110890714054e-01,1.225418249511295993e-01,1.143184836203585131e-01,1.142708053775052801e-01
4.040816326530611846e+00,6.631077156222156543e-02,1.135409269860118697e-01,1.194189308364276836e-01,1.219362177606959363e-01,1.139708655196932374e-01,1.140380125674007455e-01
4.163265306122449161e+00,6.635091807748534631e-02,1.126827244335117661e-01,1.193406340507015273e-01,1.212416750916077979e-01,1.135930822287289088e-01,1.138179157205539693e-01
4.285714285714285587e+00,6.638190339577734744e-02,1.118361168463224142e-01,1.192283273982835679e-01,1.204636736770257066e-01,1.131923034913285414e-01,1.136214872831571854e-01
4.408163265306122014e+00,6.640276249259897956e-02,1.110143365558049211e-01,1.190877175455642839e-01,1.196076902501103101e-01,1.127756990513552326e-01,1.134596997014026137e-01
4.530612244897959329e+00,6.641253034345165340e-02,1.102306158933207270e-01,1.189245111589342097e-01,1.186792015440222559e-01,1.123504386526721077e-01,1.133435254214825300e-01
4.653061224489795755e+00,6.641024192383677971e-02,1.094981871902309806e-01,1.187444149047838099e-01,1.176836842919220527e-01,1.119236920391421392e-01,1.132839368895890986e-01
4.775510204081632182e+00,6.639493220925578310e-02,1.088302827778970805e-01,1.185531354495036327e-01,1.166266152269704592e-01,1.115026289546285215e-01,1.132919065519146506e-01
4.897959183673469497e+00,6.636563617521004654e-02,1.082401349876804530e-01,1.183563794594842816e-01,1.155134710823280397e-01,1.110944191429943106e-01,1.133784068546514201e-01
5.020408163265305923e+00,6.632138879720100855e-02,1.077409761509421082e-01,1.181598536011161937e-01,1.143497285911553030e-01,1.107062323481025207e-01,1.135544102439915159e-01
5.142857142857142350e+00,6.626122505073006597e-02,1.073460385990435695e-01,1.179692645407899448e-01,1.131408644866130214e-01,1.103452383138163045e-01,1.138308891661273525e-01
5.265306122448979664e+00,6.618417991129862954e-02,1.070685546633459717e-01,1.177903189448959581e-01,1.118923555018616622e-01,1.100186067839986764e-01,1.142188160672510944e-01
5.387755102040816091e+00,6.608928835440811000e-02,1.069217566752106718e-01,1.176287234798248926e-01,1.106096783700619701e-01,1.097335075025127615e-01,1.147291633935549893e-01
5.510204081632652517e+00,6.597558535555994585e-02,1.069188769659990546e-01,1.174901848119672410e-01,1.092983098243745510e-01,1.094971102132215601e-01,1.153729035912312573e-01
5.632653061224489832e+00,6.584210589025549232e-02,1.070731478670722270e-01,1.173804096077134262e-01,1.079637265979598998e-01,1.093165846599882945e-01,1.161610091064720907e-01
5.755102040816326259e+00,6.568788493399624340e-02,1.073978017097916848e-01,1.173051045334541076e-01,1.066114054239787334e-01,1.091991005866759235e-01,1.171044523854698760e-01
5.877551020408162685e+00,6.551195746228352657e-02,1.079060708255184797e-01,1.172699762555797220e-01,1.052468230355916717e-01,1.091518277371475720e-01,1.182142058744166668e-01
6.000000000000000000e+00,6.531335845061880807e-02,1.086111875456141629e-01,1.172807314404808454e-01,1.038754561659592512e-01,1.091819358552662544e-01,1.195012420195049052e-01
