# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_5o0,average_velocity_axis_0_t_inf__params_1o0_6o0
0.000000000000000000e+00,6.616259040060878949e-02,6.176077799812307312e-02,6.557305802528178018e-02,6.219055108229011586e-02,6.661129508707130942e-02,6.276452588657822906e-02
1.224489795918367319e-01,6.596367767223323963e-02,6.794327948405730344e-02,6.981852668547065821e-02,6.732259431760638513e-02,7.101458783568195821e-02,6.791891384172835111e-02
2.448979591836734637e-01,6.578744955533931404e-02,7.370070900037946349e-02,7.384166548808041020e-02,7.219044661312842837e-02,7.515828359037504680e-02,7.273487948198457953e-02
3.673469387755101678e-01,6.563294102542845121e-02,7.904629887845089631e-02,7.764818109950152869e-02,7.679958470201686538e-02,7.904955209501360325e-02,7.722339525353909273e-02
4.897959183673469274e-01,6.549918705800203411e-02,8.399328144963286169e-02,8.124378018612457564e-02,8.115548531743232985e-02,8.269556309346075273e-02,8.139543360258418014e-02
6.122448979591836871e-01,6.538522262856150125e-02,8.855488904528666105e-02,8.463416941434002971e-02,8.526362519253541383e-02,8.610348632957953718e-02,8.526196697531206181e-02
7.346938775510203357e-01,6.529008271260824947e-02,9.274435399677359582e-02,8.782505545053846674e-02,8.912948106048675101e-02,8.928049154723306791e-02,8.883396781791497165e-02
8.571428571428570953e-01,6.521280228564368953e-02,9.657490863545493964e-02,9.082214496111036539e-02,9.275852965444693343e-02,9.223374849028440070e-02,9.212240857658517135e-02
9.795918367346938549e-01,6.515241632316923215e-02,1.000597852926920078e-01,9.363114461244630149e-02,9.615624770757659479e-02,9.497042690259661912e-02,9.513826169751486705e-02
1.102040816326530503e+00,6.510795980068631583e-02,1.032122162998460879e-01,9.625776107093673983e-02,9.932811195303635488e-02,9.749769652803279285e-02,9.789249962689630657e-02
