# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst,order
9.779999999999999361e+00,6.030885538986612004e-02,9.733476564859686389e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,6.579726028286363160e-02,9.668449884905616631e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,6.745315760200984445e-02,9.868330650960313241e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,6.290472105061351016e-02,9.637102908343636240e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,6.518211477704818901e-02,9.541044739806749109e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,7.094375738912321594e-02,9.600713115338712841e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,6.756832747196127309e-02,9.653606289157828230e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,6.191535689465107323e-02,9.600641205220314736e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,9.989410407879602272e-02,9.770018364229983085e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,1.075728133687212651e-01,9.675545439584451110e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,1.176075020819354056e-01,9.716551145480690349e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,1.074793465019491384e-01,9.866604108791867181e-03,1.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,1.122491558675629553e-01,9.684703477754040557e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,1.227699527545453029e-01,9.778518019642037928e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,1.213238111000607133e-01,9.965199736907157796e-03,1.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,1.191333867297338506e-01,9.626751817183006391e-03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,1.158739028649827529e-01,9.798905322555716627e-03,1.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,1.159392360695056939e-01,9.863501279508621322e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,6.372751819321958999e-02,9.715449360699011591e-03,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,9.896773112478432499e-02,9.412361046776372003e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,1.079926270030515112e-01,9.759369844755887147e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,1.233527665027080167e-01,9.665860842605884448e-03,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.779999999999999361e+00,6.064012209028311201e-02,9.548851578336398430e-03,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
9.779999999999999361e+00,1.158743236206304511e-01,9.897748269403471369e-03,1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.779999999999999361e+00,1.013276322004010022e-01,9.836208844577276969e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
