# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst,order
9.779999999999999361e+00,7.094375738912321594e-02,9.600713115338712841e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.779999999999999361e+00,1.227699527545453029e-01,9.778518019642037928e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.779999999999999361e+00,1.213238111000607133e-01,9.965199736907157796e-03,1.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
9.779999999999999361e+00,1.233527665027080167e-01,9.665860842605884448e-03,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.779999999999999361e+00,1.208189199498338473e-01,9.897615869889882581e-03,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
9.779999999999999361e+00,1.191956578666203415e-01,9.571360822711399985e-03,1.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,1.365950551438412930e-01,9.568111559625700618e-03,1.000000000000000000e+00,4.000000000000000000e+00,7.0
