# vs,order,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,1.000000000000000000e+00,4.530612244897959329e+00,6.641253034345165340e-02
1.000000000000000000e+00,2.000000000000000000e+00,2.693877551020408045e+00,1.199619760046859024e-01
1.000000000000000000e+00,3.000000000000000000e+00,3.918367346938775420e+00,1.194575110890714054e-01
1.000000000000000000e+00,4.000000000000000000e+00,3.306122448979591955e+00,1.240441430628581171e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.183673469387755084e+00,1.153692175717370011e-01
1.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.195012420195049052e-01
