# surftimeconst,average_velocity_axis_0_t_inf__params_12o0_8o0,average_velocity_axis_0_t_inf__params_16o0_2o0,average_velocity_axis_0_t_inf__params_4o0_5o0,average_velocity_axis_0_t_inf__params_4o0_6o0,average_velocity_axis_0_t_inf__params_12o0_6o0,average_velocity_axis_0_t_inf__params_16o0_7o0,average_velocity_axis_0_t_inf__params_8o0_3o0,average_velocity_axis_0_t_inf__params_8o0_7o0,average_velocity_axis_0_t_inf__params_8o0_5o0,average_velocity_axis_0_t_inf__params_12o0_5o0,average_velocity_axis_0_t_inf__params_1o0_5o0,average_velocity_axis_0_t_inf__params_4o0_3o0,average_velocity_axis_0_t_inf__params_2o0_5o0,average_velocity_axis_0_t_inf__params_12o0_7o0,average_velocity_axis_0_t_inf__params_2o0_7o0,average_velocity_axis_0_t_inf__params_4o0_7o0,average_velocity_axis_0_t_inf__params_1o0_7o0,average_velocity_axis_0_t_inf__params_12o0_2o0,average_velocity_axis_0_t_inf__params_16o0_6o0,average_velocity_axis_0_t_inf__params_16o0_5o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_16o0_3o0,average_velocity_axis_0_t_inf__params_16o0_1o0,average_velocity_axis_0_t_inf__params_12o0_3o0,average_velocity_axis_0_t_inf__params_2o0_6o0,average_velocity_axis_0_t_inf__params_12o0_1o0,average_velocity_axis_0_t_inf__params_12o0_4o0,average_velocity_axis_0_t_inf__params_2o0_3o0,average_velocity_axis_0_t_inf__params_1o0_6o0,average_velocity_axis_0_t_inf__params_8o0_6o0,average_velocity_axis_0_t_inf__params_16o0_8o0,average_velocity_axis_0_t_inf__params_16o0_4o0
1.632653061224489610e+00,2.505016392222945143e+00,3.400833309938207094e+00,9.304719774702797652e-01,8.723093128580547972e-01,2.477951063930201592e+00,3.399524165517476160e+00,1.807034456812102396e+00,1.706545734488250865e+00,1.706415070688269253e+00,2.541271195149612527e+00,2.791208197733375806e-01,1.005000189333755234e+00,5.076742607452312539e-01,2.554785017702823513e+00,4.247627669899933234e-01,8.391352141804866438e-01,2.136065635721485778e-01,2.610641657296880247e+00,3.222217849613217666e+00,3.288989164085928785e+00,3.134812726099873159e-01,3.405641133257236941e+00,3.455197621480474712e+00,2.615797483665377676e+00,4.675899528364816926e-01,2.642947812829438803e+00,2.576059785295905069e+00,5.682484834030006038e-01,2.616771916840610612e-01,1.668196083488445058e+00,3.361867594851287944e+00,3.351747340935947062e+00
1.795918367346938549e+00,2.496363420848572989e+00,3.375087368391827436e+00,9.252656021590022206e-01,8.635346082334420803e-01,2.451226929766118445e+00,3.394400318392612359e+00,1.797387165910560691e+00,1.703091218809809959e+00,1.692193931101970916e+00,2.517237345013338512e+00,2.804662843220106505e-01,1.003555747969238077e+00,5.089929545031324221e-01,2.549438854570951207e+00,4.234533151590335609e-01,8.348635415575633711e-01,2.133143216066565317e-01,2.595686277280574661e+00,3.185827670709052040e+00,3.255711459754500936e+00,3.172919605426708922e-01,3.377651697662314323e+00,3.432376287249827573e+00,2.598971617542663815e+00,4.658593680143609528e-01,2.627785794348335369e+00,2.557587552105231143e+00,5.718814718259056518e-01,2.621270586465667685e-01,1.650741592593100826e+00,3.353918277232132983e+00,3.318697390481380349e+00
1.959183673469387710e+00,2.487095752361960788e+00,3.345275575415886493e+00,9.181992578419954087e-01,8.534091286720105751e-01,2.420971853794674722e+00,3.388325267951962427e+00,1.785137195573383462e+00,1.699036571173391019e+00,1.675927270402689517e+00,2.489504340200991095e+00,2.811076937057416236e-01,9.999357207062704589e-01,5.091912000581030329e-01,2.543384647835250867e+00,4.219092526141702271e-01,8.305080020181362377e-01,2.129149838045852616e-01,2.577642938417763929e+00,3.146047284860257864e+00,3.218504374107041155e+00,3.201592640500897646e-01,3.345004280896529902e+00,3.405029843753437202e+00,2.578552570068591177e+00,4.634097782993898407e-01,2.609518411892945977e+00,2.535647767476403303e+00,5.740601560600712139e-01,2.619467997578473484e-01,1.631337693329934613e+00,3.345067934557893530e+00,3.281956424445857223e+00
2.122448979591836427e+00,2.477256775655403587e+00,3.311586011182205969e+00,9.093891898217624226e-01,8.420284464104085265e-01,2.387407090521584951e+00,3.381347151863372424e+00,1.770418718662041480e+00,1.694411959058359951e+00,1.657721763285765926e+00,2.458290235314381622e+00,2.810827337603277187e-01,9.942642829774768209e-01,5.083275914413144525e-01,2.536665435338377961e+00,4.201426172340628762e-01,8.260669230624649861e-01,2.124127794805075187e-01,2.556648550463691549e+00,3.103064560499142033e+00,3.177578262133433640e+00,3.221289204434077957e-01,3.307946951819345838e+00,3.373380972681117029e+00,2.554717603774701029e+00,4.602819711373649647e-01,2.588287286299050916e+00,2.510408797071574494e+00,5.748593109333126616e-01,2.611721748811400290e-01,1.610098507301762405e+00,3.335370019262290153e+00,3.241713790242847004e+00
2.285714285714285587e+00,2.466889879621198212e+00,3.274206755862607565e+00,8.989516434008070211e-01,8.294881336852840681e-01,2.350753894452560111e+00,3.373514107794685302e+00,1.753365908038004850e+00,1.689247549944083771e+00,1.637684084446540567e+00,2.423813084955320551e+00,2.804290903215657105e-01,9.866656102154802710e-01,5.064607226839381582e-01,2.529324254922987958e+00,4.181654468973707850e-01,8.215386321908094702e-01,2.118119379489959153e-01,2.532840023173600574e+00,3.057067366058011881e+00,3.133143478823563477e+00,3.232466670337890147e-01,3.266727779290225175e+00,3.337652355722679598e+00,2.527643981192535083e+00,4.565167339740822672e-01,2.564234038402428251e+00,2.482039006552898996e+00,5.743537112734447003e-01,2.598389438796822049e-01,1.587138156111400633e+00,3.324877983779042534e+00,3.198158835285819901e+00
2.448979591836734304e+00,2.456038453151639267e+00,3.233325889628913874e+00,8.870028638816319644e-01,8.158837627332851117e-01,2.311233520093314286e+00,3.364874273413746675e+00,1.734112936562745455e+00,1.683573511309929271e+00,1.615920908580354309e+00,2.386290943725619673e+00,2.791844492252527066e-01,9.772638778529041392e-01,5.036491878171454051e-01,2.521404144431735439e+00,4.159897794827534523e-01,8.169214569034293216e-01,2.111166885246232028e-01,2.506354266302734946e+00,3.008243569969173858e+00,3.085410379167316197e+00,3.235582411323969509e-01,3.221594832168631406e+00,3.298066674567937895e+00,2.497508964853635494e+00,4.521548542553385786e-01,2.537500289038857826e+00,2.450706761582528426e+00,5.726181319082827015e-01,2.579828666167111040e-01,1.562570761361665284e+00,3.313645280541872129e+00,3.151480906988244346e+00
2.612244897959183465e+00,2.444745885139023134e+00,3.189131492652944821e+00,8.736590965667409003e-01,8.013109057910601241e-01,2.269067221949560231e+00,3.355475786388399939e+00,1.712793977097732956e+00,1.677420010635262804e+00,1.592538910382548023e+00,2.345941866227091221e+00,2.773864963071855927e-01,9.661832613223725330e-01,4.999515808721075039e-01,2.512948141707274985e+00,4.136276528688702103e-01,8.122137247005841720e-01,2.103312605219619658e-01,2.477328189606337716e+00,2.956781040664935745e+00,3.034589318154574666e+00,3.231093800503958002e-01,3.172796179314028464e+00,3.254846610906704907e+00,2.464489817289543971e+00,4.472371194269301742e-01,2.508227659044117264e+00,2.416580427822617061e+00,5.697273476656417035e-01,2.556397029554641209e-01,1.536510444655372121e+00,3.301725361984499507e+00,3.101869352763591436e+00
2.775510204081632626e+00,2.433055564475645305e+00,3.141811645106522555e+00,8.590365867586366999e-01,7.858651350952564618e-01,2.224476254527010255e+00,3.345366784386490266e+00,1.689543202504439456e+00,1.670817215399450717e+00,1.567644764548461689e+00,2.302983907061545654e+00,2.750729174031613655e-01,9.535479360565085605e-01,4.954264958799960428e-01,2.503999284592263841e+00,4.110911049343806134e-01,8.074137630825337641e-01,2.094598832555849832e-01,2.445898702839653271e+00,2.902867646577603988e+00,2.980890650775224859e+00,3.219458210989492586e-01,3.120579889585878508e+00,3.208214846428794065e+00,2.428763801031801783e+00,4.418043169346533294e-01,2.476557769253985075e+00,2.379828370935316517e+00,5.657561333733367448e-01,2.528452127591784282e-01,1.509071327595337353e+00,3.289171680540643905e+00,3.049513520025330049e+00
2.938775510204081343e+00,2.421010880053802161e+00,3.091554427161469221e+00,8.432515797598230112e-01,7.696420228825228138e-01,2.177681872331377999e+00,3.334595405075862384e+00,1.664494785644334840e+00,1.663795293081859805e+00,1.541345145773436398e+00,2.257635120830795206e+00,2.722813983489769663e-01,9.394820774879358849e-01,4.901325268719822770e-01,2.494600610929354811e+00,4.083921735579439383e-01,8.025198995495378407e-01,2.085067860400647843e-01,2.412202715757925553e+00,2.846691256139485482e+00,2.924524732019150530e+00,3.201133015892211331e-01,3.065194031843645028e+00,3.158394062824018800e+00,2.390508178611951084e+00,4.358972342243045417e-01,2.442632240504240659e+00,2.340618956582781962e+00,5.607792638591831968e-01,2.496351558910915036e-01,1.480367531784377189e+00,3.276037688644026336e+00,2.994602756186930392e+00
3.102040816326530503e+00,2.408655220765788751e+00,3.038547918989606078e+00,8.264203208728030381e-01,7.527371413895068697e-01,2.128905329868375329e+00,3.323209786124358800e+00,1.637782899378889878e+00,1.656384411161856640e+00,1.513746728752812798e+00,2.210113562136650778e+00,2.690496249804293916e-01,9.241098610492783916e-01,4.841282678792373506e-01,2.484795158561204698e+00,4.055428966182195727e-01,7.975304616018560333e-01,2.074761981899741758e-01,2.376377138116396281e+00,2.788439737782888006e+00,2.865701916876237210e+00,3.176575588323753974e-01,3.006886674946792404e+00,3.105606941782190322e+00,2.349900212561534474e+00,4.295566587416803639e-01,2.406592693630662527e+00,2.299120550427165011e+00,5.548715139509958760e-01,2.460452922144405474e-01,1.450513178825306726e+00,3.262376838728368256e+00,2.937326408661861787e+00
3.265306122448979220e+00,2.396031975503901457e+00,2.982980200762755274e+00,8.086590554000800957e-01,7.352460628528570963e-01,2.078367881643716331e+00,3.311258065199825573e+00,1.609541716569576231e+00,1.648614737118808016e+00,1.484956188181931758e+00,2.160637285580924161e+00,2.654152831333155826e-01,9.075554621731595217e-01,4.774723129329329074e-01,2.474625965330467636e+00,4.025553119938671265e-01,7.924437767397480847e-01,2.063723490198857702e-01,2.338558879670311175e+00,2.728300959940117565e+00,2.804632560336368208e+00,3.146243301395758030e-01,2.945905887754782349e+00,3.050076164993123395e+00,2.307117165412093218e+00,4.228233779325771269e-01,2.368580749469030078e+00,2.255501518130619054e+00,5.481076584765901538e-01,2.421113815924628432e-01,1.419622390320943284e+00,3.248242583227388902e+00,2.877873824863594443e+00
3.428571428571428381e+00,2.383184533160435326e+00,2.925039352652736735e+00,7.900840286441573879e-01,7.172643595092214053e-01,2.026290782163113313e+00,3.298788379970106543e+00,1.579905410077863781e+00,1.640516438432080504e+00,1.455080198756133703e+00,2.109424345765426700e+00,2.614160586434325917e-01,8.899430562922024945e-01,4.702232560642402026e-01,2.464136069079799540e+00,3.994414575635458764e-01,7.872581724634736267e-01,2.051994678443722631e-01,2.298884850174911509e+00,2.666462791043482383e+00,2.741527017389429943e+00,3.110593528219863235e-01,2.882499739127079241e+00,2.992024414146630118e+00,2.262336299695169028e+00,4.157381792427911060e-01,2.328738028855120934e+00,2.209930225355296596e+00,5.405624722637809576e-01,2.378691838883957854e-01,1.387809287874102182e+00,3.233688374574808844e+00,2.816434352205597680e+00
3.591836734693877098e+00,2.370156282627686295e+00,2.864913454831373940e+00,7.708114859075381187e-01,6.988876035952477084e-01,1.972895285932279252e+00,3.285848868103046438e+00,1.549008152765224189e+00,1.632119682581040232e+00,1.424225435170758836e+00,2.056692797291969743e+00,2.570896373465772489e-01,8.713968188390311953e-01,4.624396913043305468e-01,2.453368507651855435e+00,3.962133712059151547e-01,7.819719762732921797e-01,2.039617839780062669e-01,2.257491959385443003e+00,2.603113099525288021e+00,2.676595643025305726e+00,3.070083641907707106e-01,2.816916297923145240e+00,2.931674370932524365e+00,2.215734877942303616e+00,4.083418501181188542e-01,2.287206152624714495e+00,2.162575037763352359e+00,5.323107301403833258e-01,2.333544589654766022e-01,1.355187993087599185e+00,3.218767665204349093e+00,2.753197338101340819e+00
3.755102040816326259e+00,2.356990612797949858e+00,2.802790587470488148e+00,7.509576724927256031e-01,6.802113673475841393e-01,1.918402647456926902e+00,3.272487667266489986e+00,1.516984117493127560e+00,1.623454637045054216e+00,1.392498572121148470e+00,2.002660694762364635e+00,2.524737050785467174e-01,8.520409252462690652e-01,4.541802126843754173e-01,2.442366318889289900e+00,3.928830907996345712e-01,7.765835156694639307e-01,2.026635267353605607e-01,2.214517117057148710e+00,2.538439753817843147e+00,2.610048792233879755e+00,3.025171015570928823e-01,2.749403633002443836e+00,2.869248717040617791e+00,2.167490162685039579e+00,4.006751780043566469e-01,2.244126741613589715e+00,2.113604321016937959e+00,5.234272069342126299e-01,2.286029666869426602e-01,1.321872627564250946e+00,3.203533907549730220e+00,2.688352129964293624e+00
3.918367346938775420e+00,2.343730912563522395e+00,2.738858830741899730e+00,7.306388337022233781e-01,6.613312230028789429e-01,1.863034121242769459e+00,3.258752915128279692e+00,1.483967477123044443e+00,1.614551469303488807e+00,1.360006284302642809e+00,1.947546092778423166e+00,2.476059476751376609e-01,8.319995509465394345e-01,4.455034142355460691e-01,2.431172540634758850e+00,3.894626542233634026e-01,7.710911181522482893e-01,2.013089254310077292e-01,2.170097232945271237e+00,2.472630622353453322e+00,2.542096820005038005e+00,2.976313022321167567e-01,2.680209813224438964e+00,2.804970134160725159e+00,2.117779416454917740e+00,3.927789503473010368e-01,2.199641416657523774e+00,2.063186440778206343e+00,5.139866774730839083e-01,2.236504669160311320e-01,1.287977312906873228e+00,3.188040554044671460e+00,2.622088075207926305e+00
4.081632653061224580e+00,2.330420570816699843e+00,2.673306264817431277e+00,7.099712148385343147e-01,6.423427427977800308e-01,1.807010961795519233e+00,3.244692749356262063e+00,1.450092404516446942e+00,1.605440346835710796e+00,1.326855246410582723e+00,1.891567045941956460e+00,2.425240509721473536e-01,8.113968713724661885e-01,4.364678899890139241e-01,2.419830210730917308e+00,3.859640993557610367e-01,7.654931112219048872e-01,1.999022093795204957e-01,2.124369216805055416e+00,2.405873573564426771e+00,2.472950081328664229e+00,2.923967035270060855e-01,2.609582907448593225e+00,2.739061303982657236e+00,2.066779901783480700e+00,3.846939545927482440e-01,2.153891798592297402e+00,2.011489762709311790e+00,5.040639165848121994e-01,2.185327195159796343e-01,1.253616170718282241e+00,3.172341057122894714e+00,2.554594521245708183e+00
4.244897959183672853e+00,2.317102976449777252e+00,2.606320969868904935e+00,6.890710612041622829e-01,6.233414989689357588e-01,1.750554423620889644e+00,3.230355307618280936e+00,1.415493072534804941e+00,1.596151437121086758e+00,1.293152133140308413e+00,1.834941608854776529e+00,2.372657008053725702e-01,7.903570619566734345e-01,4.271322339759503484e-01,2.408382367020420300e+00,3.823994640754870833e-01,7.597878223786935781e-01,1.984476078954715561e-01,2.077469978391743854e+00,2.338356475883069940e+00,2.402818931194644403e+00,2.868590427529248421e-01,2.537770984534370111e+00,2.671744908196229229e+00,2.014668881202270168e+00,3.764609781864950433e-01,2.107019508253689111e+00,1.958682652472407026e+00,4.937336990972125417e-01,2.132854843500251452e-01,1.218903322601293748e+00,3.156488869218119220e+00,2.486060815491109466e+00
4.408163265306122014e+00,2.303821518355049669e+00,2.538091026068141520e+00,6.680546181016100427e-01,6.044230637529939276e-01,1.693885761224593445e+00,3.215788727582180595e+00,1.380303654039589434e+00,1.586714907638982819e+00,1.259003619187161416e+00,1.777887836118694498e+00,2.318685830106105294e-01,7.690042981317837256e-01,4.175550402275267636e-01,2.396872047345922407e+00,3.787807862612008192e-01,7.539735791228739936e-01,1.969493502934334950e-01,2.029536427460580938e+00,2.270267197741689280e+00,2.331913724592860504e+00,2.810640572210366672e-01,2.465022113341233112e+00,2.603243628491252792e+00,1.961623617242828299e+00,3.681208085743374880e-01,2.059166166477475635e+00,1.904933475729644776e+00,4.830707998381004176e-01,2.079445212814050592e-01,1.183952890158723958e+00,3.140537442764066434e+00,2.416676305357599031e+00
4.571428571428571175e+00,2.290619585424813920e+00,2.468804513586961846e+00,6.470381308333805759e-01,5.856830093866025599e-01,1.637226229112343390e+00,3.201041146915805324e+00,1.344658321892270969e+00,1.577160925868765995e+00,1.224516379246481268e+00,1.720623782335521268e+00,2.263703834236577839e-01,7.474627553304207250e-01,4.077949027749143696e-01,2.385342289550079542e+00,3.751201037915615766e-01,7.480487089547058766e-01,1.954116658879790636e-01,1.980705473766809277e+00,2.201793607572592126e+00,2.260444816513198951e+00,2.750574842425056454e-01,2.391584362728645274e+00,2.533780146557541801e+00,1.907821372436695473e+00,3.597142332020719646e-01,2.010473394099437705e+00,1.850410598143177765e+00,4.721499936352903104e-01,2.025455901733567432e-01,1.148878994993387970e+00,3.124540230194456480e+00,2.346630338258646642e+00
4.734693877551020336e+00,2.277540566551365941e+00,2.398649512597189837e+00,6.261378447019780857e-01,5.672169081064097895e-01,1.580797081789852454e+00,3.186160703286998963e+00,1.308691248954320763e+00,1.567519659289803080e+00,1.189797088013609727e+00,1.663367502107069296e+00,2.208087878803116355e-01,7.258566089852086511e-01,3.979104156492846434e-01,2.373836131475547617e+00,3.714294545452288543e-01,7.420115393744486365e-01,1.938387839936808743e-01,1.931114027065672811e+00,2.133123573808086260e+00,2.188622561945544831e+00,2.688850611284954728e-01,2.317705801556069201e+00,2.463577144084907911e+00,1.853439409315414732e+00,3.512820395154951369e-01,1.961082811955353611e+00,1.795282385375159606e+00,4.610460553165978692e-01,1.971244508891175085e-01,1.113795758708103545e+00,3.108550683943009485e+00,2.276112261607722509e+00
4.897959183673468608e+00,2.264627850627000782e+00,2.327814103270645862e+00,6.054700050099054431e-01,5.491203321490641942e-01,1.524819573762834057e+00,3.171195534363606683e+00,1.272536608087209142e+00,1.557821275381459980e+00,1.154952420183887218e+00,1.606337050035149261e+00,2.152214822163690255e-01,7.043100345287707231e-01,3.879601728818090622e-01,2.362396610964980326e+00,3.677208764008622066e-01,7.358603978823625713e-01,1.922349339251117339e-01,1.880898997112415705e+00,2.064444964880479017e+00,2.116657315879781898e+00,2.625925251901700674e-01,2.243634498682969713e+00,2.392857302763167215e+00,1.798654990410528676e+00,3.428650149604034469e-01,1.911136040881002307e+00,1.739717203087743691e+00,4.498337597098382434e-01,1.917168632919246940e-01,1.078817302905685560e+00,3.092622256443446460e+00,2.205311422818296840e+00
